key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_!scm_lccp
aelfric	humanoid01c
brt_dolmance_sword	humanoid01
duriath	humanoid01d
engra	humanoid01c
hef_torinubar_staff_magic	humanoid01d
hu1c_arbaal_rider	humanoid01c
hu1c_nor_phy_valbrand_01	humanoid01c
hu1c_wh3_chaos_hr1_glhh_engra	humanoid01c
hu1c_wh3_norsca_wb_javelin_lord	humanoid01c
hu1c_wh3_norsca_wm_javelin_lord	humanoid01c
hu3_dwf_phy_burlok_01	humanoid03
orghotts	humanoid13
rhox_slaurith	humanoid01c
rhox_spew_rider	humanoid13
thm_hu1_light_liche	humanoid01
thm_hu1_light_liche_chariot	humanoid01
thm_hu1_light_liche_hr1	humanoid01
thorgar	humanoid01c
tprince	humanoid10e
volrik	humanoid01c
