key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_!scm_totn
adella	humanoid01b
adella_chariot	humanoid01b
adella_horse	humanoid01b
adella_stegadon	humanoid01b
be1_phy_white_bear	bear01
beorg	humanoid08d
beorgunit	humanoid01c
birna	humanoid01
calm_ksl_raven	calm_raven
drenok_axe	humanoid01c
einarr	humanoid01c
einarrbear	humanoid01c
eyri	humanoid01c
geimdall	humanoid01c
gra_longship	zeppelin01
hakka	humanoid01c
haraldur	humanoid01c
hbeorg	humanoid01c
hildr	humanoid01
hu09b_phy_godi	humanoid09b
hu10_phy_ulsdau	humanoid10
hu10e_phy_grydal_daemon	humanoid10e
hu13b_phy_berus	humanoid13b
hu18c_phy_orgrim	humanoid18c
hu1_phy_verdandi_01	humanoid01
hu1_phy_witch	humanoid01
hu1c_akkorak	humanoid01c
hu1c_wh3_norsca_wm_javelin_lord	humanoid01c
hu1c_wm_cold_one_rider	humanoid01c
hu1cshieldwall	humanoid01c
hu6d_phy_sibaaht	humanoid06d
nightmav	humanoid08e
oda	humanoid01
oda_horse_javelin	humanoid01
oda_manticore_javelin	humanoid01
oerl	humanoid01c
olaf	humanoid01c
phy_hu1c_chaos_axe_and_shield_crew	humanoid01c
sargath	humanoid01c
sarlarcher	humanoid01c
sarlarcherror	humanoid01c
sayl	humanoid01
scm_norsca_asta_spear_and_bow	humanoid01d
scm_norsca_asta_wolf	humanoid01d
scm_norsca_blower	humanoid01c
scm_norsca_drummer	humanoid01c
scm_norsca_huern_wolf	humanoid08
shark1	fish01
shark2	humanoid12
soren	humanoid01c
surtha_ek_chariot_driver	humanoid01c
surtha_ek_whip_foot	humanoid01c
swyrd	humanoid01c
totn_longship	zeppelin01
tuula	humanoid01
uzkulek	humanoid01c
ymir	humanoid08d
yngve	humanoid01c
yngve_horse	humanoid01c
