key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_AAA_dynasty_of_the_damned
dotd_hu1_hr1_staff_pegasus_rider	humanoid01
dy_of_da_hu1_black_knights_hr1_skeletal_steed_lance_sword_shield	humanoid01
dy_of_da_hu1_black_knights_hr1_skeletal_steed_sword_and_shield	humanoid01
gh1_banshee_jiang	ghost01
hu1_cst_zombie_artillery_jade_eyes	humanoid01
hu1_cst_zombie_halberd_jade_eyes	humanoid01
hu1_graveguard_2handed_sword_jade_eyes	humanoid01
hu1_skeleton_spear_and_shield_jade_eyes	humanoid01
hu1_skeleton_sword_and_shield_jade_eyes	humanoid01
hu1_tomb_sword_and_shield_jade_eyes	humanoid01
hu1_vampire_zombie_sword_unstable_jade_eyes	humanoid01
hu1e_crossbow_sword_and_shield_jade_eyes	humanoid01e
hu1e_halberd_jade_eyes	humanoid01e
hu1e_hr1_warhorse_mage_lord_aquamarine	humanoid01e
hu1e_jiang_warcompass01_mage_hero	humanoid01e
hu1e_mage_lord_aquamarine	humanoid01e
hu1e_skylantern01_crew_pilot_jade_eyes	humanoid01e
hu1e_theak_monk	humanoid01e
hu1e_wh3_cathay_hr1_longma_halberd_and_shield_jade_eyes	humanoid01e
hu1e_wh3_cathay_hr1_longma_mage_lord_aquamarine	humanoid01e
vigpro_spirit_dragon	dragon04
zombie_archers_jade_eyes	humanoid01
