key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_nag_nagash
gh1_nag_revenants	ghost01
gp_hu1_arkhan_bc2_abyssal_wb_staff_and_sword	humanoid01
gp_hu1_mannfred_bc2_abyssal_wb_staff_and_sword	humanoid01
gp_hu1_nag_husk_nagash	humanoid01
gp_hu1b_neferata_bc2_abyssal_wb_staff_and_sword	humanoid01b
hu12m_morghast_dual_axe	humanoid12m
hu12m_morghast_halberd	humanoid12m
hu1_burning_dead	humanoid01
hu1_nag_boss_nagash	humanoid01
hu1c_nag_doom_legion	humanoid01c
hu1f_kalledria	humanoid01f
hu4b_vmp_troll_h1	humanoid04b
hu4c_vmp_troll_h2	humanoid04c
hu4e_nag_bone_colossus	humanoid04e
vigpro_hu4_giant_club	humanoid04
vigpro_hu5_goblin_bow	humanoid05
vigpro_hu5_goblin_dual_sword	humanoid05
vigpro_orc_dual_swords	humanoid02
