key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	strafe_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_resistance	projectile_penetration_speed_change	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	combat_camera_shake	has_blood	can_dismember	dismember_arms_alive_hp_ratio	dismember_head_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	anim_lod_distance_multiplier	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	size_for_animation_lod	leaves_collision_when_dies	stop_before_turn
#battle_entities_tables;39;db/battle_entities_tables/!!!!!!!2xunitsize_compat_!!snek_dawi_thunder
snek_dwf_ammo_dump	man	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.0000	circle	1.0000	20000.0000	2.0000	0.0000	0.0000	10	false	false	0.0000	0.0000	0.0000	small	ignore	none	0.0000	infantry_light_effects	0	0	0.0000	false	1.0000	1	0.0000			0.5000	1.6000	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	0	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
snek_dwf_barricade_wall_segment	man	1.5000	2.8000	3.0000	4.0000	3.7000	1.3000	30.0000	25.0000	25.0000	0.6500	circle	1.0000	170.0000	1.4000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	ignore	wh_dwarf_default	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	1	0.9000			0.5000	1.6000	0	false		wh_main_unit_combat	true	true	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
snek_dwf_caltrops	man	0.0000	0.0000	0.0000	0.0000	0.0000	1.3000	0.0000	25.0000	25.0000	0.5000	circle	1.0000	200.0000	0.2000	0.0000	0.0000	10	true	true	0.0000	0.0000	0.0000	small	ignore	wh_dwarf_default	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	1	0.9000			0.5000	1.6000	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	0	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
snek_dwf_cycle	artillery	2.0000	9.0000	9.0000	6.0000	10.0000	1.0000	35.0000	30.0000	30.0000	2.0000	capsule	0.5500	1200.0000	6.0000	40.0000	60.0000	0	false	true	1.0000	0.0000	0.0000	very_large	rotation	wh3_kho_war_machine_bloodshrine	6.0000	artillery_effects	0	0	0.0000	false	1.0000	4	0.8000			0.5000	1.4500	118	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	rear_wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
snek_dwf_landmines	man	0.0000	0.0000	0.0000	0.0000	0.0000	1.3000	0.0000	25.0000	25.0000	0.8000	circle	1.0000	2000.0000	0.2000	0.0000	0.0000	10	true	true	0.0000	0.0000	0.0000	small	ignore	wh_dwarf_default	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	1	0.9000			0.5000	1.6000	0	true		wh_main_unit_combat	false	false	-1.0000	-1.0000	0	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
snek_dwf_mining_plow	artillery	5.0000	6.0000	2.0000	5.0000	8.4000	1.0000	40.0000	35.0000	35.0000	1.6000	capsule	0.5500	4000.0000	2.0000	60.0000	120.0000	0	true	true	0.0000	0.0000	0.0000	large	rotation	wh2_dlc15_snotling_pump_wagon_rolla	5.0000	artillery_effects	0	0	0.0000	false	1.0000	20	0.2500			0.2500	1.4500	119	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	0	large_entity	false	1.0000	1.0000	0.2000	0.2200		false	false
snek_dwf_sappers	man	1.5000	2.8000	3.0000	4.0000	3.7000	1.3000	30.0000	25.0000	25.0000	0.6500	circle	1.0000	170.0000	1.4000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	ignore	wh_dwarf_default	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	1	0.9000			0.5000	1.6000	0	false		wh_main_unit_combat	true	true	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
wh_main_dwf_art_light_cannon	artillery	1.5000	2.8000	3.0000	4.0000	2.0000	1.2000	30.0000	20.0000	20.0000	2.1000	capsule	0.5000	2000.0000	1.8000	50.0000	45.0000	350	false	false	0.0000	0.0000	0.0000	very_large	rotation	wh_war_machine_wood_small	0.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.7500		dwf_cannon	0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false	false
wh_main_dwf_art_thunder_cannon	artillery	0.3000	0.3000	1.0000	1.0000	0.0000	1.2000	30.0000	20.0000	20.0000	5.0000	capsule	0.4500	7000.0000	4.0000	50.0000	45.0000	2000	true	true	0.0000	0.0000	0.0000	very_large	rotation	wh_war_machine_wood_small	0.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.7500		cst_queen_bess	0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false	false
