key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	strafe_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_resistance	projectile_penetration_speed_change	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	combat_camera_shake	has_blood	can_dismember	dismember_arms_alive_hp_ratio	dismember_head_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	anim_lod_distance_multiplier	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	size_for_animation_lod	leaves_collision_when_dies	stop_before_turn
#battle_entities_tables;39;db/battle_entities_tables/!!!!!!!2xunitsize_compat_!zfcr_unique_steam_tanks
zfcr_emp_steam_tank_alter_kamerad	artillery	1.6000	5.0000	4.0000	6.0000	7.2000	1.6000	50.0000	40.0000	40.0000	4.0000	capsule	0.4200	5000.0000	3.0000	40.0000	60.0000	8	false	false	2.5000	0.0000	0.0000	large	rotation	wh_war_machine_steamtank	6.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.8000			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
zfcr_emp_steam_tank_deliverance	artillery	1.7000	6.0000	4.4000	6.0000	7.7000	1.6000	50.0000	40.0000	40.0000	4.0000	capsule	0.4200	5000.0000	3.0000	40.0000	60.0000	8	false	false	2.5000	0.0000	0.0000	large	rotation	wh_war_machine_steamtank	6.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.8000			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
zfcr_emp_steam_tank_generic	artillery	1.6000	4.8000	4.0000	6.0000	8.4000	1.6000	50.0000	40.0000	40.0000	4.0000	capsule	0.4200	5000.0000	3.0000	40.0000	60.0000	8	false	false	2.5000	0.0000	0.0000	large	rotation	wh_war_machine_steamtank	6.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.8000			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
zfcr_emp_steam_tank_implacable	artillery	1.8000	5.5000	4.4000	6.0000	8.0000	1.6000	50.0000	40.0000	40.0000	4.0000	capsule	0.4200	4500.0000	2.5000	40.0000	60.0000	8	false	false	2.5000	0.0000	0.0000	large	rotation	wh_war_machine_steamtank	6.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.8000			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
zfcr_emp_steam_tank_invincible	artillery	1.8000	5.5000	4.4000	6.0000	8.0000	1.6000	50.0000	40.0000	40.0000	4.0000	capsule	0.4200	4500.0000	2.6000	40.0000	60.0000	8	false	false	2.5000	0.0000	0.0000	large	rotation	wh_war_machine_steamtank	6.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.8000			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
zfcr_emp_steam_tank_kathleen	chariot	1.6000	4.8000	4.0000	6.0000	8.4000	1.6000	50.0000	40.0000	40.0000	3.0000	capsule	0.4200	3000.0000	2.0000	40.0000	60.0000	8	false	false	2.5000	0.0000	0.0000	medium	rotation	wh_war_machine_steamtank	6.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.8000			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
zfcr_emp_steam_tank_patriarchs_storm	artillery	1.6000	4.8000	4.0000	6.0000	8.4000	1.6000	50.0000	40.0000	40.0000	4.0000	capsule	0.4200	5000.0000	3.5000	40.0000	60.0000	8	false	false	2.5000	0.0000	0.0000	large	rotation	wh_war_machine_steamtank	6.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.8000			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
zfcr_emp_steam_tank_sigmars_hammer	chariot	2.0000	6.5000	5.0000	6.0000	8.5000	1.6000	50.0000	40.0000	40.0000	4.0000	capsule	0.4200	5000.0000	2.6000	40.0000	60.0000	8	false	false	2.5000	0.0000	0.0000	large	rotation	wh_war_machine_steamtank	6.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.8000			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
zfcr_emp_steam_tank_von_zeppels	chariot	1.6000	4.8000	4.0000	6.0000	8.4000	1.6000	50.0000	40.0000	40.0000	4.0000	capsule	0.4200	5000.0000	3.5000	360.0000	60.0000	8	false	false	2.5000	0.0000	0.0000	large	rotation	wh_war_machine_steamtank	6.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.8000			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
