key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies	stop_before_turn
#battle_entities_tables;39;db/battle_entities_tables/!!!!!!!2xunitsize_compat_DEER24Cathay
chituma	horse	2.8000	10.0000	7.0000	9.0000	17.0000	48.0000	45.0000	35.0000	1.4000	ellipse	0.5000	1400.0000	2.3000	360.0000	210.0000	8	true	true	1.0000	0.0000	0.0000	medium	1.0000	rotation_x	wh_horse_normal	0.0000	cavalry_effects	0	0	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
deer_baochuan	giant	6.5000	8.0000	10.0000	12.0000	11.0000	30.0000	25.0000	25.0000	16.0000	circle	1.0000	22000.0000	26.0000	80.0000	10.0000	8	true	true	0.0000	6.5000	7.0000	very_large	1.0000	ignore_and_disable_banking	wh3_cth_war_machine_kong_ming_sky_junk	0.0000	ethereal_effects	0	0	0.0000	false	1.1000	0.8000	20			0.0000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	hovering_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
deer_cth_wuchi	man	1.6000	4.2000	5.0000	6.0000	5.2000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	1000.0000	2.2000	360.0000	120.0000	4	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	2.0000	infantry_light_effects	80	80	0.0000	true	0.8000	0.9000	1	wh_main_generic_character_aura		0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	70	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
deer_cth_zhouyu_horse2	giant	4.0000	6.0000	8.0000	10.0000	7.0000	30.0000	25.0000	25.0000	3.0000	circle	1.0000	2000.0000	20.0000	60.0000	120.0000	8	true	true	0.0000	3.0000	3.2000	very_large	1.0000	ignore_and_disable_banking	wh3_cth_war_machine_kong_ming_sky_junk	0.0000	ethereal_effects	0	0	0.0000	false	0.9000	0.8000	4			0.0000	1.4500	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	hovering_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
deer_qintongpao	artillery	1.2000	2.0000	3.0000	4.0000	4.0000	35.0000	30.0000	30.0000	2.6000	capsule	0.5500	3000.0000	2.5000	60.0000	60.0000	525	true	true	2.0000	0.0000	0.0000	very_large	1.0000	rotation	wh_chariot_metal	0.0000	artillery_effects	0	0	-0.8000	false	1.0000	0.7500	5		emp_great_cannon	0.9000	1.1000	0	false		false	false	wh_main_unit_combat	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false	false
doushen_longma	giant	2.0000	7.5000	6.0000	7.0000	12.0000	40.0000	35.0000	35.0000	1.4000	ellipse	0.5000	1600.0000	2.3000	60.0000	120.0000	8	true	true	1.0000	0.0000	0.0000	medium	1.0000	rotation_x	wh_horse_pegasus	0.0000	ethereal_effects	0	0	0.0000	false	1.1000	0.8500	3			0.0000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	20	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
wh3_deer24_BINGYONG_blood	man	1.5000	2.4000	3.0000	5.0000	5.0000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	300.0000	2.0000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_effects	20	20	0.0000	true	1.0000	0.9000	1			0.5000	1.6000	0	false		false	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		true	false
wh3_deer24_HUREN1_blood	giant	2.5000	6.5000	6.5000	7.0000	8.6000	45.0000	35.0000	35.0000	1.1000	ellipse	0.9000	1600.0000	3.5000	60.0000	90.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	wh3_kho_herald_LORD	5.0000	monstrous_infantry_effects	30	30	0.0000	false	0.8000	0.8000	4			0.5000	1.6000	1	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	30	large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
wh3_deer24_HUREN_blood	giant	2.3000	5.6000	5.0000	5.0000	9.0000	45.0000	45.0000	45.0000	1.0500	circle	1.0000	1300.0000	2.8000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	large	1.0000	ignore	none	4.0000	monstrous_infantry_effects	15	15	0.0000	false	1.0000	0.8000	3			0.5000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	30	large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
wh3_deer24_HUXIA_blood	man	1.5000	3.0000	3.5000	6.0000	5.0000	30.0000	30.0000	25.0000	0.6000	circle	1.0000	125.0000	1.5000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
wh3_deer24_JINGUO_blood	man	1.5000	3.6000	4.0000	6.0000	5.0000	30.0000	30.0000	25.0000	0.6000	circle	1.0000	200.0000	1.5000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_human_male	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9500	1			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	30	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
