key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	strafe_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_resistance	projectile_penetration_speed_change	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	combat_camera_shake	has_blood	can_dismember	dismember_arms_alive_hp_ratio	dismember_head_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	anim_lod_distance_multiplier	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	size_for_animation_lod	leaves_collision_when_dies	stop_before_turn
#battle_entities_tables;39;db/battle_entities_tables/!!!!!!!2xunitsize_compat_dominion
dom_aeronaught	man	1.8000	5.2000	6.5000	8.0000	5.6000	1.5000	35.0000	35.0000	35.0000	1.0000	circle	1.0000	400.0000	2.5000	120.0000	140.0000	8	true	true	1.0000	8.0000	12.0000	large	rotation_x	wh_fell_bat	3.0000	war_beast_effects	0	0	0.0000	false	0.9000	3	0.8500			0.0000	2.0000	0	false		wh_main_unit_combat	true	false	-1.0000	-1.0000	20	large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
dom_baron_01	man	1.5000	3.4000	2.0000	4.0000	4.1000	1.0000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	800.0000	2.2000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	ignore	wh_human_male	2.0000	infantry_light_effects	70	70	0.0000	true	1.0000	1	0.9000	wh_main_generic_character_aura		0.5000	1.6000	1	false		wh_main_unit_combat	true	true	-1.0000	-1.0000	20	small_entity	false	1.0000	2.2000	1.0000	1.0000		false	false
dom_baron_battlesuit	giant	3.0000	8.0000	6.0000	7.0000	13.5000	1.0000	45.0000	40.0000	40.0000	2.7000	capsule	0.9000	6000.0000	6.1000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	very_large	ignore	wh3_dlc23_chd_kdaai_destroyer	6.0000	giant_effects	70	70	0.0000	false	1.0000	5	0.7500	wh_main_generic_character_aura		0.5000	1.4500	1	false		wh_main_unit_combat	true	false	-1.0000	-1.0000	20	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
dom_carryall	chariot	2.0000	6.0000	3.0000	6.0000	10.0000	1.0000	30.0000	25.0000	25.0000	2.0000	capsule	0.6500	2000.0000	3.4000	40.0000	80.0000	8	true	true	1.0000	0.0000	0.0000	large	rotation	wh3_dlc23_chd_iron_daemon	3.0000	artillery_effects	0	0	0.0000	false	1.0000	20	0.7500			0.5000	1.4500	85	true		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
dom_flame_tank	giant	1.6000	4.0000	0.7000	10.0000	7.0000	0.7000	50.0000	40.0000	40.0000	4.1000	capsule	0.4500	5000.0000	2.6000	40.0000	30.0000	8	true	true	2.5000	0.0000	0.0000	large	rotation	wh3_kho_war_machine_skull_cannon	6.0000	artillery_effects	0	0	0.0000	false	1.0000	20	1.0000			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
dom_flying_fort	giant	1.8000	2.5000	10.0000	8.0000	3.4000	1.0000	30.0000	25.0000	25.0000	10.0000	capsule	1.0000	3000.0000	25.0000	360.0000	25.0000	8	true	true	0.0000	3.0000	3.2000	very_large	ignore_and_disable_banking	wh_gyrobomber	0.0000	ethereal_effects	0	0	0.0000	false	0.9000	4	0.8000			0.0000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	hovering_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
dom_flying_fort_mortar	man	1.8000	2.5000	10.0000	8.0000	3.4000	1.0000	30.0000	25.0000	25.0000	3.1000	circle	1.0000	100.0000	1.8000	360.0000	60.0000	8	true	true	0.0000	0.0000	0.0000	medium	rotation	wh_chariot_metal	0.0000	artillery_effects	0	0	0.0000	false	1.0000	2	0.9000			0.5000	1.6000	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	30	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
dom_heat_gun	artillery	2.0000	2.0000	2.0000	3.0000	2.0000	1.2000	30.0000	20.0000	20.0000	1.8000	capsule	0.4500	2000.0000	2.0000	50.0000	45.0000	425	true	true	0.0000	0.0000	0.0000	large	rotation	wh_chariot_metal	0.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.7500		emp_hellblaster	0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false	false
dom_heavy_mortar	artillery	1.7000	1.7000	2.0000	3.0000	2.0000	1.2000	30.0000	20.0000	20.0000	1.8000	capsule	0.6700	2000.0000	2.7000	45.0000	35.0000	800	true	true	0.0000	0.0000	0.0000	large	rotation	wh3_kho_war_machine_skull_cannon	0.0000	artillery_effects	0	0	0.0000	false	1.0000	1	0.9500		cst_queen_bess	0.5000	1.4500	0	false		wh_main_unit_combat	false	true	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false	false
dom_heavy_tank	artillery	1.6000	6.0000	0.8000	10.0000	8.4000	0.7000	50.0000	40.0000	40.0000	4.5000	capsule	0.4200	5000.0000	3.0000	15.0000	30.0000	425	true	false	1.5000	0.0000	0.0000	large	rotation	wh3_dlc23_chd_iron_daemon	6.0000	artillery_effects	0	0	-0.5000	false	1.0000	20	0.2500			0.5000	1.4500	1	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	30	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
dom_light_mortar	artillery	2.0000	2.0000	2.0000	3.0000	2.0000	1.2000	30.0000	20.0000	20.0000	1.5000	capsule	0.7000	2000.0000	1.7000	50.0000	45.0000	425	true	true	0.0000	0.0000	0.0000	large	rotation	wh_chariot_metal	0.0000	artillery_effects	0	0	0.0000	false	1.0000	5	0.7500		emp_mortar	0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_entity	true	1.0000	1.0000	1.0000	1.0000		false	false
dom_light_tank	artillery	1.6000	4.8000	4.0000	6.0000	8.4000	1.6000	50.0000	40.0000	40.0000	4.0000	capsule	0.4200	5000.0000	3.0000	360.0000	60.0000	8	false	false	2.5000	0.0000	0.0000	large	rotation	wh3_kho_war_machine_skull_cannon	6.0000	artillery_effects	100	0	0.0000	false	1.0000	15	0.8000			0.5000	1.4500	0	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	wheeled_train_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
dom_pillbox	chariot	1.5000	7.2000	3.0000	5.0000	9.8000	1.0000	35.0000	30.0000	30.0000	3.0000	capsule	0.4500	1900.0000	3.0000	360.0000	60.0000	8	true	true	0.0000	0.0000	0.0000	very_large	rotation	wh3_kho_war_machine_skull_cannon	5.0000	war_beast_effects	0	0	0.0000	false	1.0000	20	0.2500			0.2500	1.4500	74	false		wh_main_unit_combat	false	false	-1.0000	-1.0000	20	articulated_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
