key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constants	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies	stop_before_turn
#battle_entities_tables;39;db/battle_entities_tables/!!!!!!!2xunitsize_compat_froeb_dark_land_orcs
frb_dark_land_bulwarks_entity	man	1.5000	3.0000	2.0000	4.0000	4.0000	35.0000	30.0000	30.0000	0.9000	circle	1.0000	800.0000	2.0000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_orc	0.0000	infantry_light_effects	30	15	0.0000	true	1.0000	0.9000	3			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
frb_dark_land_bulwarks_ror_entity	man	1.5000	3.2000	2.0000	4.0000	4.0000	35.0000	30.0000	30.0000	0.9000	circle	1.0000	1000.0000	2.0000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_orc	0.0000	infantry_light_effects	30	15	0.0000	true	1.0000	0.9000	3			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
frb_dark_land_drake_entity	giant	3.2000	6.4000	6.0000	10.0000	8.8000	35.0000	35.0000	35.0000	3.5000	capsule	0.5500	5000.0000	7.0000	120.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation	wh2_dlc17_jabberslythe	3.5000	war_beast_effects	60	50	-1.7000	false	1.1000	0.8000	5			0.0000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	70	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
frb_dark_land_drake_ror_entity	giant	4.0000	8.0000	8.0000	10.0000	10.0000	45.0000	42.0000	35.0000	10.0000	capsule	0.4000	14000.0000	10.0000	120.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation	wh2_dlc17_jabberslythe	3.5000	war_beast_effects	60	50	-4.0000	false	1.1000	0.9000	8			0.0000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	70	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
frb_dark_land_orc_boyz_big_uns_entity	man	1.4000	2.7000	2.0000	4.0000	3.9000	35.0000	30.0000	30.0000	0.8000	circle	1.0000	250.0000	2.0000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_orc	0.0000	infantry_light_effects	15	0	0.0000	true	1.0000	0.9000	2			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
frb_dark_land_orc_boyz_entity	man	1.4000	2.9000	2.0000	4.0000	3.9000	35.0000	30.0000	30.0000	0.7000	circle	1.0000	150.0000	2.0000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_orc	0.0000	infantry_light_effects	0	0	0.0000	true	1.0000	0.9000	2			0.5000	1.6000	0	false		true	true	wh_main_unit_combat	-1.0000	-1.0000	20	small_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
frb_dark_land_orcs_legendary_hero_boar_entity	horse	1.5000	7.0000	5.5000	6.0000	10.4000	35.0000	30.0000	30.0000	1.3200	ellipse	0.5500	2500.0000	1.6500	60.0000	60.0000	8	true	true	1.0000	0.0000	0.0000	medium	1.0000	rotation_x	wh_boar	0.0000	cavalry_effects	60	85	0.0000	false	1.0000	0.8500	2			0.5000	1.6000	0	false		true	false		-1.0000	-1.0000	70	medium_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
frb_dark_land_orcs_legendary_lord_entity	man	1.5000	3.6000	3.0000	4.0000	4.5000	35.0000	35.0000	35.0000	0.8900	circle	1.0000	2000.0000	2.3000	60.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	small	1.0000	ignore	wh_orc	2.0000	infantry_effects	85	80	0.0000	true	1.0000	0.7500	5	wh_main_generic_character_aura		0.5000	1.4500	1	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	70	small_entity	false	4.0000	1.0000	1.0000	1.0000		false	false
frb_orc_dragon_entity	giant	3.5000	7.0000	6.0000	10.0000	8.8000	35.0000	35.0000	35.0000	4.4000	capsule	0.5500	7000.0000	8.5000	120.0000	120.0000	8	true	true	0.0000	0.0000	0.0000	very_large	1.0000	rotation	wh2_dlc17_jabberslythe	4.0000	war_beast_effects	70	60	-1.7000	false	1.1000	0.8000	5			0.0000	1.4500	0	false		true	false	wh_main_unit_combat	-1.0000	-1.0000	70	very_large_entity	false	1.0000	1.0000	1.0000	1.0000		false	false
