key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_!!!!!!Champions_of_undeath_merged_fun_tyme
albrecht_nictus	15	wh2_main_plate_130	2100	war_beast	65	com	albrecht_historical_text	hu8_albrect_nictus	albrecht_entity	65	55	75	18000		0	drahkenhof_templar_albrecht_claws		2	none	albrecht_nictus_desc	wh_main_monster	trained			true	40.0000	1500.0000	abrecht_rictus_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	false	false	false	medium	medium	domination_monsters				1.0000	1.0000	false	false
anark_von_carstein_0	10	wh2_main_plate_120	2100	inf_melee	35	com	anrak_historical_text	hu1_anark_grandmaster_foot	anark_foot	60	55	70	9000		0	drahkenhof_templar_anark_sword_0		2	none	anark_von_carstein_desc	wh_main_hero	trained			true	40.0000	1500.0000	anark_attributes_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
anark_von_carstein_1	10	wh2_main_plate_125	2100	war_beast	50	com	anrak_historical_text	hu1_dlc14_hr1_warhorse_repanse_2handed_sword	anark_horse_rider	65	50	70	11000	drakenhof_nightmare_lu	1	drahkenhof_templar_anark_sword_1		2	none	anark_von_carstein_desc	wh_main_hero	trained			true	40.0000	1500.0000	anark_attributes_1	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_generic_short	1.0000	large	0	0	0	0	0	15	15	0	melee_flanker_shock	false	false	false	false	medium	medium	domination_cav				1.0000	1.0000	false	false
anark_von_carstein_2	10	wh2_main_bone_110	2100	war_beast	55	com	anrak_historical_text	hu1_anark_griff	anarkn_griffon_rider	50	40	75	14000	anark_skeletal_griffon	1	drahkenhof_templar_anark_sword_2		2	none	anark_von_carstein_desc	wh_main_hero	trained			true	40.0000	1500.0000	anark_attributes_2	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	0	flying_melee_shock_mage_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
big_boss_shaman	10	wh2_main_body_70	2100	war_beast	80	com	wh_main_unit_long_text_grn_orc_warboss	hu2_orc_bi2_wyvern_wb_sword_and_axe	wh_main_grn_cha_orc_hero_lgn_blood	50	32	72	13984	wh_main_grn_mnt_skullmuncha	1	wh_main_grn_wyvern_skullmuncha		2	none	wh_main_unit_short_text_grn_azhag	wh_main_monster	trained			true	40.0000	1500.0000	wh_main_grn_cha_azhag_the_slaughterer_1	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	0	25	0	flying_melee_shock_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
bkc_oath_bound_revanants_ror	15	wh2_main_plate_110	2100	war_beast	80	cav_shk	wh_main_unit_long_text_vmp_black_knights	hu1c_oath_bound_riders	bkc_stahl_ror	55	50	85	470	bkc_ror_steed	32	stal_bkc_black_knight_oath		6	wh_missile_block_35_metal	wh_main_unit_short_text_vmp_black_knights	wh_main_cavalry_very_chaotic	trained			true	40.0000	1500.0000	bkc_oath_bound_revanants_ror	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_generic	1.0000	large	0	0	0	0	0	10	15	0	melee_cav_shock_highvalue	false	false	false	false	high	high	domination_cav				1.0000	1.0000	false	false
bkc_rabe_von_stahl_0	10	wh2_main_plate_90	2100	inf_melee	30	com	rabe_historical_text	hu1c_rabe_von_stahl_foot	bkc_stahl	55	45	80	8000		0	stal_bkc_0		2	wh_missile_block_35_metal	bkc_rabe_von_stahl_desc	wh_main_infantry	trained			true	40.0000	1500.0000	bkc_rabe_von_stahl_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	10	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
bkc_rabe_von_stahl_1	10	wh2_main_plate_110	2100	war_beast	60	com	rabe_historical_text	hu1c_rabe_von_stahl_mounted_warhorse_rider	bkc_stahl	65	55	80	8500	bkc_stahl_steed	1	stal_bkc_1		2	wh_missile_block_35_metal	bkc_rabe_von_stahl_desc	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	bkc_rabe_von_stahl_1	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	10	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
black_grail_foot_squire	10	wh2_main_plate_90	2100	inf_melee	12	inf_mel	wh_main_unit_long_text_vmp_grave_guard	hu1_vmp_bgs_pikes	black_grail_foot_squire	29	50	65	74		0	black_grail_squire_pikes		12	none	black_grail_foot_squire_desc	wh_main_infantry_2handed	trained			true	40.0000	1500.0000	black_grail_foot_squire_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
