key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_!!!1a_glf_unit_expansion
glf_brt_bolt_thrower	10	wh2_main_leather_15	2100	artillery	5	art_fld	glf_brt_bolt_thrower	hu1_empire_hammer	wh2_dlc16_infantry_standard_crew_blood_dismembers	10	6	40	45		0	wh_main_brt_hammer		5	none	glf_brt_bolt_thrower	wh_main_artillery	trained		glf_brt_bolt_thrower	true	40.0000	1500.0000	glf_brt_bolt_thrower	60	80	0	vo_sel_bretonnian_field_trebuchet	vo_sel_artillery	vo_sel_culture	1.0000	small	0	22	0	0	8	0	0	0	ranged_direct_arty	false	false	false	false	medium	medium	domination_artillery		wh_dlc06_dwf_art_bolt_thrower	artillery	1.0000	1.0000	false	false
glf_brt_cattle_trebuchet	10	wh2_main_leather_15	2100	artillery	5	art_fld	wh_main_unit_long_text_brt_field_trebuchet	hu1_empire_hammer	wh2_dlc16_infantry_standard_crew_blood_dismembers	10	6	40	45		0	wh_main_brt_hammer		5	none	glf_brt_cattle_trebuchet	wh_main_artillery	trained		glf_brt_cattle_trebuchet	true	40.0000	1500.0000	wh_main_brt_art_field_trebuchet	60	80	0	vo_sel_bretonnian_field_trebuchet	vo_sel_artillery	vo_sel_culture	1.0000	small	0	22	0	0	8	0	0	0	ranged_indirect_arty	false	false	false	false	medium	medium	domination_artillery		brt_field_trebuchet	artillery	1.0000	1.0000	false	false
glf_brt_crossbowmen	10	wh2_main_leather_30	2100	inf_ranged	3	inf_mis	wh_main_unit_long_text_brt_peasant_bowmen	hu1_empire_sword_crossbow	glf_brt_longbowmen	14	17	42	58		0	wh_main_brt_sword_short	glf_brt_crossbowmen	8	none	glf_brt_crossbowmen	wh_main_infantry_ranged	trained			true	40.0000	1500.0000	wh_main_brt_inf_peasant_bowmen	60	80	0	vo_sel_bretonnian_peasant_bowmen	vo_sel_missile	vo_sel_culture	1.0000	small	0	22	0	0	0	0	0	0	ranged	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
glf_brt_errant_brigade_ror	10	wh2_main_plate_80	2100	inf_melee	18	inf_mel	wh_dlc07_unit_long_text_brt_knights_errant	hu1_empire_2handed_sword	wh_main_infantry_slow_blood_dismembers	36	36	70	61		0	wh_dlc07_brt_squire_sword_great		12	none	glf_brt_errant_brigade_ror	wh_main_infantry_greatswords	trained			true	40.0000	1500.0000	wh_dlc07_brt_cav_knights_errant_0	60	80	0	vo_sel_bretonnian_knights_errant	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
glf_brt_fastrics_skylance_ror	10	wh2_main_plate_80	2100	cavalry	75	cav_mel	wh_main_unit_long_text_brt_pegasus_knights	hu1_bretonnian_hr1_pegasus_lancer	wh_main_cavalry_rider_standard_blood	45	41	85	245	wh_main_brt_mnt_pegasus	48	wh_main_brt_lance_pegasus_knights		4	wh_missile_block_35_wood	glf_brt_fastrics_skylance_ror	wh_main_cavalry_pegasus_knights	trained			true	40.0000	1500.0000	glf_brt_fastrics_skylance_ror	60	80	0	vo_sel_bretonnian_pegasus_knights	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	flying_melee_flanker_shock	false	false	false	false	cant_capture	cant_capture	cant_capture			melee	1.0000	1.0000	false	false
glf_brt_herrimault	15	wh2_main_leather_15	2100	inf_ranged	4	inf_mis	wh_main_unit_long_text_brt_peasant_bowmen	hu1_dlc13_huntsman_sword_bow	glf_brt_herrimault	28	26	52	54		0	wh_dlc07_brt_sword	glf_brt_herrimault	8	none	glf_brt_herrimault	wh2_dlc13_emp_inf_huntsmen	trained			true	40.0000	1500.0000	glf_brt_herrimault	60	80	0	vo_sel_bretonnian_peasant_bowmen	vo_sel_missile	vo_sel_culture	1.0000	small	0	22	0	0	0	0	0	0	ranged	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
glf_brt_hippogryph_subspecies_knights_ror	10	wh2_main_plate_120	2100	cavalry	60	cav_shk	wh_main_unit_long_text_emp_demigryph_knights	glf_hu1_grail_bc2_demigryph_lance_sword_shield	wh_main_cavalry_rider_standard_blood	50	48	85	260	glf_brt_hippogryph_subspecies_knights_ror_mount	64	glf_brt_hippogryph_subspecies_knights_ror		4	wh_missile_block_35_wood	glf_brt_hippogryph_subspecies_knights_ror	wh_main_monstrous_cavalry	trained			true	40.0000	1500.0000	glf_brt_hippogryph_subspecies_knights_ror	60	80	0	vo_sel_cavalry	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false	low	low	domination_cav			melee	1.0000	1.0000	false	false
glf_brt_jean_claude_sartre_bowmen_ror	10	wh2_main_leather_15	2100	inf_ranged	3	inf_mis	wh_main_unit_long_text_brt_peasant_bowmen	hu1_bretonnian_sword_and_longbow	wh_main_infantry_standard_light_blood_dismembers	14	19	46	46		0	wh_main_brt_sword_short	glf_brt_jean_claude_sartre_bowmen_ror_missile	10	none	glf_brt_jean_claude_sartre_bowmen_ror	wh_main_infantry_ranged	trained			true	40.0000	1500.0000	glf_brt_jean_claude_sartre_bowmen_ror	60	80	18	vo_sel_bretonnian_peasant_bowmen	vo_sel_missile	vo_sel_culture	1.0000	small	0	45	0	0	0	0	0	0	ranged	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
glf_brt_knights_of_the_realm_sword	10	wh2_main_plate_100	2100	cavalry	34	cav_shk	wh_main_unit_long_text_brt_knights_of_the_realm	hu1_empire_hr1_warhorse_sword_and_shield	wh_main_cavalry_rider_standard_blood	34	34	75	96	wh_main_brt_mnt_warhorse_knights	120	glf_brt_knights_of_the_realm_sword		8	wh_missile_block_35_wood	glf_brt_knights_of_the_realm_sword	wh_main_cavalry_ordered	trained			true	40.0000	1500.0000	wh_main_brt_cav_knights_of_the_realm	60	80	0	vo_sel_bretonnian_knights_realm	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false	low	low	domination_cav			melee	1.0000	1.0000	false	false
