key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_!!!cou_blood_knight_heretics_live_build
cou_kho_blood_dragons_LH	10	wh2_main_heavy_metal_110	2100	inf_melee	40	com	cou_vo_actor_Vulkharan_Kharrneth_historical	hu1c_khorne_vamp_dual_axe	cou_vo_actor_Vulkharan_Kharrneth	60	40	70	12000		0	cou_kho_blood_dragons_LH		2	none	cou_kho_blood_dragons_LH_short	wh_main_infantry_chaos_warriors	trained			true	40.0000	1500.0000	cou_kho_blood_dragons_LH	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	20	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			melee	1.0000	1.0000	false	false
cou_kho_blood_dragons_LH_mounted	10	wh2_main_heavy_metal_130	2100	war_beast	70	com	cou_vo_actor_Vulkharan_Kharrneth_historical	hu1c_khorne_vamp_blood_throne_rider_dual_axe	cou_vo_actor_Vulkharan_Kharrneth	55	35	80	13880	cou_bkh_blood_throne_mount	1	wh3_dlc26_kho_skulltaker_bloodthrone		2	none	wh3_dlc26_unit_short_text_kho_cha_skulltaker	wh_main_chariot	trained			true	40.0000	1500.0000	cou_kho_blood_dragons_LH	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	1.0000	large	0	0	0	35	0	20	0	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters			melee	1.0000	1.0000	false	false
cou_kho_blood_dragons_bi2_rider	10	wh2_main_bone_110	2100	war_beast	50	cav_mel	cou_kho_vamps_historical	hu1c_blood_dragon_heretic_bi2_rider	cou_kho_vamps	55	40	80	10000	cou_kho_blood_dragons_terrorghiest	1	cou_kho_vamp_terrorgheist		2	none	cou_kho_vamps_short	wh_main_monster	trained			true	40.0000	1500.0000	cou_kho_blood_dragons_bi2_rider	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	10	20	0	flying_melee_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture			melee	1.0000	1.0000	false	false
cou_kho_blood_dragons_cav	10	wh2_main_heavy_metal_100	2100	war_beast	45	cav_mel	cou_kho_vamps_historical	hu1c_blood_dragon_heretic_hr1_rider	cou_kho_vamps	60	50	70	595	cou_kho_blood_dragons_steed	32	cou_kho_vamp_cav		4	none	cou_kho_vamps_short	wh_main_cavalry_very_chaotic	trained			true	40.0000	1500.0000	cou_kho_blood_dragons_cav	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	5	15	0	melee_highvalue	false	false	false	false	high	high	domination_cav			melee	1.0000	1.0000	false	false
cou_kho_blood_dragons_inf	10	wh2_main_heavy_metal_100	2100	inf_melee	35	inf_mel	cou_kho_vamps_historical	hu1c_blood_dragon_heretic	cou_kho_vamps	55	50	70	500		0	cou_kho_vamp_inf		6	none	cou_kho_vamps_short	wh_main_cavalry_very_chaotic	trained			true	40.0000	1500.0000	cou_kho_blood_dragons_inf	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	small	0	0	0	0	0	0	10	0	melee_highvalue	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
cou_nur_depth_guard_LH	10	wh2_main_heavy_metal_90	2100	inf_ranged	60	com	cou_vo_actor_Korrhal_Covenjaw_historical	hc7_the_shoreless_hunger	cou_vo_actor_Korrhal_Covenjaw	60	35	70	17800		0	cou_nur_depth_guard_LH		2	none	cou_nur_depth_guard_LH_short	wh_main_monster	trained			true	40.0000	1500.0000	cou_nur_depth_guard_LH	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	20	0	15	20	0	hybrid_gatecrusher	false	true	false	false	high	high	domination_monsters			melee	1.0000	1.0000	false	false
cou_nur_depth_guard_cav	10	wh2_main_heavy_metal_120	2100	war_beast	60	cav_shk	cou_nur_vamps_historical	hu1c_fathom_knight_fish_rider	cou_nur_vamp_fish_rider	42	48	70	645	cou_nurgle_fathom_fish	32	cou_nur_vamps_cav_fish		4	wh_missile_block_30_wood	cou_nur_vamps_short	wh3_main_skullcrushers	trained			true	40.0000	1500.0000	cou_nur_depth_guard_cav	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	5	15	0	melee_flanker_shock	false	false	false	false	high	high	domination_cav			melee	1.0000	1.0000	false	false
cou_nur_depth_guard_dr5_rider	10	wh2_main_heavy_metal_120	2100	war_beast	42	cav_mel	cou_nur_vamps_historical	hu1c_fathom_knight_toad_dragon_rider	cou_nur_vamp_fish_rider	49	36	85	11954	cou_nur_fathomite_toad_dragon	1	cou_nur_vamps_toad_dragon		2	none	cou_nur_vamps_short	wh_colossal_unit	trained			true	40.0000	1500.0000	cou_nur_depth_guard_dr5_rider	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	10	20	0	melee_gatecrusher_highvalue	false	false	false	false	medium	medium	domination_monsters			melee	1.0000	1.0000	false	false
cou_nur_depth_guard_inf	10	wh2_main_heavy_metal_120	2100	inf_melee	26	inf_mel	cou_nur_vamps_historical	hu1c_fathomite_scythe_and_claw	cou_nur_vamp_inf	40	45	80	550		0	cou_nur_vamps_inf		6	wh_missile_block_30_wood	cou_nur_vamps_short	wh_main_cavalry_very_chaotic	trained			true	40.0000	1500.0000	cou_nur_depth_guard_inf	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	small	0	0	0	0	0	0	10	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
