key	category	class	short_description_text	historical_description_text	campaign_action_points	man_entity	man_animation	num_mounts	mount	spacing	rank_depth	morale	bonus_hit_points	training_level	armour	shield	primary_missile_weapon	accuracy	primary_ammo	primary_melee_weapon	melee_attack	charge_bonus	melee_defence	num_engines	engine	articulated_record	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	can_brace	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_!!!d3rpyVersaEng
derpy_malakai_drakegun	inf_melee	com	wh3_dlc25_unit_short_text_dwf_cha_malakai_makaisson	wh3_dlc25_unit_long_text_dwf_cha_malakai_makaisson	2100	wh_main_dwf_inf_dwarfs_blood_dismembers	hu3_dwarf_drakegun	0		wh_main_infantry	2	100	9224	trained	wh_main_body_0	none	derpy_main_dwf_drakegun	10	90	derpy_w_armor_carrier	55	30	45	0			true	40.0000	1500.0000	wh3_dlc25_dwf_cha_malakai_makaisson	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	35	0	15	0	ranged_direct_highvalue	false	false	false	high	high	domination_characters		true		skirmish	1.0000	1.0000	false	false
derpy_malakai_drill	inf_melee	com	wh3_dlc25_unit_short_text_dwf_cha_malakai_makaisson	wh3_dlc25_unit_long_text_dwf_cha_malakai_makaisson	2100	wh_main_dwf_inf_dwarfs_blood_dismembers	derpy_hu3_dwf_miners_steam_drills	0		wh_main_hero	2	100	9224	trained	wh_main_body_0	none		10	90	w_main_dwf_drill	55	30	45	0			true	40.0000	1500.0000	wh3_dlc25_dwf_cha_malakai_makaisson	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	35	0	15	0	ranged_direct_highvalue	false	false	false	high	high	domination_characters		true		skirmish	1.0000	1.0000	false	false
derpy_malakai_heavycrank	inf_melee	com	wh3_dlc25_unit_short_text_dwf_cha_malakai_makaisson	wh3_dlc25_unit_long_text_dwf_cha_malakai_makaisson	2100	wh_main_dwf_inf_dwarfs_blood_dismembers	hu3_runelord_hammer	0		wh_main_infantry	2	100	9224	trained	wh_main_body_0	none	derpy_main_dwf_crankgun_bullet	10	500	derpy_w_armor_carrier	55	30	45	0			true	40.0000	1500.0000	wh3_dlc25_dwf_cha_malakai_makaisson	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	35	0	15	0	ranged_direct_highvalue	false	false	false	high	high	domination_characters		true		skirmish	1.0000	1.0000	false	false
derpy_malakai_keg	inf_melee	com	wh3_dlc25_unit_short_text_dwf_cha_malakai_makaisson	wh3_dlc25_unit_long_text_dwf_cha_malakai_makaisson	2100	wh_main_dwf_inf_dwarfs_blood_dismembers	dwf_keg_launcher	0		wh_main_hero	2	100	9224	trained	wh_main_body_0	none	derpy_main_dwf_brimstonegun	10	90	wh_main_dwf_drakegun_heroes	55	30	45	0			true	40.0000	1500.0000	wh3_dlc25_dwf_cha_malakai_makaisson	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	35	0	15	0	ranged_direct_highvalue	false	false	false	high	high	domination_characters		true		skirmish	1.0000	1.0000	false	false
derpy_malakai_lightcrank	inf_melee	com	wh3_dlc25_unit_short_text_dwf_cha_malakai_makaisson	wh3_dlc25_unit_long_text_dwf_cha_malakai_makaisson	2100	wh_main_dwf_inf_dwarfs_blood_dismembers	hu3_runelord_hammer	0		wh_main_infantry	2	100	9224	trained	wh_main_body_0	none	derpy_main_dwf_cranklow_bullet	10	500	derpy_w_armor_carrier	55	30	45	0			true	40.0000	1500.0000	wh3_dlc25_dwf_cha_malakai_makaisson	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	35	0	15	0	ranged_direct_highvalue	false	false	false	high	high	domination_characters		true		skirmish	1.0000	1.0000	false	false
derpy_malakai_rocket	inf_melee	com	wh3_dlc25_unit_short_text_dwf_cha_malakai_makaisson	wh3_dlc25_unit_long_text_dwf_cha_malakai_makaisson	2100	wh_main_dwf_inf_dwarfs_blood_dismembers	hu3_runelord_hammer	0		wh_main_infantry	2	100	9224	trained	wh_main_body_0	none	derpy_main_dwf_homing	10	300	derpy_w_armor_carrier	55	30	45	0			true	40.0000	1500.0000	wh3_dlc25_dwf_cha_malakai_makaisson	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	35	0	15	0	ranged_direct_highvalue	false	false	false	high	high	domination_characters		true		skirmish	1.0000	1.0000	false	false
derpy_malakai_sniper	inf_melee	com	wh3_dlc25_unit_short_text_dwf_cha_malakai_makaisson	wh3_dlc25_unit_long_text_dwf_cha_malakai_makaisson	2100	wh_main_dwf_inf_dwarfs_blood_dismembers	hu3_dwarf_2handed_hammer_and_rifle	0		wh_main_hero	2	100	9224	trained	wh_main_body_0	none	derpy_main_dwf_sniper	10	90	wh_main_dwf_crankgun_axe	55	30	45	0			true	40.0000	1500.0000	wh3_dlc25_dwf_cha_malakai_makaisson	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	35	0	15	0	ranged_direct_highvalue	false	false	false	high	high	domination_characters		true		skirmish	1.0000	1.0000	false	false
derpy_malakai_trollhammer	inf_melee	com	wh3_dlc25_unit_short_text_dwf_cha_malakai_makaisson	wh3_dlc25_unit_long_text_dwf_cha_malakai_makaisson	2100	wh_main_dwf_inf_dwarfs_blood_dismembers	hu3_runelord_hammer	0		wh_main_infantry	2	100	9224	trained	wh_main_body_0	none	derpy_main_dwf_trollgun	10	90	derpy_w_armor_carrier	55	30	45	0			true	40.0000	1500.0000	wh3_dlc25_dwf_cha_malakai_makaisson	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	35	0	15	0	ranged_direct_highvalue	false	false	false	high	high	domination_characters		true		skirmish	1.0000	1.0000	false	false
derpy_master_engineer_CrankGun	inf_ranged	com	wh_main_unit_short_text_dwf_master_engineer	wh_main_unit_long_text_dwf_master_engineer	2100	wh_main_dwf_cha_dwarf_hero_blood_dismembers_medium_kb_resist	derpy_cody_hu3_malakai_makaisson_crankgun_and_2handed_axe	0		wh_main_hero	2	72	7800	trained	wh2_main_chainmail_120	none	derpy_main_dwf_crankgun_bullet	10	500	wh_main_dwf_crankgun_axe	40	14	30	0			true	40.0000	1500.0000	wh_main_dwf_cha_master_engineer_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	35	0	15	0	ranged_highvalue	true	false	false	high	high	domination_characters		true		skirmish	1.0000	1.0000	false	false
