key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_!Zayli_Cathay_DE
wh3_main_cth_cha_lord_magistrate_0	10	wh2_main_leather_40	2100	inf_melee	25	com	wh3_main_unit_long_text_cth_cha_lord_magistrate	hu1e_sword_lord	wh_main_infantry_standard_hero_blood_dismembers	32	50	70	9136		0	wh3_main_cth_lord_magistrate_sword		2	none	wh3_main_unit_short_text_cth_cha_lord_magistrate	wh_main_infantry	trained			true	40.0000	1500.0000	wh3_main_cth_cha_lord_magistrate_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	mage_highvalue	false	true	false	false	high	high	domination_characters	harmony_amplifier_150%			1.0000	1.0000	false	false
wh3_main_cth_cha_lord_magistrate_1	10	wh2_main_chainmail_80	2100	war_beast	45	com	wh3_main_unit_long_text_cth_cha_lord_magistrate	hu1e_hr1_warhorse_sword_lord	wh_main_infantry_standard_hero_blood_dismembers	32	50	70	10360	wh3_main_cth_mnt_horse_hero	1	wh3_main_cth_lord_magistrate_sword		2	none	wh3_main_unit_short_text_cth_cha_lord_magistrate	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	wh3_main_cth_cha_lord_magistrate_1	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	0	mage_flanker_highvalue	false	false	false	false	high	high	domination_characters	harmony_amplifier_150%			1.0000	1.0000	false	false
wh3_main_cth_cha_lord_magistrate_2	10	wh2_main_leather_30	2100	war_beast	1	com	wh3_main_unit_long_text_cth_cha_lord_magistrate	hu1e_sword_lord	wh_main_infantry_standard_hero_blood_dismembers	15	22	70	14000	wh3_main_cth_mnt_sky_lantern	1	wh_main_cth_sky_lantern	wh3_cth_sky_lantern_crane_gun_bullet	2	none	wh3_main_unit_short_text_cth_cha_lord_magistrate	wh_main_monster	trained			true	40.0000	1500.0000	wh3_main_cth_cha_lord_magistrate_2	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	50	0	0	0	0	15	0	flying_hybrid_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture	harmony_amplifier_150%			1.0000	1.0000	false	false
wh3_main_cth_inf_peasant_archers_0	10	wh2_main_leather_15	2100	inf_ranged	3	inf_mis	wh3_main_unit_long_text_cth_inf_peasant_archers_0	hu1e_bow_and_sword	wh3_main_cth_infantry_light_blood_dismembers	11	13	40	43		0	wh3_main_cth_peasant_sword	wh3_cth_peasant_bow_arrow	10	none	wh3_main_unit_short_text_cth_inf_peasant_archers_0	wh_main_infantry_ranged	trained			true	40.0000	1500.0000	wh3_main_cth_inf_peasant_archers_0	60	80	0	vo_sel_cth_peasant_archers	vo_sel_missile	vo_sel_culture	1.0000	small	0	22	0	0	0	0	0	0	ranged	true	true	false	false	medium	medium	domination_infantry_expendable				1.0000	1.0000	false	false
wh3_main_cth_inf_peasant_spearmen_1	10	wh2_main_leather_20	2100	inf_melee	3	inf_mel	wh3_main_unit_long_text_cth_inf_peasant_spearmen_1	hu1e_long_spear	wh3_main_cth_infantry_blood_dismembers	20	23	50	48		0	wh3_main_cth_long_spear		16	none	wh3_main_unit_short_text_cth_inf_peasant_spearmen_1	wh_main_infantry_ranged	trained			true	40.0000	1500.0000	cth_zayli_spear_infantry_expendable	60	80	0	vo_sel_cth_peasant_spearmen	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry_expendable				1.0000	1.0000	false	false
wh3_main_cth_veh_sky_lantern_0	10	wh2_main_leather_30	2100	war_beast	1	inf_mis	wh3_main_unit_long_text_cth_veh_sky_lantern_0	hu1e_skyjunk01_crew_pilot	wh3_main_cth_sky_lantern_gunner_rider	8	8	70	1450	wh3_main_cth_mnt_sky_lantern	8	wh_main_cth_sky_lantern	wh3_cth_sky_lantern_crane_gun_bullet	1	none	wh3_main_unit_short_text_cth_veh_sky_lantern_0	wh_main_monster	trained			true	40.0000	1500.0000	wh3_main_cth_veh_sky_lantern_0	60	80	0	vo_sel_default	vo_sel_flying	vo_sel_flying_short	1.0000	large	0	30	0	0	0	0	0	0	sky_lantern	false	false	false	false	cant_capture	cant_capture	cant_capture	harmony_amplifier_120%			1.0000	1.0000	false	false
zayli_cth_executors	10	wh2_main_leather_40	2100	inf_melee	5	spcl	long_text_zayli_cth_executors	hu1e_sword	wh3_main_cth_infantry_iron_hail_gunners_blood_dismembers	25	27	55	78		0	zayli_cth_executors_sword		8	none	zayli_cth_executors	wh3_main_cth_infantry	trained			true	40.0000	1500.0000	executor_attribute_group	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	mage_highvalue	false	true	false	false	medium	medium	domination_infantry	harmony_amplifier_120%			1.0000	1.0000	false	false
zayli_cth_militia	10	wh2_main_leather_35	2100	inf_melee	6	inf_mel	wh3_main_unit_long_text_cth_inf_peasant_spearmen_1	hu1e_long_spear	wh3_main_cth_infantry_blood_dismembers	26	31	55	59		0	zayli_cth_militia_spear		12	none	zayli_cth_militia	wh3_main_cth_infantry_long_spears	trained			true	40.0000	1500.0000	cth_zayli_spear_infantry	60	80	0	vo_sel_cth_peasant_spearmen	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
zayli_cth_nan_gau_archer	10	wh2_main_leather_30	2100	inf_ranged	3	inf_mis	long_text_zayli_cth_nan_gau_archer	hu1e_bow_and_sword	wh3_main_cth_infantry_light_blood_dismembers	16	16	50	61		0	zayli_cth_archer_sword	zayli_cth_nan_gau_bow	6	none	zayli_cth_nan_gau_archer	wh3_main_cth_infantry	trained			true	40.0000	1500.0000	nan_gau_archer_attribute_group	60	80	0	vo_sel_default	vo_sel_missile	vo_sel_culture	1.0000	small	0	22	0	0	0	0	0	0	ranged	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
