key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_!obsidian_lustria_rises
lzd_ancient_razordon	10	wh2_main_body_bone_105	2100	inf_ranged	32	inf_mis	obsidian_lzd_mon_razordon_ancient	lz1_dlc13_razordon	lzd_ancient_razordon	29	39	60	12320		0	lzd_ancient_razordon	lzd_ancient_razordon	2	none	lzd_ancient_razordon	wh_main_monster	trained			true	40.0000	1500.0000	obsidian_lzd_ancient_razordon	60	80	10	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	aquatic_large	0	55	0	0	0	0	15	0	ranged_direct	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
lzd_bastiladon_living_bastion_ror	33	wh2_main_body_160	2100	war_beast	34	inf_mel	obsidian_lzd_mon_bastiladon_living_bastions_ror	hq1_bastiladon	wh2_main_lzd_mon_bastiladon	29	57	75	17380		0	lzd_bastiladon_living_bastion_ror		2	wh_missile_block_35_wood	lzd_bastiladon_living_bastion_ror	wh_main_monster	trained			true	40.0000	1500.0000	obsidian_lzd_bastiladon_living_bastion_ror	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher_support	false	false	false	false	medium	medium	domination_monsters			melee	1.0000	1.0000	false	false
lzd_chameleon_skink_eyes_of_the_canopy_ror	33	wh2_main_body_30	2100	inf_ranged	10	inf_mis	obsidian_lzd_inf_chameleon_skinks_eyes_of_the_canopy_ror	hu7_skink_club_and_blowpipe	lzd_chameleon_skink_eyes_of_the_canopy_ror	27	29	68	46		0	lzd_chameleon_skink_eyes_of_the_canopy_ror	obsidian_lzd_eyes_in_canopy_darts	12	none	lzd_chameleon_skink_eyes_of_the_canopy_ror	wh2_main_inf_chaotic_formation_loose	trained			true	40.0000	1500.0000	obsidian_lzd_chameleon_skink_eyes_of_the_canopy_ror	60	80	10	vo_sel_default	vo_sel_generic	vo_sel_culture	0.7000	aquatic_forest_fighter_small	0	26	0	0	0	0	40	0	ranged_harasser	true	false	false	false	medium	medium	domination_infantry			skirmish	1.0000	1.0000	false	false
lzd_great_wyrm	10	wh2_main_body_70	2100	inf_melee	38	inf_mel	obsidian_lzd_mon_great_wyrm	bi2_wyvern	lzd_great_wyrm	38	34	75	14368		0	lzd_great_wyrm		2	none	lzd_great_wyrm	wh_main_monster	trained			true	40.0000	1500.0000	obsidian_lzd_great_wyrm	60	80	10	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	flying_melee	false	false	false	false	cant_capture	cant_capture	cant_capture			melee	1.0000	1.0000	false	false
lzd_kroxigor_makers_of_the_paths_ror	33	wh2_main_body_100	2100	inf_melee	22	inf_mel	obsidian_lzd_mon_kroxigors_makers_of_the_paths_ror	hu7c_kroxigor_2handed_axe	lzd_kroxigor_makers_of_the_paths_ror	38	40	80	502		0	lzd_kroxigor_makers_of_the_paths_ror		6	none	lzd_kroxigor_makers_of_the_paths_ror	wh_main_monstrous_trolls	trained			true	40.0000	1500.0000	obsidian_lzd_kroxigor_makers_of_the_paths_ror	160	160	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	aquatic_forest_fighter_large	0	0	0	0	0	0	15	0	melee_gatecrusher_shock	false	false	false	false	medium	medium	domination_monsters			melee	1.0000	1.0000	false	false
lzd_razordon_vengeful_shards_ror	33	wh2_dlc10_bone_90	2100	inf_ranged	20	inf_mis	obsidian_lzd_razordons_vengeful_shards_ror	lz1_dlc13_razordon	wh2_dlc13_lzd_inf_razordon_blood	27	37	65	122		0	wh2_dlc13_lzd_razordon	obsidian_lzd_razordon_vengeful_shards	6	none	lzd_razordon_vengeful_shards_ror	wh2_dlc13_mon_razordons	trained			true	40.0000	1500.0000	obsidian_lzd_razordon_vengeful_shards_ror	60	80	30	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	aquatic_large	0	54	0	0	0	0	10	0	ranged_direct	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
lzd_red_crested_skinks_the_red_shields_ror	10	wh2_main_body_45	2100	inf_melee	15	inf_mel	obsidian_lzd_inf_skink_red_crested_the_red_shields_ror	hu7_skink_club_javelin_shield	lzd_skink_altar_braves	43	37	80	59		0	lzd_red_crested_skinks_the_red_shields_ror		12	wh_missile_block_55_wood	lzd_red_crested_skinks_the_red_shields_ror	wh_main_infantry_large	trained			true	40.0000	1500.0000	obsidian_lzd_red_crested_skinks_the_red_shields_ror	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	aquatic_small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
lzd_ripperdactyl_riders_the_wind_that_hungers_ror	33	wh2_main_leather_45	2100	cavalry	52	cav_mel	obsidian_lzd_cav_ripperdactyl_riders_wind_that_hungers_ror	hu7_skink_bi3_ripperdactyl_javelin	wh2_main_lzd_inf_skink_360_blood_dismembers	54	39	75	609	lzd_ripperdactyl_riders_the_wind_that_hungers_ror_mount	24	lzd_ripperdactyl_riders_the_wind_that_hungers_ror		4	wh_missile_block_35_wood	lzd_ripperdactyl_riders_the_wind_that_hungers_ror	wh_main_monstrous_infantry_flying	trained			true	40.0000	1500.0000	obsidian_lzd_ripperdactyl_riders_the_wind_that_hungers_ror	60	80	10	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	flying_melee	false	false	false	false	cant_capture	cant_capture	cant_capture			melee	1.0000	1.0000	false	false
lzd_salamander_firestream	10	wh2_main_body_80	2100	inf_ranged	28	inf_mis	obsidian_lzd_mon_salamanders_firestream	lz1_dlc12_salamander	wh2_dlc12_lzd_inf_salamander_blood	25	22	55	122		0	wh2_dlc12_lzd_salamander_flame	lzd_salamander_firestream	6	none	lzd_salamander_firestream	wh2_dlc12_inf_salamanders	trained			true	40.0000	1500.0000	obsidian_lzd_salamander_firestream	60	80	10	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	aquatic_large	0	54	0	0	0	0	10	0	ranged_direct	true	false	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
