key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_!scm_legendary
Bronn_the_Bold_ghost	10	wh_main_body_0	2100	inf_melee	30	com	Bronn_the_Bold_ghost_historic	hu3_pr7_gotrex_axe	wh_dlc06_dwf_cha_dwarf_hero_ethereal	70	45	100	5944		0	wh_dlc06_dwf_axe_hero_magical		2	none	Bronn_the_Bold_ghost_short	wh_main_hero	trained			true	40.0000	1500.0000	wh2_dlc10_dwf_cha_thane_ghost_summoned_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	ethereal	0	0	0	0	0	75	0	0	melee_highvalue	false	true	false	false	cant_capture	cant_capture	cant_capture			skirmish	1.0000	1.0000	false	false
Helgar_longplaits	10	wh2_main_body_70	2100	inf_melee	40	com	Helgar_longplaits_historic	hu3_helgar_axe	Helgar_longplaits	65	58	78	9768		0	Helgar_longplaits		2	wh_missile_block_35_wood	Helgar_longplaits_short	wh_main_hero	trained			true	40.0000	1500.0000	wh_main_dwf_cha_lord_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	35	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
bear_dead_baron	0	wh2_main_body_20	2100	inf_melee	55	inf_mel	bear_dead_baron_long	be1_wh3_warbear	wh3_main_ksl_mon_snow_leopard_blood	50	40	60	1000		0	wh2_main_monster_feral_bears		2	none	bear_dead_baron_short	wh_main_monster	trained			true	40.0000	1500.0000	wh3_main_monster_feral_bears	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	mage_flanker_highvalue	false	false	false	false	medium	medium	domination_monsters			skirmish	1.0000	1.0000	false	false
camera_skelly_bones	10	wh2_main_plate_90	2100	inf_melee	12	inf_mel	camera_skelly_bones_long	hu1_graveguard_2handed_sword	wh_main_infantry_slow_dismembers	26	26	50	100		0	wh_main_vmp_wightblade_grave_guard_great		12	none	camera_skelly_bones_short	wh_main_infantry_2handed	trained			true	40.0000	1500.0000	wh_main_vmp_inf_grave_guard_1	1000	1000	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			skirmish	1.0000	1.0000	false	false
dead_grigori	10	wh2_main_plate_70	2100	inf_melee	42	com	dead_grigori	hu1c_chaos_sword_and_shield	wh3_main_infantry_boyar_hero_blood_dismembers	50	40	65	7376		0	grigori_sword		2	wh_missile_block_35_metal	dead_grigori	wh_main_infantry	well_trained			true	40.0000	1500.0000	wh3_main_ksl_cha_boyar_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
dead_grigori_mount	10	wh2_main_plate_70	2100	war_beast	72	com	dead_grigori	hu1c_wh3_kislev_hr1_warhorse_dual_axe	wh3_main_infantry_boyar_hero_blood_dismembers	50	40	65	8352	wh3_main_ksl_mnt_horse_heavy_lord	1	grigori_sword		2	wh_missile_block_35_metal	dead_grigori	wh_main_cavalry_chaotic	well_trained			true	40.0000	1500.0000	wh3_main_ksl_cha_boyar_1	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
dead_grigori_wolf	0	wh2_main_leather_15	2100	inf_melee	55	inf_mel	dead_grigori_wolf	wf1_norscan_giant_wolf	wh3_main_ksl_mon_snow_leopard_blood	50	38	60	6344		0	wh3_main_ksl_claws_snow_leopard		2	none	dead_grigori_wolf	wh_main_monster	well_trained			true	40.0000	1500.0000	wh3_main_ksl_mon_snow_leopard_summoned_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	20	0	0	melee_flanker_shock	false	false	false	false	cant_capture	cant_capture	cant_capture			skirmish	1.0000	1.0000	false	false
dead_ice_mage	10	wh2_main_leather_15	2100	inf_ranged	15	com	dead_ice_mage	hu1_wh3_frost_maiden_sword_and_magic	wh_main_infantry_standard_wizard_blood_dismembers	35	30	60	6824		0	wh3_main_ksl_frost_maiden_sword		2	none	dead_ice_mage	wh_main_infantry	well_trained			false	40.0000	1500.0000	wh3_main_ksl_cha_frost_maiden_ice_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	mage_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
dead_ice_mage_mount	10	wh2_main_leather_15	2100	cavalry	40	com	dead_ice_mage	hu1_empire_hr1_warhorse_staff_and_sword	wh_main_infantry_standard_wizard_rider_blood_dismembers	35	30	60	7664	wh3_main_ksl_mnt_horse_light_dervish	1	wh3_main_ksl_frost_maiden_sword		2	none	dead_ice_mage	wh_main_cavalry_chaotic	well_trained			false	40.0000	1500.0000	wh3_main_ksl_cha_frost_maiden_ice_1	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	0	mage_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
dead_kes	10	wh2_main_plate_85	2100	inf_melee	40	com	dead_kes	hu1_pr7_felix_2h_sword	wh_main_infantry_standard_hero_blood_dismembers	59	50	80	8550		0	dead_kes_greatsword		2	none	dead_kes	wh_main_infantry	trained			true	40.0000	1500.0000	wh_main_emp_cha_general_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
dead_kes_griffon	10	wh2_main_plate_85	2100	war_beast	70	com	dead_kes	hu1_empire_bc2_griffon_wb_sword_shield	wh_main_infantry_standard_hero_blood_dismembers	47	30	80	11328	wh_main_emp_mnt_imperial_griffon	1	wh_main_emp_imperial_griffon		2	none	dead_kes	wh_main_monster	trained			true	40.0000	1500.0000	wh_main_emp_cha_general_3	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	0	flying_melee_shock_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture			skirmish	1.0000	1.0000	false	false
dead_kes_horse	10	wh2_main_plate_105	2100	cavalry	65	com	dead_kes	hu1_dlc14_hr1_warhorse_repanse_2handed_sword	wh_main_infantry_standard_hero_blood_dismembers	59	50	80	9710	wh_main_emp_mnt_warhorse_barded_hero	1	dead_kes_greatsword		2	none	dead_kes	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	wh_main_emp_cha_general_1	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
dead_ksl_dmitri_tzaryov	10	wh2_main_plate_85	2100	inf_melee	45	com	dead_ksl_dmitri_tzaryov	hu1c_chaos_sword_and_shield	wh3_main_infantry_boyar_hero_blood_dismembers	55	40	70	8120		0	wh3_main_ksl_axe_boyar		2	wh_missile_block_55_metal	dead_ksl_dmitri_tzaryov	wh_main_infantry	trained			true	40.0000	1500.0000	wh3_main_ksl_cha_boyar_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
dead_ksl_dmitri_tzaryov_bear	10	wh2_main_plate_105	2100	war_beast	65	com	dead_ksl_dmitri_tzaryov	hu1c_wh3_kislev_be1_warbear_dual_axe	wh3_main_infantry_boyar_hero_blood_dismembers	60	40	70	10600	dmitri_bear	1	wh3_main_ksl_war_bear_boyar		2	wh_missile_block_55_metal	dead_ksl_dmitri_tzaryov	wh_main_monstrous_cavalry	trained			true	40.0000	1500.0000	wh3_main_ksl_cha_boyar_2	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
dead_ksl_dmitri_tzaryov_horse	10	wh2_main_plate_105	2100	war_beast	65	com	dead_ksl_dmitri_tzaryov	hu1c_wh3_dlc20_hr1_glhh_sword_and_shield	wh3_main_infantry_boyar_hero_blood_dismembers	55	40	70	9328	dmitri_horse	1	wh3_main_ksl_axe_boyar		2	wh_missile_block_55_metal	dead_ksl_dmitri_tzaryov	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	wh3_main_ksl_cha_boyar_1	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
dust_gutrot_blight_kings	10	wh2_main_heavy_metal_120	2100	inf_melee	26	inf_mel	dust_gutrot_blight_kings	hu13_wh3_ogre_hammer_and_sword	dust_gutrot_blight_kings_man_entity	40	55	80	572		0	dust_gutrot_blight_kings_weapon		4	none	dust_gutrot_blight_kings	wh3_main_ogr_maneaters_great_weapons	trained			true	40.0000	1500.0000	dust_gutrot_blight_kings	60	80	0	vo_sel_chaos_chosen	vo_sel_generic	vo_sel_dlc20_chaos_faction_leader	1.0000	large	0	0	0	0	0	0	0	0	melee_gatecrusher_shock	false	true	false	false	medium	medium	domination_infantry			skirmish	1.0000	1.0000	false	false
dust_gutrot_flies_riders_summon	10	wh2_main_body_40	2100	cavalry	16	cav_mel	wh3_main_unit_long_text_nur_cav_plague_drones_0	hu4d_wh3_nurgle_in1_rot_fly_sword	wh_main_cavalry_rider_standard_blood	36	36	70	578	wh3_main_nur_mnt_rot_fly	24	wh3_main_nur_plague_drone_stinger		4	none	wh3_main_unit_short_text_nur_cav_plague_drones_0	wh3_main_rot_flies	trained			true	40.0000	1500.0000	wh3_main_nur_cav_plague_drones_0	60	80	0	vo_sel_nur_plague_drones	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	0	20	0	0	flying_melee_flanker	false	false	false	false	cant_capture	cant_capture	cant_capture			skirmish	1.0000	1.0000	false	false
dust_gutrot_flies_summon	10	wh2_main_body_40	2100	inf_melee	16	inf_mel	wh3_main_unit_long_text_nur_mon_rot_flies_0	in1_wh3_rot_fly	wh3_main_flying_rot_fly_blood	34	24	60	508		0	wh3_main_nur_rot_fly_stinger		4	none	wh3_main_unit_short_text_nur_mon_rot_flies_0	wh3_main_rot_flies	trained			true	40.0000	1500.0000	wh3_main_nur_mon_rot_flies_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	20	0	0	flying_melee_flanker	false	false	false	false	cant_capture	cant_capture	cant_capture			skirmish	1.0000	1.0000	false	false
dust_gutrot_plague_captain_cha_plaguefleet	10	wh2_main_heavy_metal_80	2100	inf_melee	20	com	dust_gutrot_plague_captain_cha_plaguefleet	hu13d_wh3_skrag_dual_handblades_lc	wh3_main_ogr_monster_skrag_blood	50	40	70	12400		0	dust_gutrot_plague_captain_cha_plaguefleet_weapon		2	none	dust_gutrot_plague_captain_cha_plaguefleet	wh_main_monster	trained			true	40.0000	1500.0000	dust_gutrot_plague_captain_cha_plaguefleet	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	0	melee_gatecrusher_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
dust_unit_nyletoth	10	wh2_main_chainmail_70	2100	inf_melee	15	com	dust_unit_nyletoth_long	dust_nyletoth	wh2_dlc09_tmb_skeleton_infantry_hero	43	50	75	9520		0	wh2_dlc09_tmb_halberd_prince		2	none	dust_unit_nyletoth_short	wh_main_infantry	trained			true	40.0000	1500.0000	dust_unit_nyletoth_attri	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	small	0	0	-15	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
dust_unit_nyletoth_chariot	10	wh2_main_body_90	2100	war_machine	80	com	dust_unit_nyletoth_long	dust_nyletoth_chariot	wh2_dlc09_tmb_skeleton_infantry_hero	35	25	75	11400	wh2_dlc09_tmb_mnt_tomb_steed_chariot	4	wh2_dlc09_tmb_chariot_lord		2	none	dust_unit_nyletoth_short	wh_main_chariot	trained	dust_unit_nyletoth_chariot	dust_unit_nyletoth_chariot	true	40.0000	1500.0000	dust_unit_nyletoth_chariot_attri	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	large	0	0	-15	0	1	0	15	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
dust_unit_nyletoth_horse	10	wh2_main_chainmail_70	2100	cavalry	35	com	dust_unit_nyletoth_long	dust_nyletoth_steed	wh2_dlc09_tmb_skeleton_infantry_hero	43	50	75	10320	wh2_dlc09_tmb_mnt_tomb_steed_hero	1	wh2_dlc09_tmb_halberd_prince		2	none	dust_unit_nyletoth_short	wh_main_monstrous_cavalry	trained			true	40.0000	1500.0000	dust_unit_nyletoth_horse_attri	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	large	0	0	-15	0	0	0	15	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
frob_gorbad_ironclaw	10	wh2_main_heavy_metal_110	2100	inf_melee	70	com	wh_main_unit_long_text_grn_orc_warboss	hu2_orc_staff_and_sword	wh_main_grn_cha_orc_hero_blood_dismembers	70	45	75	10024		0	frob_gorbad_ironclaw_melee		2	none	frob_gorbad_ironclaw	wh_main_infantry_large	elite			true	40.0000	1500.0000	wh2_main_skv_cha_queek_headtaker	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
frob_gorbad_ironclaw_war_boar	10	wh2_main_heavy_metal_110	2100	cavalry	90	com	wh_main_unit_long_text_grn_orc_warboss	hu2_orc_bo1_warboar_sword	wh_main_grn_cha_orc_hero_blood_dismembers	70	45	75	11208	frob_grn_mnt_g_war_boar	1	frob_gorbad_ironclaw_war_boar_melee		2	none	frob_gorbad_ironclaw_war_boar	wh_main_cavalry_chaotic	elite			true	40.0000	1500.0000	wh2_main_skv_cha_queek_headtaker	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
hcm_hackflay	10	wh2_main_chainmail_125	2100	inf_melee	26	com	wh2_dlc09_unit_long_text_skv_cha_tretch_craventail	hu17_skaven_stormvermin_sword_and_shield	wh2_main_skv_infantry_fast_hero_queek_headtaker	35	64	65	8560		0	wh3_dlc23_chd_gorduz_backstabber		2	wh_missile_block_35_metal	hcm_hackflay	wh_main_infantry	trained			true	40.0000	1500.0000	str_hackflay	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
hcs_morskittar	10	wh2_main_heavy_metal_110	2100	inf_melee	15	com	wh2_main_unit_long_text_skv_cha_grey_seer_ruin_0	hu17_skaven_halberd_and_doomfire_rocket	wh2_main_skv_infantry_hero_warlock_engineer	18	22	65	7360		0	wh_main_vmp_staff_hero	hcs_morskittar_proj	2	none	hcs_morskittar	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_skv_cha_warlord_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	small	0	8	0	0	0	0	15	0	mage_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
hkrul_aldred	10	wh2_main_plate_90	2100	inf_melee	45	com	hkrul_aldred	hu1_pr7_felix_2h_sword	wh_main_infantry_standard_hero_blood	55	41	80	7780		0	hkrul_aldred		2	none	hkrul_aldred	wh_main_infantry	trained			true	40.0000	1500.0000	wh_main_emp_cha_captain_0	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
hkrul_aldred_barded_warhorse	10	wh2_main_plate_125	2100	cavalry	66	com	hkrul_aldred	hu1_dlc14_hr1_warhorse_repanse_2handed_sword	wh_main_infantry_standard_hero_blood	55	41	80	8842	wh_main_emp_mnt_warhorse_barded_hero	1	hkrul_aldred		2	none	hkrul_aldred	wh_main_cavalry_chaotic	trained			true	40.0000	1500.0000	wh_main_emp_cha_captain_1	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	0	0	15	20	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters			skirmish	1.0000	1.0000	false	false
