key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_!xou_age_TKExtended
Bastethi_wb	10	wh2_main_bone_10	2100	inf_melee	15	inf_mel	tomb_swarm	sc1_scorpion01	Bastethi_wb	26	20	35	25		0	Bastethi_claws		8	none	wh_main_unit_short_text_Bastethi_wb	wh2_main_inf_chaotic_formation_tight_small_scarab	well_trained			true	40.0000	1500.0000	agemo_custom_tomb_swarms	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	-60	0	0	0	0	0	melee_stalkers_flankers	false	false	false	false	high	high	domination_infantry				1.0000	1.0000	false	false
Bastethi_wb_summoned	10	wh2_main_bone_10	2100	inf_melee	15	inf_mel	tomb_swarm	sc1_scorpion01	Bastethi_wb	26	20	35	25		0	Bastethi_claws		8	none	wh_main_unit_short_text_Bastethi_wb	wh2_main_inf_chaotic_formation_tight_small_scarab	well_trained			true	40.0000	1500.0000	agemo_custom_tomb_swarms	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	-60	0	0	0	0	0	melee_stalkers_flankers	false	false	false	false	high	high	domination_infantry				1.0000	1.0000	false	false
Great_Bastethi	10	wh2_main_bone_10	2100	inf_melee	17	inf_mel	khepra_tomb_swarm	tmb_scarab_flying_02	Great_Bastethi	32	22	40	33		0	Great_Bastethi_claws		6	none	wh_main_unit_short_text_Great_Bastethi	wh2_main_inf_chaotic_formation_tight_khepra_scarab	well_trained			true	40.0000	1500.0000	agemo_custom_tomb_swarms_flying	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	ethereal	0	0	-60	0	0	0	10	0	melee_stalkers_flankers	false	false	false	false	high	high	domination_infantry				1.0000	1.0000	false	false
Great_Bastethi_summoned	10	wh2_main_bone_10	2100	inf_melee	17	inf_mel	khepra_tomb_swarm	tmb_scarab_flying_02	Great_Bastethi	32	22	40	33		0	Great_Bastethi_claws		6	none	wh_main_unit_short_text_Great_Bastethi	wh2_main_inf_chaotic_formation_tight_khepra_scarab	well_trained			true	40.0000	1500.0000	agemo_custom_tomb_swarms_flying	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	ethereal	0	0	-60	0	0	0	10	0	melee_stalkers_flankers	false	false	false	false	high	high	domination_infantry				1.0000	1.0000	false	false
Khemri_Zombie_Dragon	10	wh2_main_body_70	2100	inf_melee	40	inf_mel	wh2_main_unit_long_text_def_mon_black_dragon	dr1_dragon	Khemri_Zombie_Dragon	44	46	60	14856		0	wh_main_vmp_hero_zombie_dragon		2	none	wh_main_unit_short_text_Khemri_Zombie_Dragon	wh_main_monster	well_trained			true	40.0000	1500.0000	agemo_khemri_zombie_dragon_custom	60	80	0	vo_sel_hef_Star_Dragon	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	25	0	flying_melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_infantry				1.0000	1.0000	false	false
MC_D	10	wh2_main_bone_30	2100	inf_ranged	10	inf_mis	wh2_dlc09_tmb_cha_liche_priest	hu1_liche_priest_staff_and_sword	MC_D	14	12	45	163		0	wh2_dlc09_tmb_sword	MC_D_miss	6	none	wh2_dlc09_tmb_cha_liche_priest	wh2_main_skv_weaponteam	well_trained			true	40.0000	1500.0000	wh_encourage_fear_hideForest_undead_mountedFireMove	60	140	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	small	0	35	63	35	0	0	0	0	ranged_direct	true	true	false	false	high	high	domination_infantry				1.0000	1.0000	false	false
MC_Dhorse	10	wh2_main_bone_30	2100	cavalry	10	cav_mel	wh2_dlc09_tmb_cha_liche_priest	hu1_liche_priest_hr1_tomb_steed_staff_and_sword	MC_L	14	12	55	163	wh2_dlc09_tmb_mnt_tomb_steed_hero	32	wh2_dlc09_tmb_sword	MC_D_miss	6	none	wh2_dlc09_tmb_cha_liche_priest	wh_main_cavalry_chaotic	well_trained			true	40.0000	1500.0000	wh_encourage_fear_hideForest_undead_mountedFireMove	60	140	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	large	0	35	63	35	0	0	0	0	ranged_direct_flanker_harasser	true	false	false	false	high	medium	domination_cav				1.0000	1.0000	false	false
MC_L	10	wh2_main_bone_30	2100	inf_ranged	10	inf_mis	wh2_dlc09_tmb_cha_liche_priest	hu1_liche_priest_staff_and_sword	MC_L	14	12	45	163		0	wh2_dlc09_tmb_sword	MC_L_miss	6	none	wh2_dlc09_tmb_cha_liche_priest	wh2_main_skv_weaponteam	well_trained			true	40.0000	1500.0000	wh_encourage_fear_hideForest_undead_mountedFireMove	60	140	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	small	0	35	63	35	0	0	0	0	ranged_direct	true	true	false	false	high	high	domination_infantry				1.0000	1.0000	false	false
MC_LAsaph	10	wh2_main_bone_110	2100	cavalry	10	cav_mis	wh2_dlc09_tmb_cha_liche_priest	hu1_tomb_sn1_serpent_spear	wh2_dlc09_tmb_chariot_rider_bow_360	25	28	55	537	wh2_dlc09_tmb_mnt_necroserpent	16	MC_N_staff	MC_N_miss	4	none	wh2_dlc09_tmb_cha_liche_priest	wh2_dlc09_necroserpents	well_trained			true	40.0000	1500.0000	wh_encourage_fear_hideForest_undead_mountedFireMove	60	140	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	large	0	40	63	35	0	0	0	0	ranged_direct_flanker_harasser	true	false	false	false	high	medium	domination_cav				1.0000	1.0000	false	false
