key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_@xou_high_elves
hef_cha_anointed	0	wh2_main_plate_100	2100	inf_melee	35	com	hef_anointed	hu1d_dlc15_eltharion_spear_sword	wh2_dlc15_hef_infantry_hero_eltharion_blood	65	55	85	8560		0	wh2_dlc15_eltharion_spear		2	none	hef_anointed	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_dlc15_hef_cha_eltharion_the_grim_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	default	default	domination_characters				1.0000	1.0000	false	false
hef_cha_anointed_flame	10	wh2_main_body_60	2100	war_beast	80	com	hef_anointed	hu1d_elf_bi1_eagle_wb_sword_and_shield	wh_main_infantry_standard_hero_blood	60	50	80	9680	wh2_main_hef_mnt_great_eagle	1	wh2_main_hef_lord_great_eagle		2	none	hef_anointed	wh_main_monster	trained			true	40.0000	1500.0000	wh2_main_hef_cha_prince_3	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	flying_melee_shock_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
hef_cha_anointed_frost	10	wh2_main_body_60	2100	war_beast	80	com	hef_anointed	hu1d_elf_bi1_eagle_wb_sword_and_shield	wh_main_infantry_standard_hero_blood	60	50	80	9680	wh2_main_hef_mnt_great_eagle	1	wh2_main_hef_lord_great_eagle		2	none	hef_anointed	wh_main_monster	trained			true	40.0000	1500.0000	wh2_main_hef_cha_prince_3	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	flying_melee_shock_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
hef_cha_noble_caledor	10	wh2_main_plate_80	2100	inf_melee	22	com	hef_noble_caledor	hu1d_elf_halberd	wh2_main_hef_infantry_hero_prince_blood	42	50	75	7360		0	wh2_main_hef_noble_halberd		2	none	hef_noble_caledor	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_hef_cha_noble_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hef_cha_noble_caledor_acolytes	10	wh2_main_plate_80	2100	inf_melee	22	com	hef_noble_caledor	hu1d_elf_halberd	wh2_main_hef_infantry_hero_prince_blood	42	50	75	7360		0	wh2_main_hef_noble_halberd		2	none	hef_noble_caledor	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_hef_cha_noble_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hef_cha_noble_chrace	10	wh2_main_plate_80	2100	inf_melee	22	com	hef_noble_chrace	hu1d_elf_halberd	wh2_main_hef_infantry_hero_prince_blood	42	50	75	7360		0	wh2_main_hef_noble_halberd		2	none	hef_noble_chrace	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_hef_cha_noble_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hef_cha_noble_chrace_lion	10	wh2_main_plate_80	2100	inf_melee	22	com	hef_noble_chrace	hu1d_elf_halberd	wh2_main_hef_infantry_hero_prince_blood	42	50	75	7360		0	wh2_main_hef_noble_halberd		2	none	hef_noble_chrace	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_hef_cha_noble_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hef_cha_noble_cothique	10	wh2_main_plate_80	2100	inf_melee	22	com	hef_noble_cothique	hu1d_elf_halberd	wh2_main_hef_infantry_hero_prince_blood	42	50	75	7360		0	wh2_main_hef_noble_halberd		2	none	hef_noble_cothique	wh_main_infantry	trained			true	40.0000	1500.0000	wh2_main_hef_cha_noble_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
hef_cha_noble_cothique_eagle	10	wh2_main_body_60	2100	war_beast	72	com	hef_noble_cothique	hu1d_elf_bi1_eagle_wb_halberd	wh2_main_cavalry_rider_standard_hero	47	35	75	9504	wh2_main_hef_mnt_great_eagle	1	wh2_main_hef_hero_great_eagle		2	none	hef_noble_cothique	wh_main_monster	trained			true	40.0000	1500.0000	wh2_main_hef_cha_noble_3	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	flying_melee_flanker_shock_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
