key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_AAA_Theak_Patron_Gods
chaos_chosen_of_slaanesh_1	10	wh2_main_heavy_metal_120	2100	inf_melee	23	inf_mel	wh3_dlc20_unit_long_text_chs_chosen_msla	hu1c_dae_bliss_spears	wh3_dlc20_infantry_standard_msla_very_large_blood_dismembers	39	60	85	123		0	chs_sla_spear_bliss		8	wh_missile_block_60_metal	chaos_chosen_of_slaanesh_spears	wh_main_infantry_chaos_chosen	trained			true	40.0000	1500.0000	sla_chs_attributes_1	60	80	0	vo_sel_chaos_chosen	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	10	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
chaos_warriors_of_slaanesh_1	10	wh2_main_heavy_metal_100	2100	inf_melee	19	inf_mel	wh3_dlc20_unit_long_text_chs_chaos_warriors_msla	hu1c_wh3_kislev_tsar_guard_sword_and_shield	wh3_dlc20_infantry_standard_msla_very_large_blood_dismembers	29	49	75	82		0	chs_sla_spear		10	wh_missile_block_55_metal	chaos_warriors_of_slaanesh_spears	wh_main_infantry_chaos_warriors	trained			true	40.0000	1500.0000	sla_chs_attributes_1	60	80	0	vo_sel_chaos_warriors	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	10	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
chosen_glaives_blaze	10	wh2_main_heavy_metal_120	2100	inf_melee	28	inf_mel	wh3_dlc20_unit_long_text_chs_chosen_mtze	hu1c_dae_blaze_glaive	wh_main_infantry_standard_very_large_heavy_blood_dismembers	48	48	85	123		0	chosen_tzn_glaive_blaze		8	none	chosen_glaives_ss	wh_main_infantry_chaos_chosen	trained			true	40.0000	1500.0000	glaives_atrributes_table	60	80	0	vo_sel_chaos_chosen	vo_sel_generic	vo_sel_dlc20_chaos_faction_leader	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
chosen_khorne_hell_halberd	10	wh2_main_heavy_metal_130	2100	inf_melee	24	inf_mel	wh3_dlc20_unit_long_text_chs_chosen_mkho	hu1c_dae_hellfire_halberd	wh_main_infantry_standard_very_large_heavy_blood_dismembers	40	51	85	123		0	hellfire_halberd		8	none	chosen_khorne_hell_halberd_ss	wh_main_infantry_chaos_chosen	trained			true	40.0000	1500.0000	wh3_main_kho_inf_chaos_warriors_1	60	80	0	vo_sel_chaos_chosen	vo_sel_generic	vo_sel_dlc20_chaos_faction_leader	1.0000	small	0	0	0	35	0	0	0	0	melee_anti_large	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
chosen_of_tzeentch_2	10	wh2_main_heavy_metal_100	2100	inf_melee	22	inf_mel	wh3_dlc20_unit_long_text_chs_chaos_warriors_mtze	hu1c_chaos_halberd	wh_main_infantry_standard_very_large_blood_dismembers	36	36	75	82		0	warrior_tzn_glaive		10	none	chosen_of_tzeentch_2	wh_main_infantry_large	trained			true	40.0000	1500.0000	glaives_atrributes_table	60	80	0	vo_sel_chaos_warriors	vo_sel_generic	vo_sel_dlc20_chaos_faction_leader	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
marauder_hunters_tze	10	wh2_main_leather_15	2100	inf_ranged	8	inf_mis	wh3_dlc20_unit_long_text_chs_marauders_mtze	hu1c_norsca_javelin	wh_main_chs_infantry_fast_blood_dismembers	26	22	50	59		0	tze_flame_magic_axe	tze_javelin_heavy_wf	6	none	marauder_hunter_tze_ss	wh_main_grn_orc_infantry_savage_rabble	trained			true	40.0000	1500.0000	wh3_dlc20_chs_inf_chaos_marauders_mtze	60	80	0	vo_sel_marauders	vo_sel_generic	vo_sel_dlc20_chaos_faction_leader	1.0000	small	0	12	0	0	0	0	0	0	ranged	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
marauders_khorne_fire_axes	10	wh2_main_leather_15	2100	inf_ranged	14	inf_mis	wh3_dlc20_unit_long_text_chs_marauders_mkho	hu1c_norsca_dual_axe_and_throwing_axe	wh_main_chs_infantry_fast_blood_dismembers	36	16	50	59		0	khorne_marauder_fire_axe	kho_axe_throw_fire	6	none	marauders_khorne_fire_axes_ss	wh_main_grn_orc_infantry_savage_rabble	trained			true	40.0000	1500.0000	wh3_dlc20_chs_inf_chaos_marauders_mkho	60	80	0	vo_sel_marauders	vo_sel_marauders	vo_sel_dlc20_chaos_faction_leader	1.0000	small	0	12	0	35	0	0	0	0	ranged	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
slaanesh_devoted_marauder_hunters_javs	10	wh2_main_leather_15	2100	inf_ranged	8	inf_mis	wh3_dlc20_unit_long_text_chs_marauders_msla	hu1c_norsca_javelin	wh3_dlc20_chs_infantry_msla_fast_blood_dismembers	26	22	50	59		0	wh_main_chs_axe_marauders	slaanesh_magic_jav_heavy	6	none	chaos_marauders_of_slaanesh_javelins	wh_main_grn_orc_infantry_savage_rabble	trained			true	40.0000	1500.0000	wh3_main_sla_inf_marauders_0	60	80	0	vo_sel_marauders	vo_sel_generic	vo_sel_culture	1.0000	small	0	12	0	0	0	10	0	0	ranged	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
slaanesh_marauder_hunters_jav	10	wh2_main_leather_15	2100	inf_ranged	8	inf_mis	wh3_dlc20_unit_long_text_chs_marauders_msla	hu1c_norsca_javelin	wh3_dlc20_chs_infantry_msla_fast_blood_dismembers	26	22	50	59		0	wh_main_chs_axe_marauders	slaanesh_magic_jav_heavy	6	none	chaos_marauders_of_slaanesh_javelins	wh_main_grn_orc_infantry_savage_rabble	trained			true	40.0000	1500.0000	wh3_dlc20_chs_inf_chaos_marauders_msla	60	80	0	vo_sel_marauders	vo_sel_generic	vo_sel_culture	1.0000	small	0	12	0	0	0	10	0	0	ranged	true	true	false	false	medium	medium	domination_infantry				1.0000	1.0000	false	false
