key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_A_VampiresofNehekhara
lsh_nehekvamp_lordvampire_0	10	wh2_main_plate_90	2100	inf_melee	25	com	wh_main_unit_long_text_vmp_vampire_lord	hu1_cultist_of_slaanesh_dual_swords	wh_main_infantry_standard_fast_hero_blood_dismembers	70	50	80	8120		0	wh_main_vmp_sword_hero_lord		2	wh_missile_block_35_inaudible	wh_main_unit_short_text_vmp_vampire_lord	wh_main_infantry	trained			false	40.0000	1500.0000	wh_main_vmp_cha_vampire_lord_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
lsh_nehekvamp_lordvampire_2	10	wh2_main_plate_90	2100	cavalry	50	com	wh_main_unit_long_text_vmp_vampire_lord	hu1_empire_hr1_pegasus_sword_and_shield	wh_main_infantry_standard_fast_hero_blood_dismembers	70	50	80	9328	wh_main_vmp_mnt_hellsteed	1	wh_main_vmp_sword_hero_lord		2	wh_missile_block_35_inaudible	wh_main_unit_short_text_vmp_vampire_lord	wh_main_monstrous_cavalry	trained			false	40.0000	1500.0000	wh_main_vmp_cha_vampire_lord_2	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	flying_melee_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
lsh_nehekvamp_lordvampire_3	10	wh2_main_body_70	2100	war_beast	40	com	wh_main_unit_long_text_vmp_vampire_lord	hu1_vampire_counts_dr1_zombie_dragon_wb_sword_and_shield	wh_main_infantry_standard_fast_hero_blood_dismembers	44	50	80	14856	wh_main_vmp_mnt_dragon_zombie	1	wh_main_vmp_hero_zombie_dragon		2	none	wh_main_unit_short_text_vmp_vampire_lord	wh_main_monster	trained			false	40.0000	1500.0000	wh_main_vmp_cha_vampire_lord_3	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	0	25	0	flying_melee_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
lsh_nehekvamp_lordvampire_5	10	wh2_main_plate_110	2100	cavalry	50	com	wh_main_unit_long_text_vmp_vampire_lord	hu1_empire_hr1_warhorse_sword_and_shield	wh_main_infantry_standard_fast_hero_blood_dismembers	70	50	80	9328	wh2_dlc09_tmb_mnt_tomb_steed_hero	1	wh_main_vmp_sword_hero_lord		2	wh_missile_block_35_inaudible	wh_main_unit_short_text_vmp_vampire_lord	wh_main_cavalry_chaotic	trained			false	40.0000	1500.0000	wh_main_vmp_cha_vampire_lord_5	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_characters				1.0000	1.0000	false	false
lsh_nehekvamp_mummy_zombie	10	wh_main_body_0	2100	inf_melee	3	inf_mel	lsh_nehekvamp_mummy_zombie	hu1_vampire_zombie_sword	wh_main_infantry_zombie_blood_dismembers	5	6	40	69		0	wh_main_vmp_sword_zombie		16	none	lsh_nehekvamp_mummy_zombie	wh2_main_inf_chaotic_formation_tight	trained			true	40.0000	1500.0000	wh_main_vmp_inf_zombie	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry_expendable				1.0000	1.0000	false	false
lsh_nehekvamp_mummy_zombie_arkhan	10	wh_main_body_0	2100	inf_melee	3	inf_mel	lsh_nehekvamp_mummy_zombie	hu1_vampire_zombie_sword	wh_main_infantry_zombie_blood_dismembers	5	6	40	69		0	wh_main_vmp_sword_zombie		32	none	lsh_nehekvamp_mummy_zombie	wh2_main_inf_chaotic_formation_tight	trained			true	40.0000	1500.0000	lsh_nehekvamp_mummy_zombie_arkhan	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry_expendable				1.0000	1.0000	false	false
lsh_nehekvamp_scarab_bat	10	wh_main_body_0	2100	inf_melee	6	inf_mel	lsh_nehekvamp_scarab_bat	ba1_bat	wh_main_flying_fell_bat_blood	19	44	35	62		0	wh_main_vmp_fell_bats		14	none	lsh_nehekvamp_scarab_bat	wh2_main_inf_chaotic_formation_tight	trained			true	40.0000	1500.0000	wh_main_vmp_mon_fell_bats	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	flying_melee_flanker	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
lsh_nehekvamp_scarab_bat2	10	wh2_main_body_20	2100	inf_melee	30	inf_mel	lsh_nehekvamp_scarab_bat	ba1_bat	wh3_main_arkhan_tmb_flying_fell_bat_blood	19	49	35	62		0	wh3_main_tmb_fell_bats		14	none	lsh_nehekvamp_scarab_bat	wh2_main_inf_chaotic_formation_tight	trained			true	40.0000	1500.0000	wh2_dlc09_tmb_mon_fell_bats	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	flying_melee_flanker	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
lsh_nehekvamp_shadowvampire_0	10	wh2_main_plate_90	2100	inf_melee	30	com	wh_main_unit_long_text_vmp_vampire	hu1b_def_lord_staff_and_sword	wh2_dlc16_infantry_standard_fast_hero_blood_dismembers_low_kb_resist	60	40	70	7128		0	wh_main_vmp_sword_hero_vampire		2	none	wh_main_unit_short_text_vmp_vampires	wh_main_infantry	trained			false	40.0000	1500.0000	wh_dlc05_vmp_cha_vampire_shadows_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
