key	category	class	short_description_text	historical_description_text	campaign_action_points	man_entity	man_animation	num_mounts	mount	spacing	rank_depth	morale	bonus_hit_points	training_level	armour	shield	primary_missile_weapon	accuracy	primary_ammo	primary_melee_weapon	melee_attack	charge_bonus	melee_defence	num_engines	engine	articulated_record	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	can_brace	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_Trajanns_Sentinels
traj_barthuum	inf_ranged	com	traj_barthuum	wh2_pro06_unit_long_text_tmb_mon_bone_giant	2100	wh2_pro06_tmb_mon_bone_giant	gi1_colossus_bow	0		wh_main_monster	2	80	25868	well_trained	wh2_main_body_100	none	traj_barthuum	10	30	traj_barthuum	40	20	38	0			true	40.0000	1500.0000	traj_barthuum	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	20	10	0	0	ranged_direct_highvalue	false	false	false	high	high	domination_characters		false			1.0000	1.0000	false	false
traj_barthuum_ror	inf_ranged	inf_mis	traj_barthuum_ror	wh2_pro06_unit_long_text_tmb_mon_bone_giant	2100	wh2_pro06_tmb_mon_bone_giant	gi1_colossus_bow	0		wh_main_monster	2	65	16680	trained	wh2_main_bone_80	none	traj_barthuum_ror	10	20	wh2_dlc10_tmb_bone_giant	38	20	36	0			true	40.0000	1500.0000	traj_barthuum_ror	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	ranged_direct_highvalue	false	false	false	medium	medium	domination_monsters		false			1.0000	1.0000	false	false
traj_gurrash	inf_melee	com	traj_gurrash	wh2_dlc09_tmb_mon_ushabti	2100	traj_gurrash	hu6f_wh3_herald_2handed_sword	0		wh_main_monster	2	80	12824	well_trained	wh2_dlc15_bone_120	none		10	0	traj_gurrash	48	40	40	0			true	40.0000	1500.0000	traj_gurrash	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	20	10	0	0	melee_gatecrusher	false	false	false	high	high	domination_characters		true			1.0000	1.0000	false	false
traj_gurrash_ushabti	inf_melee	inf_mel	traj_gurrash_ushabti	wh2_dlc09_tmb_mon_ushabti	2100	wh2_dlc09_tmb_mon_ushabti	hu6e_ushabti_dual_swords	0		wh_main_monstrous_trolls	6	60	500	trained	wh2_dlc10_bone_90	none		10	0	traj_gurrash_ushabti	30	18	44	0			true	40.0000	1500.0000	traj_gurrash_ushabti	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	melee_gatecrusher	false	false	false	medium	medium	domination_monsters		true			1.0000	1.0000	false	false
traj_inathma	inf_melee	inf_mel	traj_inathma	wh2_dlc09_tmb_veh_khemrian_warsphinx	2100	traj_inathma	bc1_warsphinx	0		wh_main_monster	2	80	19912	trained	wh2_dlc10_bone_95	none		10	0	traj_inathma	50	70	50	0			true	40.0000	1500.0000	traj_inathma	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	1.0000	large	0	0	20	10	0	0	melee_gatecrusher	false	false	false	high	high	domination_characters		false			1.0000	1.0000	false	false
traj_inathma_ror	war_beast	inf_mel	traj_inathma_ror	wh2_dlc09_tmb_veh_khemrian_warsphinx	2100	wh2_dlc09_tmb_warsphinx_rider_360	hu1_tomb_wb_bigcat01_bow	1	traj_inathma_ror	wh_main_monster	2	70	19224	trained	wh2_dlc10_bone_95	none		10	200	traj_inathma_ror	48	64	48	0			true	40.0000	1500.0000	traj_inathma_ror	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	1.0000	large	15	0	0	0	20	0	melee_gatecrusher	false	false	false	medium	medium	domination_monsters		false			1.0000	1.0000	false	false
traj_malarok	inf_ranged	com	traj_malarok	wh2_dlc09_tmb_mon_sepulchral_stalkers	2100	traj_malarok	sn1_sepulchral_stalker_halberd	0		wh_main_monster	2	80	11784	well_trained	wh2_main_body_95	none	traj_malarok	10	15	traj_malarok	40	30	47	0			true	40.0000	1500.0000	traj_malarok	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	20	10	0	0	melee_gatecrusher	false	false	false	high	high	domination_characters		true			1.0000	1.0000	false	false
traj_malarok_necroserpent	inf_melee	inf_mel	traj_malarok_necroserpent	wh2_dlc09_tmb_cav_necropolis_knights	2100	wh2_dlc09_tmb_cav_necroserpent	sn1_serpent	0		wh2_dlc09_necroserpents	4	50	280	trained	wh2_main_body_95	none		10	0	traj_malarok_necroserpent	32	35	25	0			true	40.0000	1500.0000	traj_malarok_necroserpent	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	melee_flanker_shock	false	false	false	medium	medium	domination_monsters		false			1.0000	1.0000	false	false
traj_malarok_stalkers	inf_ranged	inf_mis	traj_malarok_stalkers	wh2_dlc09_tmb_mon_sepulchral_stalkers	2100	wh2_dlc09_tmb_mon_sepulchral_stalker	sn1_sepulchral_stalker_halberd	0		wh2_dlc09_stalkers	4	60	432	trained	wh2_main_bone_80	none	traj_malarok_stalkers	33	12	traj_malarok_stalkers	29	10	38	0			true	40.0000	1500.0000	traj_malarok_stalkers	60	80	18	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	ranged_stalkers_flanker	false	false	false	medium	medium	domination_monsters		true			1.0000	1.0000	false	false
