key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_archer_fuyuanshan_faction
cth_fys_jade_warrior_lancer	10	wh2_main_chainmail_110	2100	war_beast	60	cav_shk	cth_fys_jade_warrior_lancer	hu1e_hr1_warhorse_lance_and_shield	wh_main_cavalry_rider_standard_blood	26	36	70	92	cth_fys_jade_warrior_lancer_mount	120	wh3_main_cth_jade_lancer_lance		8	wh_missile_block_30_wood	wh3_main_unit_short_text_cth_fys_jade_warrior_lancer	wh_main_cavalry_ordered	trained			true	40.0000	1500.0000	cth_fys_jade_warrior_lancer	60	80	0	vo_sel_cth_jade_riders	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false	low	low	domination_cav				1.0000	1.0000	false	false
cth_fys_mon_xinwu	10	wh2_main_heavy_metal_130	2100	inf_melee	55	com	fuyuanshan_xinwu	cth_fys_xinwu	fuyuanshan_xinwu	75	65	90	19600		0	fuyuanshan_xinwu		2	none	fuyuanshan_xinwu_mon	wh_main_monster	trained			true	40.0000	1500.0000	fuyuanshan_xinwu	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	50	20	0	10	10	10	melee_highvalue	false	true	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
cth_fys_peasant_firelancer	10	wh2_main_plate_40	2100	war_beast	36	cav_shk	cth_fys_peasant_firelancer	hu1e_hr1_fys_firelance	wh_main_cavalry_rider_standard_blood	28	24	70	84	cth_fys_hr1_firelancer	120	cth_fys_firelance		8	none	cth_fys_peasant_firelancer	wh_main_cavalry_ordered	trained			true	40.0000	1500.0000	attribute_cth_fys_peasant_firelancer	60	80	0	vo_sel_cth_peasant_horsemen	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false	low	low	domination_cav				1.0000	1.0000	false	false
cth_mon_yaksha	10	wh2_main_body_80	2100	inf_melee	30	inf_mel	cth_mon_yaksha	cth_fys_gi_mingwang	cth_mon_yaksha	60	0	100	27746		0	cth_mon_yaksha		2	none	cth_mon_yaksha	wh_main_monster	trained			true	40.0000	1500.0000	cth_mon_yaksha_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	20	10	0	0	0	0	melee_gatecrusher	false	false	false	false	medium	medium	domination_monsters				1.0000	1.0000	false	false
f_cth_cav_bastion	10	wh2_main_chainmail_110	2100	cavalry	50	cav_shk	f_cth_cav_bastion	hu1_bretonnian_hr1_warhorse_2handed_sword	wh_main_cavalry_rider_standard_blood	31	45	80	110	f_cth_cav_bastion_mount	100	f_cth_langya_club		8	none	wh3_main_unit_short_text_f_cth_cav_bastion	wh_main_cavalry_ordered	well_trained			true	40.0000	1500.0000	f_cth_cav_bastion_attributes	60	80	0	vo_sel_cth_jade_riders	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	20	0	melee_flanker	false	false	false	false	low	low	domination_cav				1.0000	1.0000	false	false
f_cth_inf_scout	10	wh2_main_leather_40	2100	cavalry	36	cav_mis	f_cth_inf_scout	hu1_empire_hr1_warhorse_sword_and_bow	f_cth_cav_rider_archers	35	28	72	82	wh3_main_cth_mnt_horse_light	120	f_cth_scout_sword	f_scout_bow	8	none	wh3_main_unit_short_text_f_cth_inf_scout	wh_main_cavalry_ordered	well_trained			true	40.0000	1500.0000	f_cth_inf_scout	60	80	10	vo_sel_ranged	vo_sel_cavalry	vo_sel_culture	0.6000	large	0	18	0	0	0	0	0	0	ranged_cav_harasser	true	false	false	false	low	low	domination_cav				1.0000	1.0000	false	false
f_cth_sky_keeper	10	wh2_main_chainmail_120	2100	war_beast	75	cav_shk	f_cth_sky_keeper	hu1e_wh3_cathay_hr1_longma_halberd_and_shield	wh_main_cavalry_rider_standard_blood	47	40	85	960	wh3_main_cth_mnt_jade_longma_hero	12	f_cth_sky_keeper_halberd		4	wh_missile_block_35_metal	wh3_main_unit_short_text_f_cth_sky_keeper	wh_main_monstrous_infantry_flying	well_trained			true	40.0000	1500.0000	f_cth_sky_keeper_attributes	60	80	0	vo_sel_cavalry	vo_sel_cth_dragon_guard	vo_sel_culture	1.0000	large	0	0	0	0	0	0	0	10	flying_melee_flanker_shock	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
fuyuanshan_xinwu_lord_0	10	wh2_main_heavy_metal_130	2100	inf_melee	55	com	fuyuanshan_xinwu	cth_fys_xinwu	fuyuanshan_xinwu	75	65	90	24000		0	fuyuanshan_xinwu		2	none	fuyuanshan_xinwu_lord	wh_main_monster	trained			true	40.0000	1500.0000	fuyuanshan_xinwu	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	50	20	0	10	10	10	melee_highvalue	false	true	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
fuyuanshan_xiuluo_summoned	0	wh2_main_heavy_metal_120	5100	inf_melee	30	com	fuyuanshan_xiuluo_long_description	cth_fys_lord_past_sword	fuyuanshan_xiuluo_0	100	70	100	14400		0	fuyuanshan_xiuluo_0_weapon		2	none	fuyuanshan_xiuluo_short_description	wh3_main_kislev_infantry_2handed	trained			true	40.0000	1500.0000	fuyuanshan_xiuluo_0_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0000	small	0	0	15	15	0	20	0	10	melee_highvalue	false	true	false	false	high	high	domination_characters				1.0000	1.0000	false	false
