key	category	class	short_description_text	historical_description_text	campaign_action_points	man_entity	man_animation	num_mounts	mount	spacing	rank_depth	morale	bonus_hit_points	training_level	armour	shield	primary_missile_weapon	accuracy	primary_ammo	primary_melee_weapon	melee_attack	charge_bonus	melee_defence	num_engines	engine	articulated_record	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	can_brace	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_dominion
dom_aeronaught	inf_ranged	inf_mis	dom_aeronaught	wh2_dlc11_unit_long_text_cst_cav_deck_droppers	2100	dom_aeronaught	hu1_dom_aeronaughts_01	0		wh_dlc07_monstrous_cavalry_flying	6	80	250	trained	wh2_main_plate_80	none	dom_aeronaught	10	30	dom_aeronaught	26	16	22	0			true	40.0000	1500.0000	dom_aeronaught	60	80	0	vo_sel_zombiemob_deckdroppers	vo_sel_zombiemob_deckdroppers	vo_sel_culture	1.0000	large	0	0	0	0	0	0	flying_ranged_harasser_flanker	true	false	false	cant_capture	cant_capture	cant_capture		false			1.0000	1.0000	false	false
dom_aerospear	inf_ranged	inf_mis	dom_aerospear	wh_main_unit_long_text_dwf_gyrocopter	2100	wh_main_dwf_flying_gyrobomber	wm_aerospear_01	0		wh_main_war_machines	1	85	1100	trained	wh2_main_plate_100	none	dom_aerospear	10	500	wh_main_dwf_gyrocopter	30	30	6	0			true	40.0000	1500.0000	wh_main_dwf_veh_gyrobomber	60	80	0	vo_sel_gyrocopter	vo_sel_flying	vo_sel_flying_short	1.0000	large	0	0	35	0	0	0	gyrocopter	true	false	false	cant_capture	cant_capture	cant_capture		false			1.0000	1.0000	false	false
dom_baron_0	inf_melee	com	dom_baron_0	wh3_main_unit_long_text_ksl_cha_boyar	2100	dom_baron_01	hu1c_dom_baron_01	0		wh_main_infantry	2	75	9000	trained	wh2_main_heavy_metal_100	none		0	0	dom_baron_0	55	50	45	0			true	40.0000	1500.0000	wh3_main_ksl_cha_boyar_0	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	15	0	melee_highvalue	false	false	false	high	high	domination_characters		true			1.0000	1.0000	false	false
dom_baron_01	war_beast	com	dom_baron_0	wh3_main_unit_long_text_ksl_cha_boyar	2100	wh3_main_infantry_boyar_hero_blood_dismembers	hu1c_wh3_kislev_be1_warbear_dual_axe	1	dom_baron_bear	wh_main_monstrous_cavalry	2	75	10600	trained	wh2_main_heavy_metal_120	none		0	0	wh3_main_ksl_war_bear_boyar	55	65	45	0			true	40.0000	1500.0000	wh3_main_ksl_cha_boyar_2	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0000	large	0	0	0	0	15	0	melee_flanker_shock_highvalue	false	false	false	high	high	domination_characters		false			1.0000	1.0000	false	false
dom_baron_02	inf_melee	com	dom_baron_0	wh3_main_unit_long_text_ksl_cha_boyar	2100	dom_baron_battlesuit	hu10_baron_battle_suit_01	0		wh_main_monster	2	85	18880	trained	wh2_main_heavy_metal_130	none		10	0	wh3_main_kho_skarbrand_dual_axe	75	65	50	0			true	40.0000	1500.0000	wh3_main_ksl_cha_boyar_2	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	25	20	0	0	melee_highvalue	false	false	false	high	high	domination_characters		true			1.0000	1.0000	false	false
dom_battle_mage_01	inf_melee	inf_mel	dom_battle_mage_01	wh3_main_unit_long_text_cth_cha_astromancer	2100	ksl_champion	hu1e_mage_hero	0		wh_main_cavalry_very_chaotic	2	85	608	trained	wh2_main_chainmail_90	none		10	0	dom_battle_mage_01	40	15	30	0			true	40.0000	1500.0000	wh_dlc01_chs_inf_forsaken_0	60	80	0	vo_sel_ksl_tsar_guard	vo_sel_generic	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	melee	false	false	false	medium	medium	domination_infantry		true			1.0000	1.0000	false	false
dom_bulwark_0	inf_ranged	inf_mis	dom_bulwark_0	wh3_dlc26_unit_long_text_ogr_inf_maneaters	2100	wh3_main_ogr_monster_ogre_maneater_blood	hu13_dom_bulwark_pistol_01	0		wh_main_monstrous_trolls	4	90	1400	trained	wh2_main_body_40	none	dom_bulwark_0	10	50	dom_bulwark_0	50	50	50	0			true	40.0000	1500.0000	wh3_main_ogr_inf_maneaters_3	60	80	0	vo_sel_ogr_maneater_pistols	vo_sel_ogr_maneaters	vo_sel_culture	1.0000	large	0	0	0	0	0	0	hybrid_gatecrusher	true	false	false	medium	medium	domination_infantry		true		archer	1.0000	1.0000	false	false
dom_bulwark_01	inf_ranged	inf_mis	dom_bulwark_01	wh3_main_ogr_inf_leadbelchers_0	2100	wh3_main_ogr_monster_ogre_leadbelcher_blood	hu13_bulwark_cannon_01	0		wh_main_monstrous_trolls	4	90	1250	trained	wh2_main_body_50	none	dom_bulwark_01	10	300	dom_bulwark_01	30	24	35	0			true	40.0000	1500.0000	wh3_main_ogr_inf_leadbelchers_0	60	80	0	vo_sel_ogr_leadbelchers	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	ranged_direct_gatecrusher	true	false	false	medium	medium	domination_infantry		true		archer	1.0000	1.0000	false	false
dom_carryall_0	war_machine	chariot	dom_carryall_0	wh2_dlc13_unit_long_text_emp_war_wagon	2100	wh_main_cavalry_rider_standard_blood	hu1_dlc13_wagon01_crew_rifle01	0		wh2_dlc09_tmb_chariot	1	65	1120	trained	wh2_main_plate_80	none	dom_carryall_rifle	10	300	dom_carryall_0	18	29	12	8	dom_carryall		true	40.0000	1500.0000	wh2_dlc13_emp_veh_war_wagon_0	60	80	0	vo_sel_default	vo_sel_ranged	vo_sel_generic_short	1.0000	large	300	0	0	0	0	0	ranged_harasser	true	false	false	medium	medium	domination_cav		false		archer	1.0000	1.0000	false	false
dom_carryall_01	war_machine	chariot	dom_carryall_01	wh2_dlc13_unit_long_text_emp_war_wagon	2100	wh_main_cavalry_rider_standard_blood	hu1_dlc13_wagon01_crew_rifle01	0		wh2_dlc09_tmb_chariot	1	75	1280	trained	wh2_main_plate_85	none	dom_carryall_lightrifle	10	300	dom_carryall_0	19	29	14	8	dom_carryall		true	40.0000	1500.0000	wh2_dlc13_emp_veh_war_wagon_0	60	80	0	vo_sel_default	vo_sel_ranged	vo_sel_generic_short	1.0000	large	300	0	0	0	0	0	ranged_harasser	true	false	false	medium	medium	domination_cav		false		archer	1.0000	1.0000	false	false
dom_flame_tank	war_machine	chariot	dom_flame_tank	wh_main_unit_long_text_emp_steam_tank	2100	dom_flame_tank	wm_dom_flame_tank_01	1	emp_hidden_mount_steam_tank	wh_main_monster	1	100	8500	trained	wh2_main_heavy_metal_160	wh_missile_block_55_metal	dom_flame_tank_cannon	10	1000	dom_flame_tank	45	80	20	1	dom_flame_tank	wh3_dlc25_emp_veh_steam_tank	true	40.0000	1500.0000	dom_flame_tank	60	80	0	vo_sel_steam_tank	vo_sel_generic	vo_sel_generic_short	1.0000	large	700	0	0	0	0	0	ranged_direct_highvalue	false	false	false	medium	medium	domination_cav		false		artillery	1.0000	1.0000	true	false
dom_flying_fort	war_beast	art_siege	dom_flying_fort	wh3_main_unit_long_text_cth_veh_sky_lantern_0	2100	dom_flying_fort_mortar	wm_dom_flying_fort_mortar_01	2	dom_flying_fort	wh_main_monster	1	95	10000	trained	wh2_main_heavy_metal_160	none	dom_flying_fort_mortar	10	40	wh_main_cth_sky_lantern	10	1	10	0			true	40.0000	1500.0000	dom_flying_fort	60	80	0	vo_sel_default	vo_sel_flying	vo_sel_flying_short	1.0000	large	500	0	0	0	0	0	gyrocopter	false	false	false	cant_capture	cant_capture	cant_capture		false	dom_flying_fort		1.0000	1.0000	false	false
dom_heat_gun	artillery	art_fld	dom_heat_gun	wh_main_unit_long_text_emp_helblaster_volley_gun	2100	wh2_dlc16_infantry_standard_crew_blood_dismembers	hu1_empire_helblaster_crew	0		wh_main_artillery_small	5	50	48	trained	wh2_main_chainmail_25	none		10	100	wh_main_emp_sword_short	10	5	6	8	dom_heat_gun		true	40.0000	1500.0000	wh_main_emp_art_helblaster_volley_gun	60	80	0	vo_sel_helblaster	vo_sel_artillery	vo_sel_culture	1.0000	small	0	0	0	0	0	0	ranged_direct_arty	false	false	false	medium	medium	domination_artillery		false	emp_helblaster_volley_gun	artillery	1.0000	1.0000	false	false
