key	category	class	short_description_text	historical_description_text	campaign_action_points	man_entity	man_animation	num_mounts	mount	spacing	rank_depth	morale	bonus_hit_points	training_level	armour	shield	primary_missile_weapon	accuracy	primary_ammo	primary_melee_weapon	melee_attack	charge_bonus	melee_defence	num_engines	engine	articulated_record	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	damage_mod_flame	damage_mod_magic	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	can_brace	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_fairlight_beta
ML_Fairlight_LL_Unit	inf_melee	com	ML_Fairlight_LL_stext	ML_Fairlight_LL_ltext	2100	ML_Fairlight_LL_BatEnt	hu1_dlc14_repanse_2handed_sword	0		wh_main_infantry	2	80	8320	trained	wh2_main_plate_90	none		10	0	ML_Fairlight_LL_2Hsword	48	45	60	0			true	40.0000	1500.0000	ML_Fairlight_LL_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	small	0	0	0	0	15	0	melee_highvalue	false	false	false	high	high	domination_characters		true			1.0000	1.0000	false	false
ML_Fairlight_LL_Unit_1	cavalry	com	ML_Fairlight_LL_stext	ML_Fairlight_LL_ltext	2100	ML_Fairlight_LL_BatEnt_1	hu1_dlc14_hr1_warhorse_repanse_2handed_sword	1	ML_Fairlight_LL_mnt_horse	wh_main_monster	2	80	9768	trained	wh2_main_plate_110	none		10	0	ML_Fairlight_LL_2Hsword	48	65	60	0			true	40.0000	1500.0000	ML_Fairlight_LL_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	15	0	melee_flanker_shock_highvalue	false	false	false	high	high	domination_characters		false			1.0000	1.0000	false	false
ML_Fairlight_LL_Unit_2	war_beast	com	ML_Fairlight_LL_stext	ML_Fairlight_LL_ltext	2100	ML_Fairlight_LL_BatEnt_2	hu1_empire_bc2_griffon_wb_hammer	1	ML_Fairlight_LL_mnt_griffon	wh_main_monster	2	80	11640	trained	wh2_main_plate_100	none		10	0	ML_Fairlight_LL_2Hsword_Griffon	54	90	55	0			true	40.0000	1500.0000	ML_Fairlight_LL_attributes_griff	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	0	0	15	0	flying_melee_shock_highvalue	false	false	false	cant_capture	cant_capture	cant_capture		false			1.0000	1.0000	false	false
ML_Fairlight_LL_brt_armored_sergeants	inf_melee	inf_mel	ML_Fairlight_ArmSer_stext	ML_Fairlight_ArmSer_ltext	2100	wh_main_infantry_slow_blood_dismembers	hu1_empire_spear_and_shield	0		wh_main_infantry	12	65	61	trained	wh2_main_plate_70	wh_missile_block_55_wood		10	0	ml_brt_spear_crusader	26	6	40	0			true	40.0000	1500.0000	ML_Fairlight_armser_attributes	60	80	0	vo_sel_bretonnian_spearmen_at_arms	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	melee_anti_large	false	false	false	medium	medium	domination_infantry		true			1.0000	1.0000	false	false
ML_Fairlight_LL_brt_crossbows	inf_ranged	inf_mis	ML_Fairlight_crossbows_stext	ML_Fairlight_crossbows_ltext	2100	wh_main_infantry_standard_blood_dismembers	hu1_empire_sword_crossbow	0		wh_main_infantry	8	65	61	trained	wh2_main_chainmail_50	none	ml_brt_crossbow	10	24	ml_brt_sword_crusader	24	5	26	0			true	40.0000	1500.0000	ML_Fairlight_crossbows_attributes	60	80	0	vo_sel_bretonnian_men_at_arms	vo_sel_ranged	vo_sel_generic_short	1.0000	small	0	0	0	0	0	0	ranged	true	false	false	medium	medium	domination_infantry		true			1.0000	1.0000	false	false
wh_dlc07_brt_cav_grail_guardians_0	cavalry	cav_mel	wh_dlc07_unit_short_text_brt_grail_guardians	wh_main_unit_long_text_brt_grail_guardians	2100	wh_main_cavalry_rider_standard_blood	hu1_leoncoeur_hr1_warhorse_sword_and_shield	32	wh_main_brt_mnt_warhorse_grail_guardians	wh_main_cavalry_ordered	4	85	479	trained	wh2_main_plate_120	wh_missile_block_35_wood		10	0	wh_dlc07_brt_sword_grail_guardian	36	46	62	0			true	40.0000	1500.0000	wh_dlc07_brt_cav_grail_guardians_0	60	80	0	vo_sel_bretonnian_grail_guardians	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	melee_flanker	false	false	false	medium	medium	domination_cav		false			1.0000	1.0000	false	false
wh_dlc07_brt_cav_royal_hippogryph_knights_0	war_beast	cav_shk	wh_dlc07_brt_cav_royal_hippogryph_knights	wh_main_unit_long_text_brt_royal_hippogryph_knights	2100	wh_main_cavalry_rider_standard_blood	hu1_bretonnian_bc2b_hippogryph_wb_lance_sword_shield	16	wh_main_brt_mnt_hippogryph	wh_dlc07_brt_royal_hippogryph_knights	4	75	1045	trained	wh2_main_plate_100	wh_missile_block_30_wood		10	0	wh_dlc07_brt_hippogryph_knight	46	62	38	0			true	40.0000	1500.0000	wh_dlc07_brt_cav_royal_hippogryph_knights_0	60	80	0	vo_sel_cavalry	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	flying_melee_flanker_shock	false	false	false	cant_capture	cant_capture	cant_capture		false			1.0000	1.0000	false	false
wh_dlc07_brt_cav_royal_pegasus_knights_0	cavalry	cav_mel	wh_dlc07_brt_cav_royal_pegasus_knights	wh_main_unit_long_text_brt_royal_pegasus_knights	2100	wh_main_cavalry_rider_standard_blood	hu1_bretonnian_hr1_royal_pegasus_lancer	32	wh_main_brt_mnt_royal_pegasus	wh_main_cavalry_pegasus_knights	4	80	389	trained	wh2_main_plate_90	wh_missile_block_30_wood		10	0	wh_dlc07_brt_lance_royal_pegasus_knights	42	78	34	0			true	40.0000	1500.0000	wh_dlc07_brt_cav_royal_pegasus_knights_0	60	80	0	vo_sel_bretonnian_pegasus_knights	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	flying_melee_flanker_shock	false	false	false	cant_capture	cant_capture	cant_capture		false			1.0000	1.0000	false	false
wh_main_brt_cav_grail_knights	cavalry	cav_shk	wh_main_unit_short_text_brt_grail_knights	wh_main_unit_long_text_brt_grail_knights	2100	wh_main_cavalry_rider_standard_blood	hu1_grail_hr1_warhorse_lance_sword_shield	32	wh_main_brt_mnt_warhorse_grail_knights	wh_main_cavalry_ordered	4	80	419	trained	wh2_main_plate_100	wh_missile_block_35_wood		10	0	wh_main_brt_lance_grail_knight	42	78	42	0			true	40.0000	1500.0000	wh_main_brt_cav_grail_knights	60	80	0	vo_sel_bretonnian_grail_knights	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	melee_flanker_shock	false	false	false	low	low	domination_cav		false			1.0000	1.0000	false	false
wh_main_brt_mon_trolls_summ	inf_melee	inf_mel	ML_Fairlight_modrat_stext	ML_Fairlight_modrat_ltext	2100	wh2_dlc15_monster_troll_stone_blood	hu4c_dlc15_stone_troll_2h_club	0		wh_main_monstrous_trolls	6	45	486	trained	wh2_main_body_70	none		10	0	ML_Fairlight_modrator_hammer	36	34	33	0			true	40.0000	1500.0000	wh_main_grn_mon_trolls	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	large	0	0	0	0	0	0	melee_gatecrusher	false	false	false	medium	medium	domination_monsters		true			1.0000	1.0000	false	false
