key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_froeb_dark_land_orcs
frb_dark_land_bulwarks	10	wh2_main_plate_110	2100	inf_melee	30	inf_mel	wh_main_unit_long_text_grn_orc_big_uns	hu2_orc_sword_and_shield	frb_dark_land_bulwarks_entity	40	50	80	667		0	frb_dark_land_bulwarks_weapon		6	wh_missile_block_55_metal	frb_dark_land_bulwarks	frb_dark_land_bulwarks	trained			true	40.0000	1500.0000	frb_dark_land_bulwarks_attributes	60	80	0	vo_sel_black_orcs	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
frb_dark_land_bulwarks_ror	10	wh2_main_plate_120	2100	inf_melee	50	inf_mel	wh_main_unit_long_text_grn_orc_big_uns	hu2_orc_2handed_axe	frb_dark_land_bulwarks_ror_entity	60	35	90	667		0	frb_dark_land_bulwarks_ror_weapon		6	none	frb_dark_land_bulwarks_ror	frb_dark_land_bulwarks	trained			true	40.0000	1500.0000	frb_dark_land_bulwarks_ror_attributes	60	80	0	vo_sel_black_orcs	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
frb_dark_land_drake	10	wh2_main_body_70	2100	war_beast	60	com	wh2_pro09_unit_long_text_grn_cha_black_orc_big_boss	hc3_froeb_orc_dragon	frb_dark_land_drake_entity	40	50	70	17984		0	frb_dark_land_drake_weapon		2	none	frb_dark_land_drake	wh_main_monster	trained			true	40.0000	1500.0000	frb_dark_land_drake_attributes	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	0	25	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_monsters			melee	1.0000	1.0000	false	false
frb_dark_land_drake_ror	10	wh2_main_plate_100	2100	war_beast	80	com	wh2_pro09_unit_long_text_grn_cha_black_orc_big_boss	hc3_froeb_orc_dragon	frb_dark_land_drake_ror_entity	50	60	90	31984		0	frb_dark_land_drake_ror_weapon		2	none	frb_dark_land_drake_ror	wh_main_monster	trained			true	40.0000	1500.0000	frb_dark_land_drake_ror_attributes	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	0	25	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_monsters			melee	1.0000	1.0000	false	false
frb_dark_land_orc_boyz	10	wh2_main_plate_50	2100	inf_melee	23	inf_mel	wh_main_unit_long_text_grn_orc_boyz	hu2_orc_2handed_axe	frb_dark_land_orc_boyz_entity	30	22	65	73		0	frb_dark_land_orc_boyz_weapon		12	none	frb_dark_land_orc_boyz	frb_dark_land_orc_boyz	trained			true	40.0000	1500.0000	frb_dark_land_orc_boyz_attributes	60	80	0	vo_sel_boyz	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
frb_dark_land_orc_boyz_big_uns	10	wh2_main_plate_90	2100	inf_melee	25	inf_mel	wh_main_unit_long_text_grn_orc_big_uns	hu2_orc_sword_and_shield	frb_dark_land_orc_boyz_big_uns_entity	30	45	72	100		0	frb_dark_land_orc_boyz_big_uns_weapon		10	wh_missile_block_35_metal	frb_dark_land_orc_boyz_big_uns	frb_dark_land_orc_boyz_big_uns	trained			true	40.0000	1500.0000	frb_dark_land_orc_boyz_big_uns_attributes	60	80	0	vo_sel_biguns	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	0	0	melee	false	true	false	false	medium	medium	domination_infantry			melee	1.0000	1.0000	false	false
frb_dark_land_orcs_legendary_hero	10	wh2_main_heavy_metal_110	2100	cavalry	80	com	wh2_pro09_unit_long_text_grn_cha_black_orc_big_boss	hu2_orc_bo1_warboar_sword_and_shield	wh_main_grn_cha_orc_hero_blood_dismembers	55	55	75	10368	frb_dark_land_orcs_legendary_hero_boar	1	frb_dark_land_orcs_legendary_hero_weapon		2	wh_missile_block_55_metal	frb_dark_land_orcs_legendary_hero	wh_main_monster	trained			true	40.0000	1500.0000	frb_dark_land_orcs_legendary_hero_attributes	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_monsters			melee	1.0000	1.0000	false	false
frb_dark_land_orcs_legendary_lord	10	wh2_main_heavy_metal_120	2100	inf_melee	60	com	frb_unit_long_text_frb_dark_land_orcs_legendary_lord	hu2_orc_sword_and_shield	frb_dark_land_orcs_legendary_lord_entity	60	70	80	14784		0	frb_dark_land_orcs_legendary_lord_weapon		2	wh_missile_block_60_metal	frb_dark_land_orcs_legendary_lord	wh_main_infantry_large	trained			true	40.0000	1500.0000	frb_dark_land_orcs_legendary_lord_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			melee	1.0000	1.0000	false	false
frb_orc_dragonrider	10	wh2_main_heavy_metal_110	2100	war_beast	70	com	wh2_pro09_unit_long_text_grn_cha_black_orc_big_boss	hu2_orc_bi2_wyvern_wb_sword_and_shield	wh_main_grn_cha_orc_hero_blood_dismembers	45	60	75	19968	frb_orc_dragon	1	frb_orc_dragonrider_weapon		2	wh_missile_block_55_metal	frb_orc_dragonrider	wh_main_monster	trained			true	40.0000	1500.0000	frb_orc_dragonrider_attributes	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	0	25	0	melee_flanker_shock_highvalue	false	false	false	false	high	high	domination_monsters			melee	1.0000	1.0000	false	false
frb_scrap_shooters	10	wh2_main_plate_100	2100	inf_ranged	15	inf_mis	wh3_main_ogr_inf_leadbelchers_0	hu13_froeb_scrap_shooters	frb_scrap_shooters_entity	20	40	65	167		0	frb_scrap_shooters_weapon	frb_scrap_shooters_gun	6	none	frb_scrap_shooters	frb_scrap_shooters	trained			true	40.0000	1500.0000	frb_scrap_shooters_attributes	60	80	0	vo_sel_biguns	vo_sel_melee	vo_sel_culture	1.0000	small	0	10	0	0	0	0	15	0	ranged_direct_gatecrusher	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
frb_scrap_shooters_ror	10	wh2_main_plate_100	2100	inf_ranged	25	inf_mis	wh3_main_ogr_inf_leadbelchers_0	hu13_froeb_scrap_shooters	frb_scrap_shooters_entity	30	50	75	167		0	frb_scrap_shooters_ror_weapon	frb_scrap_shooters_ror_gun	6	none	frb_scrap_shooters_ror	frb_scrap_shooters	trained			true	40.0000	1500.0000	frb_scrap_shooters_ror_attributes	60	80	0	vo_sel_biguns	vo_sel_melee	vo_sel_culture	1.0000	small	0	12	0	0	0	0	15	0	ranged_direct_gatecrusher	true	true	false	false	medium	medium	domination_infantry			archer	1.0000	1.0000	false	false
frb_warboss_lord	10	wh2_main_heavy_metal_110	2100	inf_melee	60	com	wh_main_unit_long_text_grn_orc_warboss	hu2_orc_sword_and_shield	frb_warboss_lord_entity	60	50	75	10824		0	frb_warboss_lord_weapon		2	wh_missile_block_55_metal	frb_warboss_lord	wh_main_infantry_large	trained			true	40.0000	1500.0000	frb_warboss_lord_attributes	60	80	0	vo_sel_default	vo_sel_melee	vo_sel_culture	1.0000	small	0	0	0	0	0	0	15	0	melee_highvalue	false	true	false	false	high	high	domination_characters			melee	1.0000	1.0000	false	false
