unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_!!!bruiser_careers
calm_ogr_bruiser_bellower		-1	hero	1	false	calm_ogr_bruiser_bellower	1	0	1000	wh_main_shp_transport	1	1	1	1125	275	heavy		0	false	wh3_main_vo_culture_Ogres	calm_ogr_bruiser	0	true	ogre_infantry		true		925.0000	0.0000	true	vo_culture_None	true	wh3_dlc26_vo_actor_Ogres_Bruiser	0	true	false	2	false	false		0.0000	true	1	false
calm_ogr_bruiser_bodyguard		-1	hero	1	false	calm_ogr_bruiser_bodyguard	1	0	1000	wh_main_shp_transport	1	1	1	1125	275	heavy		0	false	wh3_main_vo_culture_Ogres	calm_ogr_bruiser	0	true	ogre_infantry		true		925.0000	0.0000	true	vo_culture_None	true	wh3_dlc26_vo_actor_Ogres_Bruiser	0	true	false	2	false	false		0.0000	true	1	false
calm_ogr_bruiser_broadsider		-1	hero	1	false	calm_ogr_bruiser_broadsider	1	0	1100	wh_main_shp_transport	1	1	1	1125	275	heavy		0	false	wh3_main_vo_culture_Ogres	calm_ogr_bruiser	0	true	ogre_infantry		true		1025.0000	0.0000	true	vo_culture_None	true	wh_vo_actor_silent	0	true	false	2	false	false		0.0000	true	1	false
calm_ogr_bruiser_bulwark		-1	hero	1	false	calm_ogr_bruiser_bulwark	1	0	1000	wh_main_shp_transport	1	1	1	1125	275	heavy		0	false	wh3_main_vo_culture_Ogres	calm_ogr_bruiser	0	true	ogre_infantry		true		1025.0000	0.0000	true	vo_culture_None	true	wh3_dlc26_vo_actor_Ogres_Bruiser	0	true	false	2	false	false		0.0000	true	1	false
calm_ogr_bruiser_drunkard		-1	hero	1	false	calm_ogr_bruiser_drunkard	1	0	1000	wh_main_shp_transport	1	1	1	1125	275	heavy		0	false	wh3_main_vo_culture_Ogres	calm_ogr_bruiser	0	true	ogre_infantry		true		925.0000	0.0000	true	vo_culture_None	true	wh3_dlc26_vo_actor_Ogres_Bruiser	0	true	false	2	false	false		0.0000	true	1	false
calm_ogr_bruiser_gutsmith		-1	hero	1	false	calm_ogr_bruiser_gutsmith	1	0	1000	wh_main_shp_transport	1	1	1	1125	275	heavy		0	false	wh3_main_vo_culture_Ogres	calm_ogr_bruiser	0	true	ogre_infantry		true		925.0000	0.0000	true	vo_culture_None	true	wh3_dlc26_vo_actor_Ogres_Bruiser	0	true	false	2	false	false		0.0000	true	1	false
calm_ogr_bruiser_ironhide		-1	hero	1	false	calm_ogr_bruiser_ironhide	1	0	1000	wh_main_shp_transport	1	1	1	1125	275	heavy		0	false	wh3_main_vo_culture_Ogres	calm_ogr_bruiser	0	true	ogre_infantry		true		1025.0000	0.0000	true	vo_culture_None	true	wh3_dlc26_vo_actor_Ogres_Bruiser	0	true	false	2	false	false		0.0000	true	1	false
calm_ogr_bruiser_kurobuta		-1	hero	1	false	calm_ogr_bruiser_kurobuta	1	0	1100	wh_main_shp_transport	1	1	1	1125	275	heavy		0	false	wh3_main_vo_culture_Ogres	calm_ogr_bruiser	0	true	ogre_infantry	ogr_kurobuta_01	true		1025.0000	0.0000	true	vo_culture_None	true	wh3_dlc26_vo_actor_Ogres_Bruiser	0	true	false	2	false	false		0.0000	true	1	false
calm_ogr_bruiser_merc_captain		-1	hero	1	false	calm_ogr_bruiser_merc_captain	1	0	1000	wh_main_shp_transport	1	1	1	1125	275	heavy		0	false	wh3_main_vo_culture_Ogres	calm_ogr_bruiser	0	true	ogre_infantry		true		925.0000	0.0000	true	vo_culture_None	true	wh3_dlc26_vo_actor_Ogres_Bruiser	0	true	false	2	false	false		0.0000	true	1	false
calm_ogr_bruiser_mournfang		-1	hero	1	false	calm_ogr_bruiser_mournfang	1	0	900	wh_main_shp_transport	1	1	1	1125	275	heavy		0	false	wh3_main_vo_culture_Ogres	calm_ogr_bruiser	0	true	ogr_mournfang_cav		true		865.0000	0.0000	true	vo_culture_None	true	wh3_dlc26_vo_actor_Ogres_Bruiser	0	true	false	2	false	false		0.0000	true	1	false
calm_ogr_bruiser_pitfighter		-1	hero	1	false	calm_ogr_bruiser_pitfighter	1	0	1000	wh_main_shp_transport	1	1	1	1125	275	heavy		0	false	wh3_main_vo_culture_Ogres	calm_ogr_bruiser	0	true	ogre_infantry	ogr_pitfighter_01	true		925.0000	0.0000	true	vo_culture_None	true	wh3_dlc26_vo_actor_Ogres_Bruiser	0	true	false	2	false	false		0.0000	true	1	false
calm_ogr_bruiser_sellsword		-1	hero	1	false	calm_ogr_bruiser_sellsword	1	0	1000	wh_main_shp_transport	1	1	1	1125	275	heavy		0	false	wh3_main_vo_culture_Ogres	calm_ogr_bruiser	0	true	ogre_infantry	ogr_sellsword_01	true		725.0000	200.0000	true	vo_culture_None	true	wh3_dlc26_vo_actor_Ogres_Bruiser	0	true	false	2	false	false		0.0000	true	1	false
