unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_!!_sartosa_overhaul
cathay_pirate_bombard		-1	warmachine	1	false	cathay_pirate_bombard	88	0	900	wh_main_shp_transport	1	1	44	900	225	medium		0	true	wh3_main_vo_culture_Cathay	artillery_cannon	2	false	cth_cannon		false	composite_scene/porthole/cth_wm_grand_cannon_porthole_01.csc	100.0000	800.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	6	false	false		0.0000	true	1	false
cathay_pirate_crossbows		-1	missile_infantry	1	false	cathay_pirate_crossbows	240	0	550	wh_main_shp_transport	1	1	120	550	135	light		0	true	wh3_main_vo_culture_Cathay	missile_infantry_bow	1	false	emp_soldier_15_degrees		false		100.0000	400.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	6	false	false		0.0000	true	1	false
cathay_pirate_dual_swords		-1	melee_infantry	1	false	cathay_pirate_dual_swords	240	0	450	wh_main_shp_transport	1	1	120	450	110	medium		0	true	wh3_main_vo_culture_Cathay	wh2_main_infantry_dual_swords	1	false	emp_soldier_15_degrees		false		450.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	6	false	false		0.0000	true	1	false
cathay_pirate_fire_rain_rocket_battery		-1	warmachine	2	false	cathay_pirate_fire_rain_rocket_battery	88	0	1100	wh_main_shp_transport	1	1	44	1200	300	medium		0	true	wh3_main_vo_culture_Cathay	emp_rocket_battery	3	false	cth_cannon		false	composite_scene/porthole/cth_wm_fire_rain_rocket_porthole_01.csc	100.0000	1200.0000	true	vo_culture_None	false	wh3_main_vo_actor_Cathay_Cathayunit_male	0	true	false	6	false	false		0.0000	true	1	false
infanta_leanora_navrre		-1	hero	1	false	infanta_leanora_navrre	4	0	2000	wh_main_shp_transport	1	1	2	2000	500	very_heavy		0	false	wh2_dlc11_vo_culture_Necrofex_Colossus	wizard_deep	0	true	cst_necrofex		true		1400.0000	600.0000	true	vo_culture_None	true	wh_main_vo_actor_default	0	false	true	2	false	false		0.0000	true	1	false
mixu_cst_cha_drekla		-1	hero	1	false	mixu_cst_cha_drekla	1	0	800	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh2_dlc11_vo_culture_Vampire_Coast	wizard_vampires	0	true	vamp_lord		true		800.0000	0.0000	false	vo_culture_None	true	wh2_dlc11_vo_actor_VampireCoast_Fleet_Admiral_Male	0	true	false	0	false	false		0.0000	false	1	false
ogg		-1	hero	1	false	ogg	1	0	1350	wh_main_shp_transport	1	1	1	1350	343	heavy		0	false	wh3_main_vo_culture_Ogres	chs_harald_hammerstorm	0	true	ogre_infantry		true		1350.0000	0.0000	true	vo_culture_None	true	wh3_main_vo_actor_Ogres_Tyrant	0	true	false	0	false	false		0.0000	true	1	false
sartosa_buccaneer_deck_gun_weapon_team		-1	missile_infantry	2	false	sartosa_buccaneer_deck_gun_weapon_team	64	0	1000	wh_main_shp_transport	1	1	28	1200	300	heavy		0	true	wh_main_vo_culture_Dwarf	missile_infantry_sniper	5	false	dwf_warrior_30_degrees		false		100.0000	900.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false		0.0000	true	1	false
sartosa_buccaneer_deck_gun_weapon_team_ror		1	missile_infantry	1	false	sartosa_buccaneer_deck_gun_weapon_team_ror	64	1	1200	wh_main_shp_transport	1	1	120	1400	350	medium		0	true	wh_main_vo_culture_Dwarf	missile_infantry_sniper	2	false	dwf_warrior_30_degrees		false		100.0000	1100.0000	false	vo_culture_None	true	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false		0.0000	true	1	true
