unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_!ak_teb
bor_ranger_lord		-1	lord	1	false	bor_ranger_lord	1	0	800	wh_main_shp_transport	1	1	1	1000	250	medium		0	false	wh_main_vo_culture_Empire	missile_infantry_bow	0	true	emp_general_foot		true		336.0000	504.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_General	0	true	false	0	false	false		0.0000	true	1	false
bor_ranger_lord_horse		-1	lord	1	false	bor_ranger_lord_horse	1	0	1000	wh_main_shp_transport	1	1	1	1100	275	medium		0	false	wh_main_vo_culture_Empire	missile_cavalry_bow	0	true	emp_general_foot	wh_main_cam_mnt_emp_warhorse	true		344.0000	516.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_General	0	true	false	0	false	false		0.0000	true	1	false
bor_ranger_lord_horse2		-1	lord	1	false	bor_ranger_lord_horse2	1	0	1050	wh_main_shp_transport	1	1	1	1100	275	medium		0	false	wh_main_vo_culture_Empire	missile_cavalry_bow	0	true	emp_general_foot	wh_main_cam_mnt_emp_warhorse	true		344.0000	576.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_General	0	true	false	0	false	false		0.0000	true	1	false
est_inquisitor		-1	lord	1	false	est_inquisitor	1	0	450	wh_main_shp_transport	1	1	1	1000	250	medium		0	false	wh_main_vo_culture_Empire	lord_infantry_sword	0	true	emp_general_foot		true		650.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_WitchHunter	0	true	false	0	false	false		0.0000	true	1	false
est_inquisitor_bhorse		-1	lord	1	false	est_inquisitor_bhorse	1	0	700	wh_main_shp_transport	1	1	1	1200	300	medium		0	false	wh_main_vo_culture_Empire	lord_cavalry	0	true	emp_general_foot	warhorse_barded_borgio_campaign	true		800.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_WitchHunter	0	true	false	0	false	false		0.0000	true	1	false
est_inquisitor_grif		-1	lord	1	false	est_inquisitor_grif	1	0	1300	wh_main_shp_transport	1	1	1	1500	375	heavy		0	false	wh_main_vo_culture_Empire	lord_dragon	0	true	emp_general_foot	teb_inq_hippo_camp	true		1200.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_Empire_WitchHunter	0	true	false	0	false	false		0.0000	true	1	false
est_inquisitor_horse		-1	lord	1	false	est_inquisitor_horse	1	0	650	wh_main_shp_transport	1	1	1	1100	275	medium		0	false	wh_main_vo_culture_Empire	lord_cavalry	0	true	emp_general_foot	wh_main_cam_mnt_emp_warhorse	true		700.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_WitchHunter	0	true	false	0	false	false		0.0000	true	1	false
teb_alcatani		1	melee_infantry	1	false	teb_alcatani	320	1	850	wh_main_shp_transport	1	1	160	850	213	heavy		0	true	wh_main_vo_culture_Empire	infantry_pike	2	false	emp_soldier_15_degrees		false		850.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Empire_Infantry	0	true	false	1	false	false		0.0000	true	1	true
teb_amazons		1	melee_infantry	1	false	teb_amazons	240	1	900	wh_main_shp_transport	1	1	140	900	225	medium		0	true	vo_culture_None	wh2_main_infantry_dual_swords	2	false	emp_soldier_15_degrees		false		900.0000	0.0000	false	vo_culture_None	true	wh_vo_actor_silent	0	true	false	1	false	false		0.0000	true	1	true
