unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_!kislev
ksl_ancient_widow		-1	hero	1	false	ksl_ancient_widow	1	0	600	wh_main_shp_transport	1	1	1	1200	150	heavy		0	false	wh_main_vo_culture_Vampire	vmp_tomb_banshee	0	true	vamp_banshee		true		600.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Vampire_Banshee	0	true	false	0	false	false		0.0000	true	1	false
ksl_frost_maiden_ice_leopard		-1	hero	1	false	ksl_frost_maiden_ice_leopard	1	0	800	wh_main_shp_transport	1	1	1	1100	275	heavy		0	false	wh3_main_vo_culture_Kislev	wh3_main_wizard_ice	0	true	emp_general_foot	cam_mnt_ksl_snow_leopard_ice_witch	true		850.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Frost_Maiden	0	true	false	2	false	false		0.0000	true	1	false
ksl_frost_maiden_ice_sleigh		-1	hero	1	false	ksl_frost_maiden_ice_sleigh	1	0	950	wh_main_shp_transport	1	1	1	1200	300	medium		0	false	wh3_main_vo_culture_Kislev	wh3_main_wizard_ice	0	true	emp_general_foot	cam_mnt_frost_sleigh	true		850.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Frost_Maiden	0	true	false	2	false	false		0.0000	true	1	false
ksl_frost_maiden_tempest_leopard		-1	hero	1	false	ksl_frost_maiden_tempest_leopard	1	0	800	wh_main_shp_transport	1	1	1	1100	275	heavy		0	false	wh3_main_vo_culture_Kislev	wh3_main_wizard_tempest	0	true	emp_general_foot	cam_mnt_ksl_snow_leopard_ice_witch	true		850.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Frost_Maiden	0	true	false	2	false	false		0.0000	true	1	false
ksl_frost_maiden_tempest_sleigh		-1	hero	1	false	ksl_frost_maiden_tempest_sleigh	1	0	950	wh_main_shp_transport	1	1	1	1200	300	medium		0	false	wh3_main_vo_culture_Kislev	wh3_main_wizard_tempest	0	true	emp_general_foot	cam_mnt_frost_sleigh	true		850.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Frost_Maiden	0	true	false	2	false	false		0.0000	true	1	false
ksl_ice_witch_ice_leopard		-1	lord	1	false	ksl_ice_witch_ice_leopard	1	0	850	wh_main_shp_transport	1	1	1	1100	300	heavy		0	false	wh3_main_vo_culture_Kislev	wh3_lord_wizard_ice	0	true	emp_general_foot	cam_mnt_ksl_snow_leopard_ice_witch	true		900.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Ice_Witch	0	true	false	0	false	false		0.0000	true	1	false
ksl_ice_witch_ice_sleigh		-1	lord	1	false	ksl_ice_witch_ice_sleigh	4	0	1050	wh_main_shp_transport	1	1	1	1250	325	heavy		0	false	wh3_main_vo_culture_Kislev	wh3_lord_wizard_ice	0	true	emp_general_foot	cam_mnt_ice_sleigh	true		900.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Ice_Witch	0	true	false	0	false	false		0.0000	true	1	false
ksl_ice_witch_tempest_leopard		-1	lord	1	false	ksl_ice_witch_tempest_leopard	1	0	850	wh_main_shp_transport	1	1	1	1100	300	heavy		0	false	wh3_main_vo_culture_Kislev	wh3_lord_wizard_tempest	0	true	emp_general_foot	cam_mnt_ksl_snow_leopard_ice_witch	true		900.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Ice_Witch	0	true	false	0	false	false		0.0000	true	1	false
ksl_ice_witch_tempest_sleigh		-1	lord	1	false	ksl_ice_witch_tempest_sleigh	4	0	1050	wh_main_shp_transport	1	1	1	1250	325	heavy		0	false	wh3_main_vo_culture_Kislev	wh3_lord_wizard_tempest	0	true	emp_general_foot	cam_mnt_ice_sleigh	true		900.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Ice_Witch	0	true	false	0	false	false		0.0000	true	1	false
ksl_katarin_leopard		-1	lord	1	false	ksl_katarin_leopard	1	0	1000	wh_main_shp_transport	1	1	1	1450	362	heavy		0	false	wh3_main_vo_culture_Kislev	wh3_lord_wizard_ice	0	true	ksl_katarina	cam_mnt_ksl_snow_leopard_katarin	true		1000.0000	0.0000	true	vo_culture_None	true	wh3_main_vo_actor_Kislev_Katarin	0	true	false	0	false	false		0.0000	false	1	false
wh3_main_ksl_art_urugan_cannon		-1	warmachine	2	false	wh3_main_ksl_art_urugan_cannon	64	0	1100	wh_main_shp_transport	1	1	32	1100	275	heavy		0	true	wh3_main_vo_culture_Kislev	artillery_field_gun	3	false	ksl_infantry_15_degrees		false		110.0000	990.0000	true	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false		0.0000	true	1	false
wh3_main_ksl_inf_tzar_guard_2		-1	melee_infantry	2	false	wh3_main_ksl_inf_tzar_guard_2	160	0	1000	wh_main_shp_transport	1	1	80	1000	275	medium		0	true	wh3_main_vo_culture_Kislev	infantry_bardiche	3	false	ksl_armoured_kossars_1		false		1100.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false		0.0000	true	1	false
wh3_main_ksl_veh_light_war_sled_0		-1	chariot	1	false	wh3_main_ksl_veh_light_war_sled_0	40	0	1100	wh_main_shp_transport	1	1	24	1100	275	heavy		0	true	wh3_main_vo_culture_Kislev	wh3_main_ksl_sled_rifle	3	true	default		false	composite_scene/porthole/ksl_light_warsled_porthole_01.csc	500.0000	450.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	5	false	false		0.0000	true	1	false
