unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_!landmarks_of_legend_wh
albino_guard		1	melee_infantry	2	false	albino_guard	320	1	1350	wh_main_shp_transport	1	1	160	1500	380	medium		0	true	vo_culture_None	wh2_main_skv_infantry_halberd	4	true	skv_clan_rats		false		1200.0000	0.0000	false	vo_culture_None	false	wh_vo_actor_silent	0	false	false	0	false	false		0.0000	false	1	true
axe_brothers		6	melee_infantry	2	false	axe_brothers	120	0	1100	wh_main_shp_transport	1	1	60	1200	300	heavy		0	true	wh3_main_vo_culture_Khorne	axe_brothers	3	false	vamp_grave_guard		false		1200.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Khorne_Cultist_Of_Khorne	0	true	false	6	false	false		0.0000	true	1	true
azul_guard		2	melee_infantry	1	false	azul_guard	150	0	700	wh_main_shp_transport	1	1	75	800	215	heavy		0	true	wh_main_vo_culture_Dwarf	infantry_axe	3	false	dwf_warrior_45_degrees		false		700.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false		0.0000	true	1	false
badland_rangers		1	missile_infantry	1	false	badland_rangers	160	0	850	wh_main_shp_transport	1	1	80	1250	313	medium		0	true	wh_main_vo_culture_Empire	badland_rangers	3	false	wef_infantry_30_degrees		false		213.0000	637.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	true
baerson_warrior		4	melee_infantry	1	false	baerson_warrior	200	0	750	wh_main_shp_transport	1	1	100	900	188	medium		0	true	wh_main_vo_culture_Chaos	infantry_axe_dual	2	false	chaos_warrior_30_degrees		false		750.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder	0	true	false	6	false	false		0.0000	true	1	true
bannaga_garrison		-1	hero	2	false	bannaga_garrison	1	0	1400	wh_main_shp_transport	1	1	1	1400	350	very_heavy		0	true	wh3_main_vo_culture_Ogres	wh3_main_ogr_monstrous_pistol	2	false	ogre_infantry		false		1000.0000	400.0000	true	vo_culture_None	false	wh3_main_vo_actor_Ogres_Butcher	0	true	false	6	false	false		0.0000	false	1	false
bearded_skull_miners		3	melee_infantry	1	false	bearded_skull_miners	200	0	325	wh_main_shp_transport	1	1	100	400	91	heavy		0	true	wh_main_vo_culture_Dwarf	bearded_skull_miners	3	false	dwf_warrior_15_degrees		false		325.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Dwarf_Infantry	0	true	false	6	false	false		0.0000	true	1	true
black_gulf_orcs		1	melee_infantry	2	false	black_gulf_orcs	200	0	800	wh_main_shp_transport	1	1	100	800	200	heavy		0	true	wh_main_vo_culture_Orc	infantry_sword	3	true	grn_orc_45_degrees		false		800.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Orc_Infantry	0	true	false	6	false	false		0.0000	true	1	true
blorgar		1	monster	3	false	blorgar	1	1	3250	wh_main_shp_transport	1	1	1	3250	950	very_heavy		0	true	wh_main_vo_culture_Giant	giant	5	true	grn_giant		false		1500.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	0	false	false		0.0000	true	1	true
blue_orc		-1	melee_infantry	1	false	blue_orc	180	0	550	wh_main_shp_transport	1	1	90	490	120	heavy		0	true	wh_main_vo_culture_Orc	infantry_axe	1	false	grn_orc_30_degrees		false		550.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Orc_Infantry	0	true	false	6	false	false		0.0000	true	1	false
braconnier_horsemen		-1	missile_cavalry	1	false	braconnier_horsemen	120	0	550	wh_main_shp_transport	1	1	60	850	185	medium		0	true	wh_main_vo_culture_Bretonnian	missile_cavalry_bow	2	false	emp_reiksguard		false		300.0000	250.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Mounted	0	true	false	6	false	false		0.0000	true	1	false
braconniers		-1	missile_infantry	1	false	braconniers	180	0	350	wh_main_shp_transport	1	1	90	660	160	light		0	true	wh_main_vo_culture_Bretonnian	missile_infantry_bow	1	false	emp_soldier_15_degrees		false		100.0000	250.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	6	false	false		0.0000	true	1	false
brother_bears		-1	war_beast	2	false	brother_bears	36	0	1100	wh_main_shp_transport	1	1	18	1100	280	medium		0	true	wh3_main_vo_culture_Kislev	wh3_main_monster_feral_bear	3	false	ksl_war_bear_riders		false		1600.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	true	false	6	false	false		0.0000	true	1	false
brotherhood_ranger_templars		-1	missile_infantry	1	false	brotherhood_ranger_templars	180	0	850	wh_main_shp_transport	1	1	90	850	180	medium		0	true	wh3_main_vo_culture_Kislev	wh3_main_ksl_pistol_axe_infantry	2	false	ksl_soldier_15_degrees		false		500.0000	150.0000	false	vo_culture_None	false	wh3_main_vo_actor_Kislev_Male_Unit	0	true	false	6	false	false		0.0000	true	1	false
bst_giant_spider		-1	monster	1	false	bst_giant_spider	120	0	550	wh_main_shp_transport	1	1	60	300	0	heavy		0	true	wh_main_vo_culture_Spider_Small	grn_spider_hatchling	3	false	grn_aracknarok		false		550.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	6	false	false		0.0000	true	1	false
bst_giant_wolves		-1	war_beast	1	false	bst_giant_wolves	96	0	650	wh_main_shp_transport	1	1	48	650	35	medium		0	true	wh_main_vo_culture_Dire_Wolves_WarHound	war_beast	3	false	vamp_dire_wolf		false		650.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
cathay_ogres		-1	monstrous_infantry	1	false	cathay_ogres	48	0	650	wh_main_shp_transport	1	1	16	650	163	very_heavy		0	true	wh3_main_vo_culture_Ogres	wh3_main_ogr_monstrous_dual_weapons	2	false	ogre_infantry		false		650.0000	0.0000	true	vo_culture_None	false	wh3_main_vo_actor_Ogres_Ogreunit	0	true	false	6	false	false		0.0000	true	1	false
chd_skaven_labourers		-1	melee_infantry	1	false	chd_skaven_labourers	360	0	150	wh_main_shp_transport	1	1	180	150	38	medium		0	true	wh2_main_vo_culture_Skaven	infantry_sword	1	false	skv_clan_rats		false		150.0000	0.0000	false	wh2_main_vo_culture_Skaven	false	wh2_main_vo_actor_Skaven_Unit	0	true	false	6	false	false		0.0000	true	1	false
children_of_doom		1	melee_infantry	2	false	children_of_doom	200	1	1200	wh_main_shp_transport	1	1	100	1200	300	heavy		0	true	wh3_main_vo_culture_Nurgle	children_of_doom	3	false	emp_soldier_15_degrees		false		1200.0000	0.0000	false	vo_culture_None	false	wh_dlc04_vo_actor_Empire_Inf	0	true	false	6	false	false		0.0000	true	1	true
colonial_militia		-1	missile_infantry	1	false	colonial_militia	200	0	375	wh_main_shp_transport	1	1	100	675	210	light		0	true	wh_main_vo_culture_Empire	infantry_spear	2	false	emp_soldier_30_degrees		false		375.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
cst_undead_ogre		4	monstrous_infantry	1	false	cst_undead_ogre	60	0	550	wh_main_shp_transport	1	1	30	500	150	very_heavy		0	true	wh2_dlc11_vo_culture_Bloated_Corpse	wh3_main_ogr_monstrous_great_weapons	2	false	ogre_infantry		false		550.0000	0.0000	true	vo_culture_None	false	wh2_twa05_vo_actor_OgreMercs	0	true	false	6	false	false		0.0000	true	1	false
cuileux_knights		1	melee_cavalry	1	false	cuileux_knights	160	0	1050	wh_main_shp_transport	1	1	80	1050	325	heavy		0	true	wh2_dlc11_vo_culture_Vampire_Coast	cuileux_knights	5	false	emp_reiksguard		false		950.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight	0	true	false	6	false	false		0.0000	true	1	true
dalmark_gunners		4	missile_infantry	1	false	dalmark_gunners	180	0	600	wh_main_shp_transport	1	1	120	650	160	medium		0	true	wh_main_vo_culture_Empire	missile_infantry_rifle	3	false	emp_soldier_30_degrees		false		120.0000	480.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
dalmark_militia		4	melee_infantry	1	false	dalmark_militia	240	0	375	wh_main_shp_transport	1	1	120	400	99	medium		0	true	wh_main_vo_culture_Empire	dalmark_militia	2	false	emp_soldier_30_degrees		false		375.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
damned_grail_knights		2	melee_cavalry	2	false	damned_grail_knights	96	0	1500	wh_main_shp_transport	1	1	48	1950	400	very_heavy		0	true	wh2_dlc11_vo_culture_Vampire_Coast	shock_cavalry	4	false	emp_reiksguard		false		1500.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight	0	true	false	6	false	false		0.0000	true	1	false
damned_knights_errant_2		4	melee_cavalry	1	false	damned_knights_errant_2	150	0	700	wh_main_shp_transport	1	1	75	700	175	very_heavy		0	true	wh2_dlc11_vo_culture_Vampire_Coast	shock_cavalry	3	false	emp_reiksguard		false		550.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight	0	true	false	6	false	false		0.0000	true	1	false
damned_knights_of_the_realm		2	melee_cavalry	1	false	damned_knights_of_the_realm	150	0	950	wh_main_shp_transport	1	1	75	950	238	heavy		0	true	wh2_dlc11_vo_culture_Vampire_Coast	shock_cavalry	3	false	emp_reiksguard		false		950.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight	0	true	false	6	false	false		0.0000	true	1	false
damned_questing_knights_0		2	melee_cavalry	1	false	damned_questing_knights_0	150	0	1100	wh_main_shp_transport	1	1	75	1100	275	very_heavy		0	true	wh2_dlc11_vo_culture_Vampire_Coast	cavalry	3	false	emp_reiksguard		false		1100.0000	0.0000	false	vo_culture_None	false	wh2_dlc11_vo_actor_VampireCoast_Damned_Knight	0	true	false	6	false	false		0.0000	true	1	false
dec_inq_lahmian		-1	melee_infantry	1	false	dec_inq_lahmian	160	0	750	wh_main_shp_transport	1	1	80	750	188	medium		0	true	wh_main_vo_culture_Vampire	wh2_main_infantry_dual_swords	3	true	emp_soldier_15_degrees		false		750.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Vampire_FemaleVamp	0	true	false	6	false	false		0.0000	true	1	false
def_beast_slaves		-1	melee_infantry	1	false	def_beast_slaves	360	0	150	wh_main_shp_transport	1	1	180	150	58	light		0	true	wh_dlc03_vo_culture_Beastmen	infantry_axe	1	false	bst_gor_15		false		600.0000	0.0000	false	vo_culture_None	false	wh_dlc03_vo_actor_Beastmen_Gor	0	true	false	6	false	false		0.0000	true	1	false
def_beast_slaves_ungors		-1	melee_infantry	1	false	def_beast_slaves_ungors	360	0	150	wh_main_shp_transport	1	1	180	100	21	light		0	true	wh_dlc03_vo_culture_Beastmen	infantry_spear	1	false	bst_ungor_15		false		350.0000	0.0000	false	vo_culture_None	false	wh_dlc03_vo_actor_Beastmen_Ungor	0	true	false	6	false	false		0.0000	true	1	false
def_gor_herd		-1	melee_infantry	1	false	def_gor_herd	240	0	600	wh_main_shp_transport	1	1	120	885	205	heavy		0	true	wh_dlc03_vo_culture_Beastmen	infantry_axe	3	false	bst_gor_15		false		600.0000	0.0000	false	vo_culture_None	false	wh_dlc03_vo_actor_Beastmen_Gor	0	true	false	6	false	false		0.0000	true	1	false
def_lothern_sea_guard		-1	missile_infantry	1	false	def_lothern_sea_guard	180	0	750	wh_main_shp_transport	1	1	90	850	212	medium		0	true	wh2_main_vo_culture_High_Elves	wh2_main_hef_missile_infantry_bow_spear	3	false	wef_infantry_30_degrees		false		187.0000	563.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	true	1	false
def_minotaurs		5	monstrous_infantry	1	false	def_minotaurs	32	0	1350	wh_main_shp_transport	1	1	160	920	450	heavy		0	true	wh_dlc03_vo_culture_Minotaur	wh_dlc03_minotaurs_great_weapon	5	false	bst_minotaur_15		false		1350.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	6	false	false		0.0000	true	1	false
def_raema_huntress		10	melee_infantry	1	false	def_raema_huntress	170	0	950	wh_main_shp_transport	1	1	85	1125	390	medium		0	true	wh_dlc05_vo_culture_Wood_Elves	infantry_spear	3	false	emp_soldier_30_degrees		false		450.0000	0.0000	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Female_Units	0	true	false	6	false	false		0.0000	true	1	true
def_shadow_walkers		6	missile_infantry	2	false	def_shadow_walkers	120	0	1100	wh_main_shp_transport	1	1	60	1100	275	medium		0	true	wh2_main_vo_culture_High_Elves	missile_infantry_bow	3	false	wef_infantry_30_degrees		false		325.0000	875.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	true	1	false
def_wardancers_0		-1	melee_infantry	1	false	def_wardancers_0	200	0	800	wh_main_shp_transport	1	1	80	800	200	medium		0	true	wh_dlc05_vo_culture_Wood_Elves	wh2_main_infantry_dual_swords	2	false	emp_soldier_15_degrees		false		800.0000	0.0000	false	vo_culture_None	false	wh_dlc05_vo_actor_Wood_Elves_Female_Units	0	true	false	6	false	false		0.0000	true	1	false
