unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_!scm_lccp
hef_calith_gatekeepers		-1	melee_infantry	2	false	hef_calith_gatekeepers	200	0	1350	wh_main_shp_transport	1	1	100	1350	300	heavy		0	false	wh2_main_vo_culture_High_Elves	infantry_sword	3	false	wef_infantry_15_degrees		false		1400.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	true	1	false
hef_calith_torinubar		-1	lord	1	false	hef_calith_torinubar	1	0	450	wh_main_shp_transport	1	1	1	1000	250	medium		0	false	wh2_main_vo_culture_High_Elves	wh2_main_lord_wizard_high	0	true	hef_general_foot		true		450.0000	0.0000	true	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth	0	true	false	0	false	false		0.0000	false	1	false
hef_calith_torinubar_dragon		-1	lord	1	false	hef_calith_torinubar_dragon	1	0	2000	wh_main_shp_transport	1	1	1	2200	575	heavy		0	false	wh2_main_vo_culture_High_Elves	wh2_main_lord_wizard_high	0	true	hef_general_foot	wh2_main_cam_mnt_hef_star_dragon	true		2200.0000	0.0000	true	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth	0	true	false	0	false	false		0.0000	false	1	false
hef_calith_torinubar_eagle		-1	lord	1	false	hef_calith_torinubar_eagle	1	0	1000	wh_main_shp_transport	1	1	1	1500	375	heavy		0	false	wh2_main_vo_culture_High_Elves	wh2_main_lord_wizard_high	0	true	hef_general_foot	wh2_main_cam_mnt_hef_great_eagle	true		1000.0000	0.0000	true	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth	0	true	false	0	false	false		0.0000	false	1	false
hkrul_aelfric		-1	lord	1	false	hkrul_aelfric	1	0	1150	wh_main_shp_transport	1	1	1	1000	321	heavy		0	false	wh_main_vo_culture_Chaos	lord_infantry_sword	0	true	hkrul_aelfric		true		1150.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Chaos_Lord	0	true	false	0	false	false		800.0000	true	1	false
hkrul_aelfric_horse		-1	lord	1	false	hkrul_aelfric_horse	1	0	1350	wh_main_shp_transport	1	1	1	1100	350	heavy		0	false	wh_main_vo_culture_Chaos	lord_cavalry	0	true	chaos_warrior_30_degrees	wh_main_cam_mnt_chs_barded_chaos_steed	true		1200.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Chaos_Lord	0	true	false	0	false	false		800.0000	true	1	false
hkrul_arbaal_mounted		-1	lord	1	false	hkrul_arbaal_mounted	1	0	2000	wh_main_shp_transport	1	1	1	1000	500	heavy		0	false	wh3_main_vo_culture_Khorne	lord_cavalry	0	true	chaos_warrior_30_degrees	hkrul_arbaal_mount	true		2000.0000	0.0000	true	vo_culture_None	true	wh3_dlc20_vo_actor_Khorne_Chaos_Lord_of_Khorne	0	true	false	0	false	false		0.0000	false	1	false
hkrul_burlok		1	lord	1	false	hkrul_burlok	1	1	1450	wh_main_shp_transport	1	1	1	1200	0	medium		0	false	wh_main_vo_culture_Dwarf	lord_infantry_hammer_great	0	true	dwf_warrior_30_degrees		true		2000.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_Dwarf_Lord	0	true	false	0	false	false		0.0000	false	1	false
hkrul_dolmance		-1	lord	1	false	hkrul_dolmance	1	0	600	wh_main_shp_transport	1	1	1	1000	265	medium		0	false	wh_main_vo_culture_Bretonnian	lord_infantry_sword	0	true	emp_general_foot		true		600.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_Bretonnian_Lord	0	true	false	0	false	false		0.0000	false	1	false
