unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_!scm_legendary
Bronn_the_Bold_ghost		-1	hero	1	false	Bronn_the_Bold_ghost	1	0	0	wh_main_shp_transport	1	1	1	0	0	heavy		0	false	wh_main_vo_culture_Dwarf	dwf_thane	0	true	dwf_warrior_30_degrees		true		300.0000	0.0000	false	vo_culture_None	true	wh_dlc06_vo_actor_Dwarf_Thane1Ghost	0	true	false	0	false	false		0.0000	false	1	false
Helgar_longplaits		-1	lord	1	false	Helgar_longplaits	1	0	900	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	vo_culture_None	lord_infantry_axe	0	true	dwf_warrior_15_degrees		true		900.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_default	0	true	false	0	false	false		0.0000	true	1	false
bear_dead_baron		-1	monster	1	false	bear_dead_baron	1	0	650	wh_main_shp_transport	1	1	1	650	163	heavy		0	false	wh3_main_vo_culture_Kislev	wh3_main_monster_feral_bear	2	true	ksl_war_bear_riders		true		650.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	6	false	false		0.0000	true	1	false
camera_skelly_bones		-1	melee_infantry	1	false	camera_skelly_bones	1	0	950	wh_main_shp_transport	1	1	1	950	163	heavy		0	false	wh_main_vo_culture_Skeleton	infantry_sword_great	2	false	vamp_grave_guard		false		950.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
dead_grigori		-1	hero	1	false	dead_grigori	1	0	750	wh_main_shp_transport	1	1	1	1000	250	medium		0	false	wh3_main_vo_culture_Kislev	emp_captain	0	true	chaos_warrior_30_degrees		true		750.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Boyar	0	true	false	0	false	false		0.0000	true	1	false
dead_grigori_mount		-1	hero	1	false	dead_grigori_mount	1	0	950	wh_main_shp_transport	1	1	1	1200	300	medium		0	false	wh3_main_vo_culture_Kislev	emp_captain_cavalry	0	true	ksl_boyar_foot	wh3_main_cam_mnt_ksl_warhorse_heavy	true		950.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Boyar	0	true	false	0	false	false		0.0000	true	1	false
dead_grigori_wolf		-1	monster	1	false	dead_grigori_wolf	1	0	0	wh_main_shp_transport	1	1	1	650	162	heavy		0	true	wh_main_vo_culture_Dire_Wolves_WarHound	war_beast	2	true	vamp_dire_wolf		true		325.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	6	false	false		0.0000	true	1	false
dead_ice_mage		-1	hero	1	false	dead_ice_mage	1	0	750	wh_main_shp_transport	1	1	1	1000	250	medium		0	false	wh3_main_vo_culture_Kislev	wh3_main_wizard_ice	0	true	emp_general_foot		true		250.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Patriarch	0	true	false	2	false	false		0.0000	true	1	false
dead_ice_mage_mount		-1	hero	1	false	dead_ice_mage_mount	1	0	950	wh_main_shp_transport	1	1	1	1200	300	medium		0	false	wh3_main_vo_culture_Kislev	wh3_main_wizard_ice	0	true	emp_soldier_15_degrees	wh3_main_cam_mnt_ksl_warhorse_patriarch	true		250.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Kislev_Patriarch	0	true	false	2	false	false		0.0000	true	1	false
