unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_@xou_emp
avr_inf_crossbowmen		-1	missile_infantry	1	false	avr_inf_crossbowmen	180	0	475	wh_main_shp_transport	1	1	90	475	119	light		0	true	wh_main_vo_culture_Empire	missile_infantry_bow	1	false	emp_soldier_15_degrees		false		100.0000	400.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
avr_inf_greatswords		-1	melee_infantry	1	false	avr_inf_greatswords	240	0	850	wh_main_shp_transport	1	1	120	850	225	medium		0	true	wh_main_vo_culture_Empire	infantry_sword_great	2	false	emp_soldier_30_degrees		false		900.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
avr_inf_halberdiers		-1	melee_infantry	1	false	avr_inf_halberdiers	240	0	550	wh_main_shp_transport	1	1	120	550	138	medium		0	true	wh_main_vo_culture_Empire	infantry_spear_halberd	2	false	emp_soldier_15_degrees		false		550.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
avr_inf_handgunners		-1	missile_infantry	1	false	avr_inf_handgunners	180	0	600	wh_main_shp_transport	1	1	120	600	150	medium		0	true	wh_main_vo_culture_Empire	missile_infantry_rifle	2	false	emp_soldier_30_degrees		false		120.0000	480.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
avr_inf_spearmen_0		-1	melee_infantry	1	false	avr_inf_spearmen_0	240	0	300	wh_main_shp_transport	1	1	120	300	81	medium		0	true	wh_main_vo_culture_Empire	infantry_spear	1	false	emp_soldier_15_degrees		false		325.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
avr_inf_spearmen_1		-1	melee_infantry	1	false	avr_inf_spearmen_1	240	0	350	wh_main_shp_transport	1	1	120	350	94	medium		0	true	wh_main_vo_culture_Empire	infantry_spear	1	false	emp_soldier_30_degrees		false		375.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
avr_inf_swordsmen		-1	melee_infantry	1	false	avr_inf_swordsmen	240	0	375	wh_main_shp_transport	1	1	120	375	100	medium		0	true	wh_main_vo_culture_Empire	infantry_sword	1	false	emp_soldier_15_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
cos_inf_crossbowmen		-1	missile_infantry	1	false	cos_inf_crossbowmen	180	0	475	wh_main_shp_transport	1	1	90	475	119	light		0	true	wh_main_vo_culture_Empire	missile_infantry_bow	1	false	emp_soldier_15_degrees		false		100.0000	400.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
cos_inf_greatswords		-1	melee_infantry	1	false	cos_inf_greatswords	240	0	850	wh_main_shp_transport	1	1	120	850	225	medium		0	true	wh_main_vo_culture_Empire	infantry_sword_great	2	false	emp_soldier_30_degrees		false		900.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Infantry	0	true	false	6	false	false		0.0000	true	1	false
