unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_bodyguards_allinone_en
assassin_bodyguard1		-1	hero	1	false	assassin_bodyguard1	50	0	900	wh_main_shp_transport	1	1	100	800	250	medium		0	true	wh2_main_vo_culture_Skaven	assassin_bodyguard1	3	false	skv_clan_rats		false		400.0000	500.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Assassin	0	true	false	0	false	false		0.0000	false	1	false
assassin_bodyguard2		-1	hero	1	false	assassin_bodyguard2	50	0	900	wh_main_shp_transport	1	1	100	800	250	medium		0	true	wh2_main_vo_culture_Skaven	assassin_bodyguard2	3	false	skv_clan_rats		false		400.0000	500.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Assassin	0	true	false	0	false	false		0.0000	false	1	false
assassin_bodyguard3		-1	hero	1	false	assassin_bodyguard3	26	0	800	wh_main_shp_transport	1	1	100	800	250	medium		0	true	wh2_main_vo_culture_Skaven	assassin_bodyguard3	3	false	skv_clan_rats		false		800.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Assassin	0	true	false	0	false	false		0.0000	false	1	false
assassin_bodyguard4		-1	hero	1	false	assassin_bodyguard4	26	0	800	wh_main_shp_transport	1	1	100	800	250	medium		0	true	wh2_main_vo_culture_Skaven	assassin_bodyguard4	3	false	skv_clan_rats		false		800.0000	0.0000	false	wh2_main_vo_culture_Skaven	true	wh2_main_vo_actor_Skaven_Assassin	0	true	false	0	false	false		0.0000	false	1	false
banshee_bodyguard1		-1	hero	1	false	banshee_bodyguard1	10	0	950	wh_main_shp_transport	1	1	10	950	300	heavy		0	false	wh_main_vo_culture_Vampire	vmp_tomb_banshee	0	false	vamp_banshee		false		950.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Vampire_Banshee	0	true	false	0	false	false		500.0000	false	1	false
banshee_bodyguard2		-1	hero	1	false	banshee_bodyguard2	10	0	950	wh_main_shp_transport	1	1	10	950	300	heavy		0	false	wh_main_vo_culture_Vampire	vmp_tomb_banshee	0	false	vamp_banshee		false		950.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Vampire_Banshee	0	true	false	0	false	false		500.0000	false	1	false
banshee_mount1		-1	hero	1	false	banshee_mount1	1	0	1050	wh_main_shp_transport	1	1	1	1100	400	heavy		0	false	wh_main_vo_culture_Vampire	vmp_tomb_banshee	0	true	vamp_banshee	wh2_dlc09_cam_mnt_tmb_arkhan_chariot	true	composite_scene\porthole\black_coach_porthole_01.csc	1050.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Vampire_Banshee	0	true	false	0	false	false		800.0000	false	1	false
brt_alberic_bordeleaux_bodyguard1		-1	lord	1	false	brt_alberic_bordeleaux_bodyguard1	10	0	950	wh_main_shp_transport	1	1	1	1000	300	medium		0	false	wh_main_vo_culture_Bretonnian	wh2_dlc09_lord_infantry_spear	0	false	emp_general_foot		false		950.0000	0.0000	true	vo_culture_None	true	wh_dlc07_vo_actor_Bretonnian_Alberic	0	true	false	0	false	false		0.0000	false	1	false
brt_alberic_bordeleaux_bodyguard2		-1	lord	1	false	brt_alberic_bordeleaux_bodyguard2	10	0	1200	wh_main_shp_transport	1	1	1	1000	350	medium		0	false	wh_main_vo_culture_Bretonnian	lord_cavalry	0	true	emp_general_foot	wh_main_cam_mnt_brt_barded_warhorse_faction_colours	false		1200.0000	0.0000	true	vo_culture_None	true	wh_dlc07_vo_actor_Bretonnian_Alberic	0	true	false	0	false	false		0.0000	false	1	false
brt_alberic_bordeleaux_bodyguard3		-1	lord	1	false	brt_alberic_bordeleaux_bodyguard3	10	0	1450	wh_main_shp_transport	1	1	1	1000	400	medium		0	false	wh_main_vo_culture_Bretonnian	lord_cavalry_flying	0	true	emp_general_foot	wh_main_cam_mnt_brt_royal_pegasus_faction_colours	false		1450.0000	0.0000	true	vo_culture_None	true	wh_dlc07_vo_actor_Bretonnian_Alberic	0	true	false	0	false	false		0.0000	false	1	false
brt_alberic_bordeleaux_bodyguard4		-1	lord	1	false	brt_alberic_bordeleaux_bodyguard4	10	0	1850	wh_main_shp_transport	1	1	1	1000	450	medium		0	false	wh_main_vo_culture_Bretonnian	lord_griffon	0	true	emp_general_foot	wh_main_cam_mnt_brt_hippogryph_faction_colours	false		1850.0000	0.0000	true	vo_culture_None	true	wh_dlc07_vo_actor_Bretonnian_Alberic	0	true	false	0	false	false		0.0000	false	1	false
brt_damsel_beasts_bodyguard1		-1	hero	1	false	brt_damsel_beasts_bodyguard1	50	0	1000	wh_main_shp_transport	1	1	1	1000	200	heavy		0	false	wh_main_vo_culture_Bretonnian	brt_damsel_beasts_bodyguard1	4	false	emp_general_foot		false		1000.0000	0.0000	false	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
brt_damsel_beasts_bodyguard2		-1	hero	1	false	brt_damsel_beasts_bodyguard2	50	0	1450	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Bretonnian	brt_damsel_beasts_bodyguard2	5	false	emp_general_foot	wh_main_cam_mnt_brt_warhorse	false		1450.0000	0.0000	false	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
brt_damsel_beasts_bodyguard3		-1	hero	1	false	brt_damsel_beasts_bodyguard3	50	0	1450	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Bretonnian	brt_damsel_beasts_bodyguard3	5	false	emp_general_foot	wh_main_cam_mnt_brt_barded_warhorse	false		1450.0000	0.0000	false	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
brt_damsel_beasts_bodyguard4		-1	hero	1	false	brt_damsel_beasts_bodyguard4	50	0	1450	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Bretonnian	brt_damsel_beasts_bodyguard4	4	false	emp_general_foot	wh_main_cam_mnt_brt_royal_pegasus	false		1450.0000	0.0000	false	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
brt_damsel_heavens_bodyguard1		-1	hero	1	false	brt_damsel_heavens_bodyguard1	50	0	1000	wh_main_shp_transport	1	1	1	1000	200	heavy		0	false	wh_main_vo_culture_Bretonnian	brt_damsel_heavens_bodyguard1	4	false	emp_general_foot		false		1000.0000	0.0000	false	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
brt_damsel_heavens_bodyguard2		-1	hero	1	false	brt_damsel_heavens_bodyguard2	50	0	1450	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Bretonnian	brt_damsel_heavens_bodyguard2	5	false	emp_general_foot	wh_main_cam_mnt_brt_warhorse	false		1450.0000	0.0000	false	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
brt_damsel_heavens_bodyguard3		-1	hero	1	false	brt_damsel_heavens_bodyguard3	50	0	1450	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Bretonnian	brt_damsel_heavens_bodyguard3	5	false	emp_general_foot	wh_main_cam_mnt_brt_barded_warhorse	false		1450.0000	0.0000	false	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
brt_damsel_heavens_bodyguard4		-1	hero	1	false	brt_damsel_heavens_bodyguard4	50	0	1450	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Bretonnian	brt_damsel_heavens_bodyguard4	4	false	emp_general_foot	wh_main_cam_mnt_brt_royal_pegasus	false		1450.0000	0.0000	false	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
brt_damsel_life_bodyguard1		-1	hero	1	false	brt_damsel_life_bodyguard1	50	0	1000	wh_main_shp_transport	1	1	1	1000	200	heavy		0	false	wh_main_vo_culture_Bretonnian	brt_damsel_life_bodyguard1	4	false	emp_general_foot		false		1000.0000	0.0000	false	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
brt_damsel_life_bodyguard2		-1	hero	1	false	brt_damsel_life_bodyguard2	50	0	1450	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Bretonnian	brt_damsel_life_bodyguard2	5	false	emp_general_foot	wh_main_cam_mnt_brt_warhorse	false		1450.0000	0.0000	false	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
brt_damsel_life_bodyguard3		-1	hero	1	false	brt_damsel_life_bodyguard3	50	0	1450	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Bretonnian	brt_damsel_life_bodyguard3	5	false	emp_general_foot	wh_main_cam_mnt_brt_barded_warhorse	false		1450.0000	0.0000	false	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
brt_damsel_life_bodyguard4		-1	hero	1	false	brt_damsel_life_bodyguard4	50	0	1450	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Bretonnian	brt_damsel_life_bodyguard4	4	false	emp_general_foot	wh_main_cam_mnt_brt_royal_pegasus	false		1450.0000	0.0000	false	vo_culture_None	true	wh_dlc03_vo_actor_Bretonnian_Damsel	0	true	false	0	false	false		0.0000	true	1	false
brt_fay_enchantress_bodyguard1		-1	lord	1	false	brt_fay_enchantress_bodyguard1	10	0	950	wh_main_shp_transport	1	1	1	1000	300	heavy		0	false	wh_main_vo_culture_Bretonnian	lord_wizard_life	0	false	bret_fay_enchantress		false		950.0000	0.0000	true	vo_culture_None	true	wh_dlc07_vo_actor_Bretonnian_Fay_Enchantress	0	true	false	0	false	false		0.0000	false	1	false
brt_fay_enchantress_bodyguard2		-1	lord	1	false	brt_fay_enchantress_bodyguard2	10	0	1050	wh_main_shp_transport	1	1	1	1000	400	heavy		0	false	wh_main_vo_culture_Bretonnian	lord_wizard_life	0	true	bret_fay_enchantress	wh_dlc07_cam_mnt_brt_silvaron	false		1050.0000	0.0000	true	vo_culture_None	true	wh_dlc07_vo_actor_Bretonnian_Fay_Enchantress	0	true	false	0	false	false		0.0000	false	1	false
brt_henri_le_massif_bodyguard1		-1	hero	1	false	brt_henri_le_massif_bodyguard1	50	1	1000	wh_main_shp_transport	1	1	1	1000	0	medium		0	false	wh_main_vo_culture_Bretonnian	brt_henri_le_massif_bodyguard1	3	false	emp_general_foot		false		1000.0000	0.0000	false	wh_main_vo_culture_Bretonnian	true	wh2_dlc14_vo_actor_Bretonnia_Henri_Le_Massif	0	true	false	0	false	false		0.0000	true	1	false
brt_henri_le_massif_bodyguard2		-1	hero	1	false	brt_henri_le_massif_bodyguard2	50	1	1200	wh_main_shp_transport	1	1	1	1000	0	medium		0	false	wh_main_vo_culture_Bretonnian	brt_henri_le_massif_bodyguard2	3	false	emp_general_foot	wh2_dlc14_cam_mnt_brt_henri_barded_warhorse	false		1200.0000	0.0000	false	wh_main_vo_culture_Bretonnian	true	wh2_dlc14_vo_actor_Bretonnia_Henri_Le_Massif	0	true	false	0	false	false		0.0000	true	1	false
brt_henri_le_massif_bodyguard3		-1	hero	1	false	brt_henri_le_massif_bodyguard3	50	1	1200	wh_main_shp_transport	1	1	1	1000	0	medium		0	false	wh_main_vo_culture_Bretonnian	brt_henri_le_massif_bodyguard3	3	false	emp_general_foot	wh2_dlc14_cam_mnt_brt_henri_barded_warhorse	false		1200.0000	0.0000	false	wh_main_vo_culture_Bretonnian	true	wh2_dlc14_vo_actor_Bretonnia_Henri_Le_Massif	0	true	false	0	false	false		0.0000	true	1	false
brt_henri_le_massif_bodyguard4		-1	hero	1	false	brt_henri_le_massif_bodyguard4	50	1	1200	wh_main_shp_transport	1	1	1	1000	0	medium		0	false	wh_main_vo_culture_Bretonnian	brt_henri_le_massif_bodyguard4	4	false	emp_general_foot	wh_main_cam_mnt_brt_royal_pegasus	false		1200.0000	0.0000	false	wh_main_vo_culture_Bretonnian	true	wh2_dlc14_vo_actor_Bretonnia_Henri_Le_Massif	0	true	false	0	false	false		0.0000	true	1	false
brt_king_louen_leoncoeur_bodyguard1		-1	lord	1	false	brt_king_louen_leoncoeur_bodyguard1	10	0	1200	wh_main_shp_transport	1	1	1	1000	300	very_heavy		0	false	wh_main_vo_culture_Bretonnian	lord_infantry_sword	0	false	emp_general_foot		false		1200.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_Bretonnian_King_Louen	0	true	false	0	false	false		0.0000	false	1	false
brt_king_louen_leoncoeur_bodyguard2		-1	lord	1	false	brt_king_louen_leoncoeur_bodyguard2	10	0	1450	wh_main_shp_transport	1	1	1	1000	350	very_heavy		0	false	wh_main_vo_culture_Bretonnian	lord_cavalry	0	true	emp_general_foot	wh_main_cam_mnt_brt_barded_warhorse_faction_colours	false		1450.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_Bretonnian_King_Louen	0	true	false	0	false	false		0.0000	false	1	false
brt_king_louen_leoncoeur_bodyguard3		-1	lord	1	false	brt_king_louen_leoncoeur_bodyguard3	10	0	1700	wh_main_shp_transport	1	1	1	1000	400	very_heavy		0	false	wh_main_vo_culture_Bretonnian	lord_cavalry_flying	0	true	emp_general_foot	wh_main_cam_mnt_brt_royal_pegasus_faction_colours	false		1700.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_Bretonnian_King_Louen	0	true	false	0	false	false		0.0000	false	1	false
brt_king_louen_leoncoeur_bodyguard4		-1	lord	1	false	brt_king_louen_leoncoeur_bodyguard4	10	0	2050	wh_main_shp_transport	1	1	1	1000	450	very_heavy		0	false	wh_main_vo_culture_Bretonnian	lord_griffon	0	true	emp_general_foot	wh_main_cam_mnt_brt_hippogryph	false		2050.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_Bretonnian_King_Louen	0	true	false	0	false	false		0.0000	false	1	false
brt_lord_bodyguard1		-1	lord	1	false	brt_lord_bodyguard1	10	0	800	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh_main_vo_culture_Bretonnian	lord_infantry_sword	0	false	emp_general_foot		false		800.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Bretonnian_Lord	0	true	false	0	false	false		0.0000	true	1	false
brt_lord_bodyguard2		-1	lord	1	false	brt_lord_bodyguard2	10	0	1050	wh_main_shp_transport	1	1	1	1000	300	heavy		0	false	wh_main_vo_culture_Bretonnian	lord_cavalry	0	true	emp_general_foot	wh_main_cam_mnt_brt_barded_warhorse	false		1050.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Bretonnian_Lord	0	true	false	0	false	false		0.0000	true	1	false
brt_lord_bodyguard3		-1	lord	1	false	brt_lord_bodyguard3	10	0	1200	wh_main_shp_transport	1	1	1	1000	350	heavy		0	false	wh_main_vo_culture_Bretonnian	lord_cavalry_flying	0	true	emp_general_foot	wh_main_cam_mnt_brt_royal_pegasus	false		1200.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Bretonnian_Lord	0	true	false	0	false	false		0.0000	true	1	false
brt_lord_bodyguard4		-1	lord	1	false	brt_lord_bodyguard4	10	0	1800	wh_main_shp_transport	1	1	1	1000	400	heavy		0	false	wh_main_vo_culture_Bretonnian	lord_griffon	0	true	emp_general_foot	wh_main_cam_mnt_brt_hippogryph	false		1800.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_Bretonnian_Lord	0	true	false	0	false	false		0.0000	true	1	false
brt_paladin_bodyguard1		-1	hero	1	false	brt_paladin_bodyguard1	50	0	1000	wh_main_shp_transport	1	1	1	1000	150	medium		0	false	wh_main_vo_culture_Bretonnian	brt_paladin_bodyguard1	3	false	emp_general_foot		false		1000.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Bretonnian_Paladin	0	true	false	0	false	false		0.0000	true	1	false
brt_paladin_bodyguard2		-1	hero	1	false	brt_paladin_bodyguard2	50	0	1200	wh_main_shp_transport	1	1	1	1000	200	medium		0	false	wh_main_vo_culture_Bretonnian	brt_paladin_bodyguard2	3	false	emp_general_foot	wh_main_cam_mnt_brt_warhorse	false		1200.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Bretonnian_Paladin	0	true	false	0	false	false		0.0000	true	1	false
brt_paladin_bodyguard3		-1	hero	1	false	brt_paladin_bodyguard3	50	0	1200	wh_main_shp_transport	1	1	1	1000	200	medium		0	false	wh_main_vo_culture_Bretonnian	brt_paladin_bodyguard3	3	false	emp_general_foot	wh_main_cam_mnt_brt_barded_warhorse	false		1200.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Bretonnian_Paladin	0	true	false	0	false	false		0.0000	true	1	false
