unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_gra_knightly_orders
wh_dlc04_emp_cav_knights_blazing_sun_0		0	melee_cavalry	2	false	wh_dlc04_emp_cav_knights_blazing_sun_0	120	0	1150	wh_main_shp_transport	1	1	30	1150	288	medium		0	true	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1150.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_black_bear_0		0	melee_cavalry	1	false	wh_main_emp_cav_black_bear_0	120	0	1000	wh_main_shp_transport	1	1	60	1000	250	medium		0	false	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_black_guard_0		0	melee_cavalry	2	false	wh_main_emp_cav_black_guard_0	120	0	1150	wh_main_shp_transport	1	1	60	1150	288	medium		0	false	wh_vo_actor_silent	shock_cavalry	3	false	emp_reiksguard		false		1150.0000	0.0000	false	vo_culture_None	false	wh_vo_actor_silent	0	false	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_black_rose_0		0	melee_cavalry	1	false	wh_main_emp_cav_black_rose_0	120	0	1000	wh_main_shp_transport	1	1	60	1000	250	medium		0	false	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_broken_sword_0		0	melee_cavalry	1	false	wh_main_emp_cav_broken_sword_0	120	0	1000	wh_main_shp_transport	1	1	60	1000	250	medium		0	false	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_brotherhood_steel_0		1	melee_cavalry	2	false	wh_main_emp_cav_brotherhood_steel_0	120	0	1150	wh_main_shp_transport	1	1	60	1150	288	medium		0	false	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1150.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	false
wh_main_emp_cav_dark_guardians_0		1	melee_cavalry	2	false	wh_main_emp_cav_dark_guardians_0	120	1	1350	wh_main_shp_transport	1	1	60	1350	338	medium		0	false	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1350.0000	0.0000	false	vo_culture_None	false	wh_vo_actor_silent	0	false	false	1	false	false		0.0000	true	1	false
wh_main_emp_cav_drakenhof_templars_0		0	melee_cavalry	1	false	wh_main_emp_cav_drakenhof_templars_0	120	0	1000	wh_main_shp_transport	1	1	60	1000	250	medium		0	false	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_everlasting_light_0		0	melee_cavalry	1	false	wh_main_emp_cav_everlasting_light_0	120	0	1000	wh_main_shp_transport	1	1	60	1000	250	medium		0	false	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_fellwolf_brotherhood_0		1	melee_cavalry	2	false	wh_main_emp_cav_fellwolf_brotherhood_0	120	1	1350	wh_main_shp_transport	1	1	60	1350	337	medium		0	false	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1350.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	false
wh_main_emp_cav_fiery_heart_0		0	melee_cavalry	2	false	wh_main_emp_cav_fiery_heart_0	120	0	1150	wh_main_shp_transport	1	1	60	1150	288	medium		0	false	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1150.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_gold_lion_0		0	melee_cavalry	1	false	wh_main_emp_cav_gold_lion_0	120	0	1000	wh_main_shp_transport	1	1	60	1000	250	medium		0	false	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_griffon_guard_0	wh_main_special_settlement_altdorf_5_emp	1	monstrous_cavalry	1	false	wh_main_emp_cav_griffon_guard_0	64	1	1750	wh_main_shp_transport	1	1	32	1750	413	medium		0	true	wh_main_vo_culture_Empire	monstrous_shock_cavalry	4	false	emp_demigryph_knights		false		1750.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	false
wh_main_emp_cav_hammers_sigmar_0		0	melee_cavalry	1	false	wh_main_emp_cav_hammers_sigmar_0	120	0	1000	wh_main_shp_transport	1	1	60	1000	250	medium		0	false	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_hunters_sigmar_0		0	melee_cavalry	1	false	wh_main_emp_cav_hunters_sigmar_0	120	0	1000	wh_main_shp_transport	1	1	60	1000	250	medium		0	false	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	false	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_justiciars_verana_0		1	melee_cavalry	2	false	wh_main_emp_cav_justiciars_verana_0	120	1	1150	wh_main_shp_transport	1	1	60	1150	288	medium		0	false	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1150.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	false
wh_main_emp_cav_knights_arrow_0		0	monstrous_cavalry	3	false	wh_main_emp_cav_knights_arrow_0	64	0	1400	wh_main_shp_transport	1	1	32	1400	350	medium		0	true	wh_main_vo_culture_Empire	monstrous_shock_cavalry	4	false	emp_demigryph_knights		false		1400.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_knights_bull_0		0	melee_cavalry	1	false	wh_main_emp_cav_knights_bull_0	120	0	1000	wh_main_shp_transport	1	1	60	1000	250	medium		0	false	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_knights_encarmine_0		0	melee_cavalry	1	false	wh_main_emp_cav_knights_encarmine_0	120	0	1000	wh_main_shp_transport	1	1	60	1000	250	medium		0	false	wh_main_vo_culture_Empire	cavalry	3	false	emp_reiksguard		false		1000.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_knights_griffon_0		0	melee_cavalry	2	false	wh_main_emp_cav_knights_griffon_0	120	0	1150	wh_main_shp_transport	1	1	60	1150	288	medium		0	false	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1150.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	6	false	false		0.0000	true	1	false
wh_main_emp_cav_knights_griffon_ror_0		1	melee_cavalry	1	false	wh_main_emp_cav_knights_griffon_ror_0	120	1	1350	wh_main_shp_transport	1	1	60	1350	337	medium		0	true	wh_main_vo_culture_Empire	shock_cavalry	3	false	emp_reiksguard		false		1350.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Empire_Mounted	0	true	false	1	false	false		0.0000	true	1	false
