unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_jvj_kadon_6_
kadon_bind_arcane_phoenix		-1	monster	2	false	kadon_bind_arcane_phoenix	1	0	0	wh_main_shp_transport	1	1	1	0	0	heavy		0	true	wh2_main_vo_culture_Phoenix	wh2_dlc15_hef_phoenix_arcane	4	true	hef_phoenix		true		1850.0000	0.0000	false	wh2_main_vo_culture_High_Elves	false	wh_main_vo_actor_default	0	false	true	3	false	false		0.0000	true	1	false
kadon_bind_bastiladon		-1	monster	2	false	kadon_bind_bastiladon	1	0	650	wh_main_shp_transport	1	1	1	650	0	heavy		0	true	wh2_main_vo_culture_Bastiladon	wh2_main_lzd_dinosaur	3	true	liz_bastiladon		true		775.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	3	false	true		0.0000	true	1	false
kadon_bind_black_dragon		-1	monster	3	false	kadon_bind_black_dragon	1	0	0	wh_main_shp_transport	1	1	1	0	0	heavy		0	true	wh2_main_vo_culture_Black_Dragon	dragon	5	true	hef_dragon		true		2100.0000	0.0000	true	wh2_main_vo_culture_Dark_Elves	false	wh_main_vo_actor_default	0	false	true	2	true	false		0.0000	true	1	false
kadon_bind_carnosaur		-1	monster	3	false	kadon_bind_carnosaur	1	0	0	wh_main_shp_transport	1	1	1	0	0	heavy		0	true	wh2_main_vo_culture_Carnosaur	wh2_main_lzd_dinosaur	5	true	liz_carnosaur		true		1600.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	2	false	true		0.0000	true	1	false
kadon_bind_chaos_dragon		-1	monster	1	false	kadon_bind_chaos_dragon	1	0	0	wh_main_shp_transport	1	1	1	0	0	heavy		0	false	wh_dlc08_vo_culture_frost_wyrm	wh_dlc08_nor_frost_wyrm	0	true	nor_frost_wyrm		true		2300.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_default	0	true	false	0	true	false		0.0000	true	1	false
kadon_bind_chaos_spawn		-1	monstrous_infantry	1	false	kadon_bind_chaos_spawn	32	0	0	wh_main_shp_transport	1	1	16	0	0	heavy		0	true	wh_dlc03_vo_culture_Spawn	monstrous_infantry	4	false	chaos_spawn		false		475.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	0	false	false		0.0000	true	1	false
kadon_bind_chaos_warhounds		-1	war_beast	1	false	kadon_bind_chaos_warhounds	160	0	0	wh_main_shp_transport	1	1	80	0	0	heavy		0	true	wh_main_vo_culture_Dire_Wolves_WarHound	war_beast	1	false	vamp_dire_wolf		false		400.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
kadon_bind_chs_trolls		-1	monstrous_infantry	2	false	kadon_bind_chs_trolls	32	0	0	wh_main_shp_transport	1	1	16	0	0	very_heavy		0	true	wh_main_vo_culture_Troll	monstrous_infantry	3	false	grn_troll		false		800.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
kadon_bind_cold_ones		-1	melee_cavalry	1	false	kadon_bind_cold_ones	64	0	0	wh_main_shp_transport	1	1	32	0	0	heavy		0	true	wh2_main_vo_culture_Cold_One	wh2_main_cold_one	2	false	liz_feral_cold_ones		false		450.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_group_sound	0	false	false	6	false	false		0.0000	true	1	false
