unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_loupi_ten_kingdoms_IE
loupi_avelorn_cav		-1	melee_cavalry	2	false	loupi_avelorn_cav	120	0	1200	wh_main_shp_transport	1	1	60	1200	300	heavy		0	true	wh2_main_vo_culture_High_Elves	wh2_dlc10_magic_melee_cav	4	false	emp_reiksguard		false		1200.0000	0.0000	false	vo_culture_None	false	wh2_dlc10_vo_actor_High_Elves_Sisters_of_Averlorn	0	true	false	6	false	false		0.0000	true	1	false
loupi_avelorn_treeman_ror		1	monster	1	false	loupi_avelorn_treeman_ror	1	1	2200	wh_main_shp_transport	1	1	1	2200	550	super_heavy		0	false	wh_dlc05_vo_culture_Tree	wh_dlc05_wef_treeman	5	true	wef_treeman		true		2200.0000	0.0000	true	vo_culture_None	true	wh_dlc05_vo_actor_Wood_Elves_Tree_Ancient	0	true	true	1	false	false		0.0000	true	1	true
loupi_chracian_pikes		-1	missile_infantry	1	false	loupi_chracian_pikes	180	0	1000	wh_main_shp_transport	1	1	90	1000	250	medium		0	true	wh2_main_vo_culture_High_Elves	wh2_main_hef_missile_infantry_bow_spear	3	false	wef_infantry_15_degrees		false		600.0000	400.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	true	1	false
loupi_chracian_pikes_ror		1	melee_infantry	1	false	loupi_chracian_pikes_ror	200	1	1400	wh_main_shp_transport	1	1	100	1400	350	medium		0	false	wh2_main_vo_culture_High_Elves	wh_dlc05_wef_glaive_infantry	3	false	wef_infantry_15_degrees		false		800.0000	600.0000	false	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	1	false	false		0.0000	true	1	true
loupi_dragon_gate_guard		1	missile_infantry	1	false	loupi_dragon_gate_guard	200	1	1500	wh_main_shp_transport	1	1	100	1500	325	medium		0	false	wh2_main_vo_culture_High_Elves	wh2_main_hef_missile_infantry_bow_spear	4	false	wef_infantry_15_degrees		false		1300.0000	200.0000	false	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	1	false	false		0.0000	true	1	true
loupi_dragon_prince_foot		-1	melee_infantry	1	false	loupi_dragon_prince_foot	200	0	1000	wh_main_shp_transport	1	1	100	1000	250	medium		0	true	wh2_main_vo_culture_High_Elves	infantry_sword	3	false	wef_infantry_15_degrees		false		1000.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	true	1	false
loupi_eagle_claw_ror		1	warmachine	1	false	loupi_eagle_claw_ror	180	1	1500	wh_main_shp_transport	1	1	90	1500	375	very_heavy		0	false	wh2_main_vo_culture_High_Elves	wh_dlc06_bolt_thrower	3	false	default		false		400.0000	1100.0000	true	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	1	false	false		0.0000	true	1	true
loupi_eagle_riders		-1	war_beast	3	false	loupi_eagle_riders	16	0	2000	wh_main_shp_transport	1	1	8	2000	500	heavy		0	true	wh2_main_vo_culture_High_Elves	flying_monstrous_cavalry	5	true	hef_great_eagle	wh2_main_cam_mnt_hef_great_eagle	false		2000.0000	0.0000	true	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	3	false	false		0.0000	true	1	false
loupi_ellyrian_lancers		-1	melee_cavalry	1	false	loupi_ellyrian_lancers	120	0	750	wh_main_shp_transport	1	1	60	750	187	heavy		0	true	wh2_main_vo_culture_High_Elves	shock_cavalry	2	false	emp_reiksguard		false		750.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	6	false	false		0.0000	true	1	false
loupi_ellyrian_lancers_ror		1	melee_cavalry	1	false	loupi_ellyrian_lancers_ror	120	1	1100	wh_main_shp_transport	1	1	60	1100	275	heavy		0	false	wh2_main_vo_culture_High_Elves	shock_cavalry	3	false	emp_reiksguard		false		1100.0000	0.0000	false	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	1	false	false		0.0000	true	1	true
loupi_knights_of_anlec		-1	melee_cavalry	2	false	loupi_knights_of_anlec	120	0	1400	wh_main_shp_transport	1	1	60	1400	350	heavy		0	true	wh2_main_vo_culture_High_Elves	shock_cavalry	5	false	emp_reiksguard		false		1400.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	6	false	false		0.0000	true	1	false
loupi_knights_of_anlec_ror		1	melee_cavalry	1	false	loupi_knights_of_anlec_ror	120	1	1850	wh_main_shp_transport	1	1	60	1850	450	heavy		0	false	wh2_main_vo_culture_High_Elves	shock_cavalry	5	false	emp_reiksguard		false		1850.0000	0.0000	false	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	1	false	false		0.0000	true	1	true
loupi_mistwalkers		-1	missile_infantry	2	false	loupi_mistwalkers	160	0	1400	wh_main_shp_transport	1	1	80	1400	350	medium		0	true	wh2_main_vo_culture_High_Elves	wh2_main_hef_missile_infantry_bow_spear	4	false	wef_infantry_30_degrees		false		800.0000	600.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	5	false	false		0.0000	true	1	false
loupi_saphery_pegasus		-1	monstrous_cavalry	2	false	loupi_saphery_pegasus	48	0	1700	wh_main_shp_transport	1	1	24	1700	425	very_heavy		0	true	wh2_main_vo_culture_High_Elves	cavalry_flying_rare	5	false	emp_reiksguard		false		1700.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	3	false	false		0.0000	true	1	false
loupi_sea_ranger		-1	missile_infantry	1	false	loupi_sea_ranger	160	0	850	wh_main_shp_transport	1	1	80	850	212	medium		0	true	wh2_main_vo_culture_High_Elves	missile_infantry_bow	3	false	wef_infantry_30_degrees		false		600.0000	250.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	true	1	false
loupi_shadow_warrior_1		-1	missile_infantry	1	false	loupi_shadow_warrior_1	160	0	950	wh_main_shp_transport	1	1	80	950	237	medium		0	true	wh2_main_vo_culture_High_Elves	missile_infantry_bow	3	false	wef_infantry_30_degrees		false		400.0000	500.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	6	false	false		0.0000	true	1	false
loupi_shore_riders		-1	missile_cavalry	1	false	loupi_shore_riders	120	0	900	wh_main_shp_transport	1	1	60	900	225	heavy		0	true	wh2_main_vo_culture_High_Elves	missile_cavalry_bow	3	false	emp_reiksguard		false		900.0000	0.0000	false	vo_culture_None	false	wh2_main_vo_actor_High_Elves_Mounted	0	true	false	6	false	false		0.0000	true	1	false
loupi_silverin_ror		1	melee_infantry	1	false	loupi_silverin_ror	240	1	1250	wh_main_shp_transport	1	1	120	1250	312	medium		0	false	wh2_main_vo_culture_High_Elves	infantry_spear	4	false	wef_infantry_15_degrees		false		1250.0000	0.0000	false	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	1	false	false		0.0000	true	1	true
loupi_sisters_avelorn_ror		1	missile_infantry	1	false	loupi_sisters_avelorn_ror	80	1	1600	wh_main_shp_transport	1	1	40	1600	400	medium		0	false	wh2_main_vo_culture_High_Elves	missile_infantry_bow	5	false	hef_handmaidens_30		false		600.0000	1000.0000	true	vo_culture_None	true	wh2_dlc10_vo_actor_High_Elves_Sisters_of_Averlorn	0	true	false	1	false	false		0.0000	true	1	true
loupi_swordmaster_ror		1	melee_infantry	1	false	loupi_swordmaster_ror	120	1	1700	wh_main_shp_transport	1	1	60	1700	425	medium		0	false	wh2_main_vo_culture_High_Elves	infantry_sword_great	5	false	wef_infantry_15_degrees		false		1700.0000	0.0000	false	vo_culture_None	true	wh2_main_vo_actor_High_Elves_Infantry	0	true	false	1	false	false		0.0000	true	1	true
