unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_ovn_dread_king
Dread_King		-1	lord	1	false	Dread_King	1	0	950	wh_main_shp_transport	1	1	1	0	0	heavy		0	false	vo_culture_Tomb_Kings	lord_wizard_vampires	0	true	vamp_lord		true		950.0000	0.0000	true	vo_culture_None	true	ovn_vo_actor_Tomb_Kings_Dread_King	0	true	false	0	false	false		0.0000	false	1	false
Dread_King_barded_steed		-1	lord	1	false	Dread_King_barded_steed	1	0	1200	wh_main_shp_transport	1	1	1	0	0	heavy		0	false	vo_culture_Tomb_Kings	lord_wizard_vampires	0	true	vamp_lord	dread_skeletal_steed_hero	true		1200.0000	0.0000	true	vo_culture_None	true	ovn_vo_actor_Tomb_Kings_Dread_King	0	true	false	0	false	false		0.0000	false	1	false
Dread_King_pegasus		-1	lord	1	false	Dread_King_pegasus	1	0	1400	wh_main_shp_transport	1	1	1	0	0	heavy		0	false	vo_culture_Tomb_Kings	lord_wizard_vampires	0	true	vamp_lord	dread_skeletal_pegasus_hero	true		1400.0000	0.0000	true	vo_culture_None	true	ovn_vo_actor_Tomb_Kings_Dread_King	0	true	false	0	false	false		0.0000	false	1	false
Dread_King_zombie_dragon		-1	lord	1	false	Dread_King_zombie_dragon	1	0	2150	wh_main_shp_transport	1	1	1	0	0	heavy		0	false	vo_culture_Tomb_Kings	lord_wizard_vampires	0	true	vamp_lord	dread_king_zombie_dragon	true		2150.0000	0.0000	true	vo_culture_None	true	ovn_vo_actor_Tomb_Kings_Dread_King	0	true	false	0	false	false		0.0000	false	1	false
dread_cha_liche_high_priest_haptmose_0		-1	lord	1	false	dread_cha_liche_high_priest_haptmose_0	1	0	550	wh_main_shp_transport	1	1	1	0	0	medium		0	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_nehekhara	0	true	tmb_general		true		450.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	0	false	false		0.0000	false	1	false
dread_cha_liche_high_priest_haptmose_1		-1	lord	1	false	dread_cha_liche_high_priest_haptmose_1	1	0	750	wh_main_shp_transport	1	1	1	0	0	medium		0	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_nehekhara	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_skeletal_steed	true		550.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	0	false	false		0.0000	false	1	false
dread_cha_liche_high_priest_haptmose_2		-1	lord	1	false	dread_cha_liche_high_priest_haptmose_2	4	0	1000	wh_main_shp_transport	1	1	1	0	0	heavy		0	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_nehekhara	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_general_chariot	true		1000.0000	0.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	0	false	false		0.0000	false	1	false
dread_cha_liche_high_priest_haptmose_3		-1	lord	1	false	dread_cha_liche_high_priest_haptmose_3	1	0	1250	wh_main_shp_transport	1	1	1	0	0	heavy		0	false	wh2_dlc09_vo_culture_Tomb_Kings	lord_wizard_nehekhara	0	true	tmb_general	wh2_dlc09_cam_mnt_tmb_khatep_casket_of_souls	true		180.0000	1120.0000	true	vo_culture_None	true	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	0	true	false	0	false	false		0.0000	false	1	false
dread_cha_possessed_hero_beasts		-1	lord	1	false	dread_cha_possessed_hero_beasts	1	0	1150	wh_main_shp_transport	1	1	1	0	0	heavy		0	false	wh_main_vo_culture_Vampire	lord_wizard_beasts	0	true	chs_vilitch		true		1150.0000	0.0000	false	vo_culture_None	true	wh_main_vo_actor_Vampire_Banshee	0	true	false	0	false	false		0.0000	false	1	false
