unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_singe_units_wh_all
singe_bm_bestigor_shield		1	melee_infantry	1	false	singe_bm_bestigor_shield	200	0	1100	wh_main_shp_transport	1	1	100	0	0	heavy		0	true	wh_dlc03_vo_culture_Beastmen	infantry_axe	4	false	bst_gor_15		false		1100.0000	0.0000	false	vo_culture_None	false	wh_dlc03_vo_actor_Beastmen_Gor	0	true	false	6	false	false		0.0000	true	1	false
singe_bm_bestigor_spear		1	melee_infantry	1	false	singe_bm_bestigor_spear	200	0	1100	wh_main_shp_transport	1	1	100	0	0	heavy		0	true	wh_dlc03_vo_culture_Beastmen	infantry_spear	4	false	bst_gor_15		false		1100.0000	0.0000	false	vo_culture_None	false	wh_dlc03_vo_actor_Beastmen_Gor	0	true	false	6	false	false		0.0000	true	1	false
singe_bm_razorgor_behemoth		1	monster	1	false	singe_bm_razorgor_behemoth	1	0	1525	wh_main_shp_transport	1	1	1	0	0	very_heavy		0	true	wh_dlc03_vo_culture_Boar	wh_dlc03_bst_razorgor	4	true	bst_razorgor_herd		false		1600.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	6	false	false		0.0000	true	1	false
singe_bm_tuskgor_herd		2	monstrous_cavalry	1	false	singe_bm_tuskgor_herd	96	0	500	wh_main_shp_transport	1	1	48	0	0	heavy		0	true	wh_dlc03_vo_culture_Boar	wh_dlc03_bst_razorgor	4	false	bst_razorgor_herd		false		300.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
singe_bm_ungor_shard		-1	missile_infantry	1	false	singe_bm_ungor_shard	240	0	650	wh_main_shp_transport	1	1	160	0	0	light		0	true	wh_dlc03_vo_culture_Beastmen	missile_infantry_bow	2	false	bst_ungor_15		false		85.0000	450.0000	false	vo_culture_None	false	wh_dlc03_vo_actor_Beastmen_Ungor	0	true	false	6	false	false		0.0000	true	1	false
singe_bm_ungor_vile		-1	missile_infantry	1	false	singe_bm_ungor_vile	240	0	550	wh_main_shp_transport	1	1	160	0	0	light		0	true	wh_dlc03_vo_culture_Beastmen	missile_infantry_bow	2	false	bst_ungor_15		false		110.0000	450.0000	false	vo_culture_None	false	wh_dlc03_vo_actor_Beastmen_Ungor	0	true	false	6	false	false		0.0000	true	1	false
singe_bm_vile_manticore		1	monster	1	false	singe_bm_vile_manticore	1	0	1550	wh_main_shp_transport	1	1	1	0	0	heavy		0	true	wh_main_vo_culture_Manticore	dragon	4	true	bst_manticore		false		1450.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	3	false	false		0.0000	true	1	false
singe_brt_menpole_shield		-1	melee_infantry	1	false	singe_brt_menpole_shield	240	0	525	wh_main_shp_transport	1	1	120	525	130	medium		0	true	wh_main_vo_culture_Bretonnian	infantry_spear_halberd	3	false	emp_soldier_15_degrees		false		550.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	0	false	false		0.0000	true	1	false
singe_brt_serjeant_polearm		-1	melee_infantry	1	false	singe_brt_serjeant_polearm	240	0	700	wh_main_shp_transport	1	1	120	700	175	medium		0	true	wh_main_vo_culture_Bretonnian	infantry_spear_halberd	3	false	emp_soldier_15_degrees		false		700.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	6	false	false		0.0000	true	1	false
singe_brt_serjeant_shield		-1	melee_infantry	1	false	singe_brt_serjeant_shield	240	0	700	wh_main_shp_transport	1	1	120	700	175	medium		0	true	wh_main_vo_culture_Bretonnian	infantry_sword	3	false	emp_soldier_15_degrees		false		700.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	6	false	false		0.0000	true	1	false
singe_brt_serjeant_sword		-1	melee_infantry	1	false	singe_brt_serjeant_sword	240	0	700	wh_main_shp_transport	1	1	120	700	175	medium		0	true	wh_main_vo_culture_Bretonnian	infantry_sword_great	3	false	emp_soldier_15_degrees		false		700.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Infantry	0	true	false	6	false	false		0.0000	true	1	false
singe_brt_unicorn_knights	wh_main_brt_worship_3	3	melee_cavalry	2	false	singe_brt_unicorn_knights	32	0	1800	wh_main_shp_transport	1	1	60	1800	475	very_heavy		0	true	wh_main_vo_culture_Bretonnian	shock_cavalry	4	false	emp_reiksguard		false		1500.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Knight	0	true	false	6	false	false		0.0000	true	1	false
singe_brt_yeomen_flame		-1	missile_cavalry	1	false	singe_brt_yeomen_flame	120	0	650	wh_main_shp_transport	1	1	60	700	145	medium		0	true	wh_main_vo_culture_Bretonnian	missile_cavalry_bow	2	false	emp_reiksguard		false		44.0000	396.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Mounted	0	true	false	5	false	false		0.0000	true	1	false
singe_brt_yeomen_pox		-1	missile_cavalry	1	false	singe_brt_yeomen_pox	120	0	600	wh_main_shp_transport	1	1	60	650	135	medium		0	true	wh_main_vo_culture_Bretonnian	missile_cavalry_bow	2	false	emp_reiksguard		false		44.0000	396.0000	false	vo_culture_None	false	wh_main_vo_actor_Bretonnian_Mounted	0	true	false	5	false	false		0.0000	true	1	false
singe_chd_infernal_bazuka		-1	missile_infantry	1	false	singe_chd_infernal_bazuka	56	0	900	wh_main_shp_transport	1	1	28	900	225	very_heavy		0	true	wh3_dlc23_vo_culture_Chaos_Dwarfs	dwf_irondrakes_torpedo	3	false	dwf_warrior_15_degrees		false		100.0000	900.0000	false	vo_culture_None	false	wh3_dlc23_vo_actor_Chaos_Dwarf_Units	0	true	false	6	false	false		0.0000	true	1	false
singe_chd_infernal_magma		-1	missile_infantry	1	false	singe_chd_infernal_magma	56	0	700	wh_main_shp_transport	1	1	28	700	175	very_heavy		0	true	wh3_dlc23_vo_culture_Chaos_Dwarfs	dwf_irondrakes	3	false	dwf_warrior_15_degrees		false		90.0000	810.0000	false	vo_culture_None	false	wh3_dlc23_vo_actor_Chaos_Dwarf_Units	0	true	false	6	false	false		0.0000	true	1	false
singe_chd_rifles		-1	missile_infantry	1	false	singe_chd_rifles	160	0	700	wh_main_shp_transport	1	1	80	700	175	heavy		0	true	wh3_dlc23_vo_culture_Chaos_Dwarfs	missile_infantry_rifle	2	false	dwf_warrior_45_degrees		false		210.0000	490.0000	false	vo_culture_None	false	wh3_dlc23_vo_actor_Chaos_Dwarf_Units	0	true	false	6	false	false		0.0000	true	1	false
