unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_str_plague_knights
nrg_jabber		-1	monster	2	false	nrg_jabber	1	0	2050	wh_main_shp_transport	1	1	1	1900	475	very_heavy		0	false	wh2_dlc17_vo_culture_Jabberslythe	wh2_dlc17_bst_jabberslythe	3	true	bst_jabberslythe		true		1700.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	3	false	false		0.0000	true	1	true
pk_plague_blightking		-1	melee_infantry	2	false	pk_plague_blightking	32	0	2000	wh_main_shp_transport	1	1	16	3900	325	very_heavy		0	true	wh3_main_vo_culture_Nurgle	wh2_main_skv_infantry_sword_stormvermin	2	false	kho_warriors		false		2000.0000	0.0000	true	vo_culture_None	false	wh3_main_vo_actor_Nurgle_Cultist_Of_Nurgle	0	true	false	6	false	false		0.0000	true	1	false
pk_plague_brethren		-1	melee_infantry	1	false	pk_plague_brethren	240	0	450	wh_main_shp_transport	1	1	120	900	112	heavy		0	true	wh_main_vo_culture_Chaos	infantry_axe_dual	1	false	chaos_warrior_30_degrees		false		450.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_Chaos_Marauder_Javelin	0	true	false	6	false	false		0.0000	true	1	false
pk_plague_halberds		-1	melee_infantry	1	false	pk_plague_halberds	200	0	900	wh_main_shp_transport	1	1	100	1700	212	heavy		0	true	wh3_main_vo_culture_Nurgle	infantry_spear_halberd	2	false	kho_warriors		false		900.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Nurgle_Cultist_Of_Nurgle	0	true	false	6	false	false		0.0000	true	1	false
pk_plague_halberds_ror		1	melee_infantry	1	false	pk_plague_halberds_ror	200	1	1250	wh_main_shp_transport	1	1	100	1700	212	heavy		0	true	wh3_main_vo_culture_Nurgle	infantry_spear_halberd	2	false	kho_warriors		false		900.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Nurgle_Cultist_Of_Nurgle	0	true	false	1	false	false		0.0000	true	1	true
pk_plague_knights		-1	melee_cavalry	2	false	pk_plague_knights	120	0	1450	wh_main_shp_transport	1	1	60	2900	362	heavy		0	true	wh3_main_vo_culture_Nurgle	cavalry	3	false	emp_reiksguard		false		1450.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Nurgle_Cultist_Of_Nurgle	0	true	false	6	false	false		0.0000	true	1	false
pk_plague_knights_ror		1	melee_cavalry	2	false	pk_plague_knights_ror	120	1	1950	wh_main_shp_transport	1	1	60	2900	362	heavy		0	true	wh3_main_vo_culture_Nurgle	cavalry	3	false	emp_reiksguard		false		1450.0000	0.0000	false	vo_culture_None	true	wh3_main_vo_actor_Nurgle_Cultist_Of_Nurgle	0	true	false	1	false	false		0.0000	true	1	true
pk_plague_ogres		-1	monstrous_infantry	2	false	pk_plague_ogres	48	0	950	wh_main_shp_transport	1	1	16	1900	275	very_heavy		0	true	wh3_main_vo_culture_Nurgle	wh3_main_ogr_monstrous_great_weapons	2	false	ogre_infantry		false		950.0000	0.0000	true	vo_culture_None	false	wh3_main_vo_actor_Ogres_Ogreunit	0	true	false	6	false	false		0.0000	true	1	false
pk_plague_ogres_dw		-1	monstrous_infantry	1	false	pk_plague_ogres_dw	48	0	600	wh_main_shp_transport	1	1	16	1200	150	very_heavy		0	true	wh3_main_vo_culture_Nurgle	wh3_main_ogr_monstrous_dual_weapons	2	false	ogre_infantry		false		600.0000	0.0000	true	vo_culture_None	false	wh3_main_vo_actor_Ogres_Ogreunit	0	true	false	6	false	false		0.0000	true	1	false
