unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/!!!!!!!2xunitsize_compat_thm_gnomes
hilldwf_badger_hounds		-1	war_beast	1	false	hilldwf_badger_hounds	96	0	650	wh_main_shp_transport	1	1	40	650	163	medium		0	true	wh_main_vo_culture_Dire_Wolves_WarHound	war_beast	3	false	vamp_dire_wolf		false		650.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
hilldwf_boar_hero_hammer		2	monstrous_cavalry	1	false	hilldwf_boar_hero_hammer	1	0	600	wh_main_shp_transport	1	1	32	0	0	heavy		0	true	wh_dlc03_vo_culture_Boar	wh_dlc03_bst_razorgor	1	false	bst_razorgor_herd		false		550.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
hilldwf_gnome_badger_riders		-1	melee_cavalry	1	false	hilldwf_gnome_badger_riders	160	0	300	wh_main_shp_transport	1	1	80	300	75	light		0	true	wh_main_vo_culture_Dire_Wolves_WarHound	hilldwf_gnome_badger_riders	1	false	grn_goblin_wolf_rider		false		300.0000	0.0000	false	vo_culture_None	false	wh2_dlc15_vo_actor_Snotling_Pumpwagon	0	true	false	6	false	false		0.0000	true	1	false
hilldwf_gnome_caster_grey_0		-1	hero	1	false	hilldwf_gnome_caster_grey_0	1	0	450	wh_main_shp_transport	1	1	1	1000	250	light		0	false	wh_main_vo_culture_Empire	wizard_shadows	0	true	grn_goblin_15_degrees		true		450.0000	0.0000	false	vo_culture_None	true	wh_dlc05_vo_actor_Empire_GreyWizard	0	true	false	0	false	false		0.0000	true	1	false
hilldwf_gnome_caster_grey_1		-1	hero	1	false	hilldwf_gnome_caster_grey_1	1	0	650	wh_main_shp_transport	1	1	1	1100	275	light		0	false	wh_main_vo_culture_Empire	wizard_shadows_cavalry	0	true	grn_goblin_15_degrees	hilldwf_gnome_badger_mount	true		650.0000	0.0000	false	vo_culture_None	true	wh_dlc05_vo_actor_Empire_GreyWizard	0	true	false	0	false	false		0.0000	true	1	false
hilldwf_gnome_caster_life_0		-1	hero	1	false	hilldwf_gnome_caster_life_0	1	0	450	wh_main_shp_transport	1	1	1	1000	250	light		0	false	wh_main_vo_culture_Empire	wizard_life	0	true	grn_goblin_15_degrees		true		450.0000	0.0000	false	vo_culture_None	true	wh_dlc05_vo_actor_Empire_JadeWizard	0	true	false	0	false	false		0.0000	true	1	false
hilldwf_gnome_caster_life_1		-1	hero	1	false	hilldwf_gnome_caster_life_1	1	0	650	wh_main_shp_transport	1	1	1	1100	275	light		0	false	wh_main_vo_culture_Empire	wizard_life_cavalry	0	true	grn_goblin_15_degrees	hilldwf_gnome_fox_mount	true		650.0000	0.0000	false	vo_culture_None	true	wh_dlc05_vo_actor_Empire_JadeWizard	0	true	false	0	false	false		0.0000	true	1	false
hilldwf_gnome_fox_riders		-1	missile_cavalry	1	false	hilldwf_gnome_fox_riders	160	0	400	wh_main_shp_transport	1	1	80	400	100	light		0	true	wh_main_vo_culture_Dire_Wolves_WarHound	hilldwf_gnome_fox_riders	1	false	grn_goblin_wolf_rider		false		100.0000	300.0000	false	vo_culture_None	false	wh2_dlc15_vo_actor_Snotling_Pumpwagon	0	true	false	5	false	false		0.0000	true	1	false
hilldwf_gnome_lord		-1	lord	1	false	hilldwf_gnome_lord	1	0	450	wh_main_shp_transport	1	1	1	1000	250	light		0	false	wh_main_vo_culture_Empire	wizard_shadows	0	true	grn_goblin_15_degrees		true		450.0000	0.0000	false	vo_culture_None	true	wh_dlc05_vo_actor_Empire_GreyWizard	0	true	false	0	false	false		0.0000	true	1	false
hilldwf_gnome_lord_fox		-1	war_beast	1	false	hilldwf_gnome_lord_fox	1	0	400	wh_main_shp_transport	1	1	80	0	0	heavy		0	true	wh_main_vo_culture_Dire_Wolves_WarHound	war_beast	1	false	vamp_dire_wolf		false		400.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
hilldwf_gnome_lord_fox_decoy		-1	war_beast	1	false	hilldwf_gnome_lord_fox_decoy	1	0	400	wh_main_shp_transport	1	1	80	0	0	heavy		0	true	wh_main_vo_culture_Dire_Wolves_WarHound	war_beast	1	false	vamp_dire_wolf		false		400.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
hilldwf_gnome_lord_molebear		-1	war_beast	1	false	hilldwf_gnome_lord_molebear	1	0	850	wh_main_shp_transport	1	1	16	850	213	medium		0	false	wh3_main_vo_culture_Kislev	wh3_main_monster_feral_bear	2	false	ksl_war_bear_riders		false		650.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	0	false	false		0.0000	true	1	false
hilldwf_gnome_lord_owl		-1	monster	1	false	hilldwf_gnome_lord_owl	1	0	800	wh_main_shp_transport	1	1	1	800	200	heavy		0	true	wh_main_vo_culture_Eagle	wh_dlc05_wef_great_eagle	2	true	hef_great_eagle		true		800.0000	0.0000	false	wh2_main_vo_culture_High_Elves	false	wh_main_vo_actor_default	0	false	true	3	false	false		0.0000	true	1	false
hilldwf_gnome_lord_toad		-1	monster	1	false	hilldwf_gnome_lord_toad	1	0	650	wh_main_shp_transport	1	1	24	650	162	heavy		0	true	wh3_main_vo_culture_Plague_Toad	thm_gnomes_toads_ranged	2	false	nur_plague_toads		false		650.0000	0.0000	false	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true	1	false
hilldwf_gnome_rabble		-1	melee_infantry	1	false	hilldwf_gnome_rabble	240	0	500	wh_main_shp_transport	1	1	120	500	120	light		0	true	wh_main_vo_culture_Goblin	hilldwf_gnome_rabble	1	false	grn_goblin_45_degrees		false		400.0000	0.0000	false	vo_culture_None	false	wh2_dlc15_vo_actor_Snotling_Pumpwagon	0	true	false	6	false	false		1300.0000	true	1	false
hilldwf_highland_cow_riders		-1	monstrous_cavalry	1	false	hilldwf_highland_cow_riders	1	0	1600	wh_main_shp_transport	1	1	1	1000	250	heavy		0	false	wh3_dlc23_vo_culture_Chaos_Dwarfs	lord_infantry_axe	0	true	dwf_warrior_15_degrees	wh3_dlc23_cam_mnt_great_taurus	true		1600.0000	0.0000	true	vo_culture_None	true	wh3_dlc23_vo_actor_Chaos_Dwarf_Overseer	0	true	true	0	false	false		0.0000	false	1	false
