key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!2xunitsize_compat_!ak_kraka
kraka_braves	0	10	26	10	1.0000	axe	axe		1	0.3000	10.0000	0.0000	false		0	10	4.3000		false
kraka_cromson_drakken	0	15	63	88	3.0000	axe	unarmed	very_large	4	1.0000	1.2500	0.0000	true		3	2	4.0000		false
kraka_huskarls	5	0	15	43	1.0000	axe	axe		1	1.0000	10.0000	0.0000	true		0	10	4.3000		false
kraka_ror_berserkers	0	10	28	12	1.0000	axe	axe		1	0.3000	10.0000	0.0000	false		0	10	4.3000		false
kraka_ror_crimsonbane	0	0	15	16	1.0000	axe	axe		1	1.0000	10.0000	5.0000	true		1	10	4.0000		false
kraka_ror_losturk	0	0	36	9	1.0000	axe	axe		1	1.0000	10.0000	0.0000	true	kraka_contact_losturk	0	10	4.3000		false
kraka_ror_stoneguard	0	0	8	28	1.0000	axe	axe		1	1.0000	10.0000	0.0000	true	kraka_contact_dismay	0	10	4.3000		false
kraka_rust	0	0	36	9	1.0000	axe	axe		1	1.0000	10.0000	0.0000	false		0	10	4.3000		false
kraka_stormbeards	0	0	24	7	1.0000	axe	axe		1	1.0000	10.0000	0.0000	false		1	10	4.3000		false
kraka_trollsearers	10	0	7	23	1.0000	axe	axe		1	1.0000	10.0000	5.0000	true	wh_main_unit_contact_poison	0	10	4.3000		false
kraka_wardbearers	0	0	23	10	1.0000	axe	axe		1	1.0000	10.0000	0.0000	false		0	10	4.3000		false
kraka_wardlord	0	0	260	140	1.0000	axe	axe	medium	8	1.0000	150.0000	0.0000	false		0	10	4.0000		false
