key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!2xunitsize_compat_singe_units_wh_all
singe_ancient_razordon_claw	0	0	90	275	7.0000	axe	creatures_claws	large	5	1.0000	1.0000	0.0000	false		0	10	3.6000		false
singe_armour_halberd	18	0	8	20	1.0000	spear	halberd		1	1.0000	1.0000	0.0000	false		0	10	5.5000		false
singe_armour_spear	22	0	18	9	1.0000	spear	spear		1	1.0000	1.0000	0.0000	false		0	10	4.4000		false
singe_armour_sword	0	4	20	10	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	3.8000		false
singe_bestigor_axe	0	8	26	8	1.0000	axe	axe		1	1.0000	1.0000	0.0000	false		0	10	4.4000		false
singe_bestigor_spear	24	0	18	10	2.0000	spear	spear		1	1.0000	1.0000	0.0000	false		0	10	4.3000		false
singe_blood_onesword	0	0	38	18	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.3000		false
singe_blood_twosword	0	8	44	14	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.3000		false
singe_bm_razorgor_behemoth	0	0	160	350	3.0000	sword	creatures_claws	very_large	14	1.4000	1.0000	0.0000	false		6	3	4.0000		false
singe_celestial_lance	4	0	15	27	2.0000	lance	spear		1	1.0000	0.7500	0.0000	false		0	10	3.9000		false
singe_celestial_sword	0	6	12	24	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.0000		false
singe_chaos_bear_halberd	26	0	33	77	2.0000	axe	axe	medium	3	1.0000	0.7500	0.0000	true		0	10	4.0000		false
singe_chosen_dual	0	10	33	11	1.0000	axe	axe		1	1.0000	1.0000	0.0000	false		0	10	1.6000		false
singe_chosen_knight_sword	0	0	20	40	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	3.8000		false
singe_coldone_axe	0	0	25	14	1.0000	axe	axe		1	1.0000	1.0000	0.0000	false		0	10	3.0000		false
singe_cth_celestial_ox_horns	0	0	110	300	7.0000	axe	creatures_claws	large	6	1.5000	0.7500	1.0000	true		0	10	3.8000		false
singe_cult_blades	0	5	31	13	1.0000	sword	sword		1	1.0000	1.2500	0.0000	false	wh_main_unit_contact_poison	0	10	4.0000		false
singe_cult_sword	0	0	21	7	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.3000		false
singe_darkpegasi_lance	0	0	20	14	2.0000	lance	spear		4	1.0000	1.0000	0.0000	false		0	10	4.5000		false
singe_deck_snatcher_claw	0	12	56	22	2.0000	sword	creatures_claws	medium	3	1.0000	1.0000	0.0000	false		0	10	4.0000		false
singe_def_harridan_sword	0	12	36	26	1.0000	sword	sword	medium	3	1.0000	1.0000	0.0000	false	wh_main_unit_contact_poison	0	10	4.6000		false
singe_depth_halberdclaw	30	0	30	68	2.0000	axe	creatures_claws	medium	5	1.0000	1.0000	0.0000	false		0	10	3.8000		false
singe_depth_oneaxe	0	0	36	14	1.0000	axe	axe		1	1.0000	1.0000	0.0000	false		0	10	3.8000		false
singe_dragon_bite	0	0	140	380	8.0000	axe	creatures_claws	large	6	1.0000	1.0000	0.0000	false		0	3	3.8000		false
singe_dragon_sword	0	0	12	23	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.3000		false
singe_dread_lance	4	0	21	14	2.0000	lance	spear		1	1.0000	1.0000	0.0000	false		0	10	4.3000		false
singe_elf_sword	0	0	20	7	1.0000	sword	sword		1	1.0000	1.0000	0.0000	false		0	10	4.3000		false
singe_exalted_fiend_tongue	0	0	120	340	6.0000	axe	creatures_claws	medium	4	1.0000	1.2500	0.0000	true	wh3_main_unit_contact_soporific_musk	0	10	4.0000		false
singe_exalted_screamer	35	0	90	207	4.0000	sword	creatures_claws	medium	4	1.0000	1.0000	0.0000	true		0	10	4.0000		false
