key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!!_sartosa_overhaul
cathay_pirate_crossbow	false	cathay_pirate_crossbow_bolt	crossbow	false
sartosa_benny_blunderbuss	false	sartosa_benny_blunderbuss	pistol	false
sartosa_buccaneer_blunderbuss	false	sartosa_blunderbuss_bullet	hand_cannon	false
sartosa_buccaneer_deck_gun	false	sartosa_buccaneer_deck_gun_bullet	repeater_rifle	false
sartosa_buccaneer_deck_gun_ror	false	sartosa_buccaneer_deck_gun_bullet_ror	orgun_gun	false
sartosa_buccaneer_drakegun	false	sartosa_buccaneer_drakegun_flame	drakegun	false
sartosa_buccaneer_grenade	true	wh2_dlc11_cst_bomb	none	false
sartosa_buccaneer_handcannon	false	sartosa_buccaneer_handcannon_bullet	hand_cannon	false
sartosa_buccaneer_handcannon_ror	false	sartosa_buccaneer_handcannon_bullet_ror	hand_cannon	false
sartosa_buccaneer_torpedo	false	sartosa_buccaneer_torpedo	troll_hammer	false
sartosa_depth_guard_jenny_ror_pistol	false	sartosa_depth_guard_jenny_ror_bullet	pistol	false
sartosa_dwarf_powder_cook_blunderbuss	false	sartosa_dwarf_powder_cook_blunderbuss	repeater_gun_LH	false
sartosa_dwarf_powder_cook_deck_gun	false	sartosa_dwarf_powder_cook_deck_gun_bullet	repeater_rifle	false
sartosa_dwarf_powder_cook_flamethrower	false	sartosa_dwarf_powder_cook_flame	drakegun	false
sartosa_dwarf_powder_cook_rifle	false	sartosa_dwarf_powder_cook_rifle_bullet	repeater_gun_LH	false
sartosa_fleet_admiral_pistol	false	sartosa_sartosa_fleet_admiral_pistol_bullet	pistol	false
sartosa_fleet_admiral_rifle	false	sartosa_fleet_admiral_rifle_bullet	repeater_gun_LH	false
sartosa_fleet_admiral_rifle_davey	false	sartosa_fleet_admiral_rifle_bullet_davey	repeater_gun_LH	false
sartosa_fleet_captain_pistol	false	sartosa_fleet_captain_pistol_bullet	pistol	false
sartosa_handgun	false	sartosa_rifle_bullet	repeater_gun	false
sartosa_handgun_ror	false	sartosa_rifle_bullet_ror	repeater_gun	false
sartosa_privateer_captain_rifle	false	sartosa_privateer_captain_rifle_bullet	repeater_gun_LH	false
sartosa_privateer_pistol	false	sartosa_privateer_bullet	pistol	false
sartosa_privateer_ror_handgun	false	sartosa_privateer_bullet_ror	repeater_gun_LH	false
sartosa_rifle_promethean_bullet	false	sartosa_rifle_promethean_bullet	repeater_gun_LH	false
sartosa_saboteur_handcannon	false	sartosa_saboteur_bomb	hand_cannon	false
sartosa_smuggler_pistol_ror	false	sartosa_smuggler_bullet_ror	pistol	false
sartosa_whaler_javelin	true	sartosa_whaler_javelin	none	false
