key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!kitties
bola_tiga	false	bola_tiga	globe	false
bombp_hyena	false	bombp_hyena	globe	false
chakram_tiga	false	chakram_tiga	javelin	false
commandertiga_missile	false	commandertiga_projectile	bow_large	false
cthcommander_bomb	true	cthcommander_bomb	globe	false
dagger_hyena	false	dagger_hyena	javelin	false
gorilla_bomb	false	gorilla_bomb	globe	false
herostar_jag	false	herostar_jag	javelin	false
hyenacaster_bomb	false	hyenacaster_bomb	wh2_dlc14_medusa_gaze	false
hyenaharpoon_missle	false	hyenaharpoon_projectile	bow_large	false
hyenaskull_bone	true	hyenaskull_bone	javelin	false
javelin_tiga	false	javelin_tiga	javelin	false
kitty_missile	false	kitty_projectile	bow_large	false
leo_arrow	false	leo_arrow	bow_large	false
shieldtiga_missile	false	shieldtiga_projectile	bow_large	false
sling_hyena	false	sling_hyena	javelin	false
star_jag	false	star_jag	javelin	false
sumata_bolt	false	sumata_bolt	wh2_dlc14_medusa_gaze	false
