key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/!!!!!!!2xunitsize_compat_!!!!!!Champions_of_undeath_merged_fun_tyme
abyssal_terror	hu10e_abyssal_terror	wh3_main_dae_cha_daemon_prince_generic	body	abyssal_terror_vmd	wh_main_vo_culture_Dragon_Large
anark_skeletal_griffon	bc2_dust_grif	mikael_skeletal_hippo	plate	vmp_imperial_griffon_vmd	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
aspirant_hellsteed	hr1_pegasus	blood_dragon_helsteed_mount	body	wh_vmp_hellsteed	wh_main_vo_culture_Skeletal_horse
barney_hef_bear	be1_wh3_warbear	wh3_main_ksl_cav_war_bear_hero	plate	bm_wf_hef_bear_vmd	wh_main_vo_culture_Kislev
bkc_ror_steed	hr1_oathbound_steed_large_heavy	bkc_ror_horse	heavy_plate	bkc_ror_steed_vmd	wh_main_vo_culture_Skeletal_horse
bkc_stahl_steed	hr1_rabe_von_stahl_large_legandary_warhorse	bkc_stahl_horse	heavy_plate	bkc_rabe_von_stahl_steed_vmd	wh_main_vo_culture_Skeletal_horse
black_grail_hippo_1	bc2b_hippogryph	black_grail_hippo	heavy_plate	black_grail_ghost_hippogryh_1	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
black_grail_steed	hr1_black_grail_knight_heavy_warhorse	black_grail_steed	heavy_plate	black_grail_steed	wh_dlc02_vmp_blood_knights_steed
blood_dragon_phantom_steed	hr1_blood_dragon_phantom_large_heavy_horse	blood_dragon_phantom_steed	heavy_plate	blood_dragon_phantom_steed_vmd	wh_dlc02_vmp_blood_knights_steed
blood_dragon_zombie_dragon_mount_2	blood_dragon_lord_zombie_dragon_mount	wh_main_flying_dragon_blood	body	blood_dragon_zombie_dragon_mount_2	wh_main_vo_culture_Dragon_Large
blood_knight_champ_steed	hr1_blood_knight_heavy_warhorse	blood_dragon_champ_steed	heavy_plate	blood_knight_champ_steed	wh_main_vo_culture_Horse
blood_knight_champ_steed_1	hr1_warhorse	bg_lord_mount	heavy_plate	wh_dlc02_vmp_blood_knights_steed	wh_main_vo_culture_Horse
blood_knight_glaive_rider_hellsteed	hr1_pegasus	blood_dragon_helsteed_mount	plate	blood_knight_glaive_rider_hellsteed	wh_main_vo_culture_Pegasus
bm_aspriant_thrall_steed	hr1_warhorse	blood_dragon_steed	plate	wh_vmp_barded_nightmare	wh_main_vo_culture_Skeletal_horse
bm_blood_keep_steed	hr1_warhorse	blood_dragon_steed	plate	wh_dlc02_vmp_blood_knights_steed	wh_main_vo_culture_Skeletal_horse
bm_wf_kolsveinn_mnt_bloodfather_warshrine	kol_warshrine	wh_dlc08_nor_mon_mammoth_warshrine_blood	heavy_plate	bm_wf_kol_mnt_bloodfather_warshrine	vo_culture_Invalid
bm_wf_kolsveinn_mnt_hrothgarr_valtyrsgandr	valtyrsgandr	valtyrsgandr	body	bm_wf_mnt_valtyrsgandr	vo_culture_Invalid
bm_wf_kolsveinn_mnt_marauder_chieftain_hound_war_mammoth	kol_warshrine	wh_dlc08_nor_mon_mammoth_warshrine_blood	heavy_plate	bm_wf_mnt_chieftain_hound_war_mammoth	vo_culture_Invalid
bm_wf_kolsveinn_mnt_valfarr_warbear	be1_wh3_warbear	okku	heavy_plate	bm_wf_mnt_okku	vo_culture_Invalid
