key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/!!!!!!!2xunitsize_compat_!scm_legendary
cr_sla_mnt_slaanesh_serpent_lord	sn1_serpent_of_slaanesh	cr_sla_cav_slaanesh_serpent_lord	body	cr_sla_slaanesh_serpent_lord	vo_culture_None
dmitri_bear	be1_wh3_warbear_katarin	wh3_main_ksl_cav_war_bear_hero	plate	dead_ksl_dmitri_tzaryov_bear	wh_main_vo_culture_Kislev
dmitri_horse	hr1_wh3_dlc20_large_generic_lord_heavy_horse	wh3_main_ksl_mnt_barded_horse_hero	plate	wh3_main_ksl_horse_heavy	wh_main_vo_culture_Horse
frob_grn_mnt_g_war_boar	bo1_warboar	wh_main_grn_cav_boar_hero_blood	leather	frob_gorbad_ironclaw_war_boar	wh_dlc03_vo_culture_Boar
hkrul_gunter_cam_horse  	hr1_warhorse	wh_main_cavalry_slow_hero_blood	plate	hkrul_gunter_cam_horse  	wh_main_vo_culture_Horse
hunt_dwf_mnt_shieldbearers_alrik	th1_dwarf_shieldbearers	hunt_dwf_veh_shieldbearers_blood	plate	hunt_dwf_shieldbearers_alrik	wh_main_vo_culture_Dwarf
kd_kratch_doomclaw_bonebreaker	hu18_dlc16_mutant_rat_ogre	wh2_dlc16_skv_monster_rat_ogre_mutant_blood	body	kd_kratch_doomclaw_bonebreaker	wh2_main_vo_culture_Skaven
kho_mnt_juggernaut_skulltaker	hq4_wh3_juggernaut	wh3_main_kho_mnt_juggernaut_skulltaker	plate	kho_mnt_juggernaut_skulltaker	vo_culture_Invalid
kou_aurelion_ll_chariot	bc4_dlc15_lion_draught	wh2_dlc15_hef_mon_war_lion	body	wh2_dlc15_hef_war_lion_draught	wh_main_vo_culture_Var_Creature
kou_aurelion_ll_griffon	bc2_griffon	wh_main_flying_griffon_blood	plate	wh2_dlc15_hef_griffon	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
kou_elf_wolf_mount	wolf_mount_elf_kou	kou_elf_wolf_mount	leather	kou_elf_wolf_mount	wh_main_vo_culture_Wolf
kou_meadow_chariot_deers_ror	st1_dlc16_great_stag	kou_meadow_chariot_stags	body	kou_meadow_chariot_deers_ror	wh_main_vo_culture_Horse
kou_queen_marrisith_rider	hu21_treeman	kou_treeman	body	kou_treeman	wh_dlc05_vo_culture_Tree
kou_queen_marrisith_royal_stags	st1_dlc16_great_stag	wh2_dlc16_wef_cav_great_stag_blood	plate	kou_stag_chariot_stag	wh_dlc05_vo_culture_Wood_Elves
kou_razordon_mount	kou_zlatgar_mount	kou_razordon_mount	body	kou_razordon_mount_variant	wh2_dlc13_vo_culture_Razordon
kou_skaw_lh	skaw_kou	wh_dlc05_wef_cha_inf_glade_lord_blood	leather	kou_skaw_lh	vo_sel_default
kou_talarian_horse	hr1_warhorse	wh2_main_hef_mnt_barded_steed_hero	plate	wh2_main_hef_barded_steed	wh_main_vo_culture_Horse
kou_talarian_phoenix	bi1_dlc15_phoenix	wh2_dlc15_hef_mon_arcane_phoenix_0	body	kou_talarian_phoenix	wh2_main_vo_culture_Phoenix
nom_galifreius_great_eagle	bi1_eagle	nom_galifreius_great_eagle	body	nom_galifreius_great_eagle	wh_main_vo_culture_Eagle
nom_maladhros	hr1_warhorse	nom_maladhros	plate	nom_maladhros	wh_main_vo_culture_Horse
pk_plague_epidemius_mount	pl1_epidimius_nurgle_palanquin_01	wh3_main_nur_nurgling_palanquin	leather	pk_plague_epidemius_palanquin	vo_culture_Invalid
str_abrax_mount	hr1_chaos_steed	wh3_main_cavalry_chaos_steed_abrax_blood	plate	str_abrax_mount	wh_main_vo_culture_Horse
str_gnawdwell_chariot	hu18_rat_ogre_claws	wh2_main_skv_monster_bonebreaker	body	wh2_dlc16_skv_rat_ogre_ror	wh2_main_vo_culture_Skaven
