key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/!!!!!!!2xunitsize_compat_!scm_marienburg
hkrul_egmond_horse	hr1_warhorse	wh_main_cavalry_slow_hero_blood	plate	mrg_egmond_warhorse_armoured	wh_main_vo_culture_Horse
hkrul_egmond_longma	hr1_pegasus	wh_main_flying_pegasus_hero_blood	leather	mrg_egmond_logma	wh_main_vo_culture_Pegasus
hkrul_jk_mount_barded_warhorse	hr1_warhorse	wh3_main_ksl_mnt_barded_horse_hero	leather	hkrul_jk_horse	wh_main_vo_culture_Horse
hkrul_manann_barded_warhorse	hr1_warhorse	wh_main_cavalry_slow_hero_blood	plate	hkrul_manann_barded_warhorse	wh_main_vo_culture_Horse
hkrul_manann_griffon	bc2_griffon	wh_main_flying_griffon_blood	plate	hkrul_manann_griffon	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
hkrul_mar_commander_horse	hr1_warhorse	wh_main_cavalry_slow_hero_blood	plate	mrg_merchant_warhorse_armoured	wh_main_vo_culture_Horse
hkrul_mar_knights_cleansing_flame	hr1_warhorse	wh_main_cavalry_slow_blood	plate	hkrul_mar_knights_cleansing_flame	wh_main_vo_culture_Horse
hkrul_mar_mnt_knights_griffon	bc2_griffon	wh_main_flying_griffon_blood	plate	hkrul_mar_mnt_knights_griffon	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
hkrul_mar_munvard_mount	bi2_terrorgheist	wh_main_flying_terrorgheist_blood	bone	hkrul_mar_munvard_mount	wh_main_vo_culture_Terrorgheist
hkrul_solkan_horse	hr1_warhorse	wh_main_cavalry_slow_hero_blood	plate	hkrul_solkan_horse	wh_main_vo_culture_Horse
ovn_mar_mnt_sons_of_manann_warhorse	hr1_warhorse	wh_main_cavalry_slow_blood	plate	hkrul_mar_sons_of_manann_warhorse	wh_main_vo_culture_Horse
ovn_mar_warhorse_armoured_war_altar_of_manann	hr1_warhorse_draught	wh_main_emp_luminark_war_altar_draught_blood	plate	ovn_mar_warhorse_armoured_war_altar_of_manann	wh_main_vo_culture_Horse
wh_main_emp_mnt_warhorse_barded_hero	hr1_warhorse	wh_main_cavalry_slow_hero_blood	plate	wh_emp_warhorse_armoured	wh_main_vo_culture_Horse
