key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/!!!!!!!2xunitsize_compat_The_Gunpowder_Road2.
cth_juma_zhendi	cth_juma	cth_juma_zhendi	leather	cth_juma_zhendi	vo_culture_Invalid
cth_mnt_juma	cth_juma	wh3_main_cth_juma	leather	wh3_main_cth_juma	vo_culture_Invalid
cth_mnt_juma_dunpai	cth_juma	wh3_main_cth_jumadun	leather	wh3_main_cth_juma_dunpai	vo_culture_Invalid
cth_mnt_juma_mu	cth_juma	wh3_main_cth_juma	leather	wh3_main_cth_juma_mu	vo_culture_Invalid
cth_mnt_murenhuoma	cth_mnt_murenhuoma	cth_mnt_murenhuoma	leather	cth_mnt_murenhuoma	wh_main_vo_culture_Horse
cth_ogre_ironfist_mount	hu13_ogre_ironfist_mount	wh3_main_ogr_monster_ogre_maneater_blood	leather	cth_ogr_mount	vo_culture_Invalid
wh3_main_cth_mnt_oxen_draught_pianxiangche	ox1_wh3_cathay_oxen_draught	wh3_main_cth_veh_oxen_draught_pianxiangche	leather	wh3_main_cth_oxen_draught	vo_culture_Invalid
wh3_main_cth_mnt_sky_junk_ror	sj1_wh3_skyjunk01	wh3_main_cth_flying_sky_junk	leather	wh3_main_cth_veh_sky_junk_ror	wh3_main_vo_culture_Cathay
wh3_main_cth_mnt_sky_lantern_ror	cth_sky_lantern01	wh3_main_cth_flying_sky_lantern_ror	leather	wh3_main_cth_veh_sky_lantern_ror	wh3_main_vo_culture_Cathay
