key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/!!!!!!!2xunitsize_compat_ovn_dread_king
black_grail_knights_horse	hr1_skeletal_steee	dread_cavalry_black_grail_heavy	plate	black_grail_knights_horse	wh_main_vo_culture_Skeletal_horse
dread_barded_skeletal_steed_hero	hr1_tomb_steed	wh_main_vmp_cav_skeletal_steed_barded_hero	bone	dread_skeletal_steed_hero	wh_main_vo_culture_Skeletal_horse
dread_chariot_skeletal_steed	hr1_tomb_steed_draught	wh2_dlc09_tmb_cav_skeletal_steed_chariot	bone	dread_skeletal_steed_chariot	wh_main_vo_culture_Skeletal_horse
dread_general_chariot_skeletal_steed	hr1_tomb_steed_draught	wh2_dlc09_tmb_cav_skeletal_steed_chariot	bone	dread_skeletal_steed_guard	wh_main_vo_culture_Skeletal_horse
dread_king_mnt_dragon_zombie	dr1_dragon_zombie	wh_main_flying_dragon_blood	body	dread_king_zombie_dragon	wh_main_vo_culture_Dragon_Large
dread_mnt_war_elephant	el1_skeleton_elephant	dread_skeletal_elephant	bone	dread_skeletal_elephant	vo_culture_Invalid
dread_mnt_war_elephant_general	el1_skeleton_elephant	dread_skeletal_elephant_general	bone	dread_skeletal_elephant_general	vo_culture_Invalid
dread_mnt_war_elephant_ror	el1_ele_bale	dread_skeletal_elephant	bone	ovn_dk_mon_skeleton_elephant_ror	vo_culture_Invalid
dread_skeletal_pegasus_hero	hr1_pegasus	dread_flying_pegasus_hero	bone	dread_skeletal_pegasus_hero	wh_main_vo_culture_Skeletal_horse
dread_skeletal_steed	hr1_tomb_steed	wh2_dlc09_tmb_cav_skeletal_steed	bone	dread_skeletal_steed	wh_main_vo_culture_Skeletal_horse
dread_skeletal_steed_guard	hr1_tomb_steed	wh2_dlc09_tmb_cav_skeletal_steed	bone	dread_skeletal_steed_guard	wh_main_vo_culture_Skeletal_horse
dread_skeletal_steed_hand	hr1_tomb_steed	wh2_dlc09_tmb_cav_skeletal_steed_hero	bone	dread_skeletal_steed_hand	wh_main_vo_culture_Skeletal_horse
dread_skeletal_steed_priest	hr1_warhorse	wh3_main_ksl_mnt_barded_horse_hero	bone	dread_skeletal_steed	wh_main_vo_culture_Skeletal_horse
elo_dread_hand_chariot_horse	hr1_tomb_steed_draught	wh2_dlc09_tmb_skeletal_steed_chariot_settra	bone	dread_skeletal_steed_hand_chariot	wh_main_vo_culture_Skeletal_horse
