key	ui_sound_event	icon_name
#projectile_shot_type_displays_tables;1;db/projectile_shot_type_displays_tables/!!!!!!!2xunitsize_compat_bodyguards_allinone_en
chd_sorcerer_prophet_bodyguard2_1	UI_BAT_SABL_Generic_Enable	chd_sorcerer_prophet_bodyguard2_1
cth_alchemist_bodyguard_hand_cannon_0	UI_BAT_SABL_Generic_Enable	cth_alchemist_bodyguard_hand_cannon_0
cth_bodyguard_dragon_hand_cannon_0	UI_BAT_SABL_Generic_Enable	cth_bodyguard_dragon_hand_cannon_0
cth_bodyguard_sky_junk_0	UI_BAT_SABL_Generic_Enable	cth_bodyguard_sky_junk_0
dwf_thane_bodyguard4_1	UI_BAT_SABL_Generic_Enable	cannon_default
emp_bodyguard_grenade_engineer_retinue	UI_BAT_SABL_Generic_Enable	cannon_default
emp_bodyguard_repeater_bullet_engineer	UI_BAT_SABL_Generic_Enable	cannon_default
emp_bodyguard_rifle_bullet_ironsides	UI_BAT_SABL_Generic_Enable	cannon_default
emp_bodyguard_rifle_outrider_repeater_bullet	UI_BAT_SABL_Generic_Enable	cannon_default
emp_bodyguard_rifle_repeater_bullet_ironsides	UI_BAT_SABL_Generic_Enable	cannon_default
wef_bodyguard_bodkin	UI_BAT_SABL_Generic_Enable	wef_bodyguard_bodkin
wef_bodyguard_bodkin_mounted	UI_BAT_SABL_Generic_Enable	wef_bodyguard_bodkin
wef_bodyguard_javelin_arcane	UI_BAT_SABL_Generic_Enable	wef_bodyguard_moonfire
wef_bodyguard_javelin_blackbriar	UI_BAT_SABL_Generic_Enable	wef_bodyguard_hagbane
wef_bodyguard_starfire	UI_BAT_SABL_Generic_Enable	wef_bodyguard_starfire
wef_bodyguard_starfire_mounted	UI_BAT_SABL_Generic_Enable	wef_bodyguard_starfire
wef_bodyguard_trueflight	UI_BAT_SABL_Generic_Enable	wef_bodyguard_trueflight
wef_bodyguard_trueflight_mounted	UI_BAT_SABL_Generic_Enable	wef_bodyguard_trueflight
