key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!2xunitsize_compat_!!!!!!Champions_of_undeath_merged_fun_tyme
captured_hellblaster	artillery	artillery_default	vmp_canisters	none	1	low	250	0	35	200.0000	20.0000	0.0000	25	75	false	false	0.0500	10.0000	250.0000	7.0000	10	15	wh_emp_volley_gun_shot		wh2_helblaster_bullet_multi_impact_large	0.3000	true	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	15.0000			0.0000	false	true	true	45	high	440	false	false	false	false	9	true	false	false	true	1.0000		false	0.0000	0.4000		placeholder
chd_copter_rounds	musket	small_arm_default	wh3_dlc23_chd_infernal_castellan_rifle_explosive	none	1	low	180	0	88	350.0000	70.0000	0.0000	60	240	false	false	0.1000	5.0000	220.0000	1.7000	0	0	wh3_dlc23_fireglaive		wh3_dlc23_chd_fireglaive_bullet_LH_explosive	-1.0000	false		-1.0000	1	0.0000	25.0000			1.0000	false	true	true	45	low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.4200	0.4000		placeholder
corrupted_engine	artillery	artillery_default	corrupted_engine	none	1	low	240	10	45	110.0000	30.0000	0.0000	252	108	false	false	0.3000	16.0000	200.0000	3.0000	0	0	wh2_main_lzd_bastiladon_solar_engine		wh2_solar_engine	1.0000	true	wh_dlc06_unit_contact_blinded	-1.0000	1	0.0000	100.0000			1.0000	true	true	true	45	large_2	-1	true	false	false	true	1	true	false	true	true	2.0000		false	0.0000	0.4000		placeholder
dg_ship_flame_missile	artillery	artillery_flammable	wh_main_dwf_flamecannon_explosion	none	1	fixed	360	20	65	56.0000	10.0000	0.0000	260	140	false	false	1.0000	15.0000	240.0000	180.0000	0	0	wh_dwf_flame_cannon_blast		wh_flame_cannon_flame	1.6000	true		10.0000	1	0.0000	300.0000	homing_medium_artillery_slow	kou_yrellian_flame_ship	1.0000	false	true	true	23	very_low	-1	false	false	false	false	3	true	false	true	true	2.0000		false	0.0000	0.4000		placeholder
interceptor_cannon	artillery	artillery_default	interceptor_mortar_explosion	none	1	low	450	10	40	250.0000	25.0000	0.0000	50	150	true	false	0.3000	18.0000	275.0000	8.5000	0	0	interceptor_cannonball_boom		wh3_main_cth_grand_cannon_ball	0.6000	true		-1.0000	1	0.0000	350.0000			0.0000	true	true	true	45	very_high_low_entity	700	false	false	true	false	1	true	false	true	true	2.0000		false	0.0000	0.4000		placeholder
khaled_arrow	arrow	small_arm_flaming	wh3_main_wef_tower_explosion_arrow_starfire	none	1	dual_low_fixed	180	0	88	60.0000	100.0000	0.0000	130	85	false	false	0.2000	7.0000	80.0000	0.2000	0	0	wh_dlc05_wef_starfire_arrow		wh3_tower_generic_arrow_magical	-1.0000	false		-1.0000	1	0.0000	15.0000	homing_strong_smallarms		0.0000	false	true	true	45	medium	300	false	false	false	true	1	false	false	false	true	1.0000		false	0.7000	0.4000		placeholder
khaled_arrow_rider	arrow	small_arm_flaming	wh3_main_wef_tower_explosion_arrow_starfire	none	1	dual_low_fixed	180	0	88	60.0000	100.0000	0.0000	130	85	false	false	0.2000	7.0000	80.0000	0.2000	0	0	wh_dlc05_wef_starfire_arrow		wh3_tower_generic_arrow_magical	-1.0000	false		-1.0000	1	0.0000	15.0000	homing_strong_smallarms		0.0000	false	true	true	45	medium	300	false	false	false	true	1	false	false	false	true	1.0000		false	0.7000	0.4000		placeholder
skv_rat_borg	musket	artillery_flammable	skv_rat_borg_warpfire	none	1	low	60	0	55	30.0000	30.0000	0.0000	20	5	false	false	2.0000	12.0000	40.0000	1.7000	0	50	wh2_main_skv_warpfire		wh2_dlc12_ikit_warpfiregun_flame	-1.0000	false	wh_main_unit_contact_morale	3.0000	4	0.5000	40.0000			1.0000	true	true	true	45	low	135	true	true	false	false	1	false	false	false	true	2.0000		false	1.4000	0.4000		placeholder
spider_grinder_bombard	artillery	artillery_default	wh3_main_nur_soulgrinder_bombard_explosion	none	1	low	360	35	75	60.0000	10.0000	0.0000	30	70	false	false	0.2000	16.0000	300.0000	80.0000	0	0	wh3_main_nur_soulgrinder_bombard		wh3_main_nur_soul_grinder_bombard	1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	25.0000			0.0000	true	true	true	45	high	700	false	false	false	true	3	false	false	true	true	1.0000		false	0.0000	0.4000		placeholder
