key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!2xunitsize_compat_!scm_totn
eyri_jag	axe	small_arm_default		axe_spin	1	dual_low_fixed	75	10	60	32.0000	90.0000	0.0000	100	80	false	false	0.1000	3.0000	85.0000	1.0000	60	0	eyri_jag		wh_throwing_axe	-1.0000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	45.0000			0.0000	false	true	true	50	low	300	false	false	false	false	1	false	false	false	true	0.2500		false	1.3100	0.4000		placeholder
hkrul_asta_bow	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	65.0000	100.0000	0.0000	225	70	false	false	0.1000	8.0000	80.0000	0.2000	0	70	wh_bst_ungor_arrow		wh_crossbow_bolt_normal_LH_multi_impact	-1.0000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	45	medium	300	false	false	false	true	1	false	false	false	true	0.2500		false	0.6500	0.4000		placeholder
hkrul_beorg_axe	axe	small_arm_default		axe_spin	1	dual_low_fixed	115	0	60	32.0000	35.0000	0.0000	165	225	false	false	0.1000	7.0000	75.0000	2.0000	0	25	hkrul_beorg		wh_throwing_axe	0.2000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	50	very_high_6	150	false	false	false	true	1	false	false	false	true	1.0000		false	1.3100	0.4000		placeholder
hkrul_birna	arrow	small_arm_default		none	1	dual_low_fixed	190	0	88	65.0000	100.0000	0.0000	250	160	false	false	0.1000	8.0000	80.0000	0.2000	0	115	wh_bst_ungor_arrow		wh_crossbow_bolt_normal_LH_multi_impact	-1.0000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	45	medium	300	false	false	false	true	1	false	false	false	true	0.2500		false	0.6500	0.4000		placeholder
hkrul_haraldur_javelin	javelin	small_arm_default		none	1	dual_low_fixed	100	0	75	36.0000	30.0000	0.0000	175	215	false	false	0.1000	7.0000	75.0000	2.0000	0	100	hkrul_haraldur_killshot		wh_javelin	0.2000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	50	very_high_6	150	false	false	false	true	1	false	false	false	true	1.0000		false	1.0500	0.4000		placeholder
hkrul_mermedus	artillery	artillery_default		none	1	low	165	0	60	90.0000	100.0000	0.0000	125	375	false	false	0.1000	8.0000	70.0000	1.0000	0	125	hkrul_mermedus			0.0010	false		-1.0000	1	0.0000	100.0000			0.0000	false	true	true	45	very_high_low_entity	700	false	false	false	false	1	false	false	true	true	1.5000		false	0.4700	0.4000		placeholder
hkrul_oda	javelin	small_arm_default		none	1	dual_low_fixed	100	0	75	36.0000	30.0000	0.0000	225	225	false	false	0.1000	7.0000	75.0000	2.0000	0	90	wh_chs_javelin		wh_javelin	0.3000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	50	very_high_6	150	false	false	false	true	1	false	false	false	true	1.0000		false	1.0500	0.4000		placeholder
hkrul_sarl_hunters	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	45.0000	10.0000	0.0000	20	6	false	false	0.1000	11.0000	120.0000	4.3000	0	8	sarl_projectile_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
hkrul_sarl_hunters_ror	arrow	small_arm_default		none	1	dual_low_fixed	170	0	88	45.0000	10.0000	0.0000	26	7	false	false	0.1000	11.0000	120.0000	4.3000	9	0	sarl_projectile_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	0.2500		false	0.9300	0.4000		placeholder
