key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!2xunitsize_compat_Mf_Bertrand_Thieves_Honor
brt_Crownless_arrow	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	65.0000	100.0000	0.0000	180	130	false	false	0.1000	8.0000	90.0000	0.2000	0	0	wh2_dlc13_emp_bow_arrow		wh_crossbow_bolt_normal_LH_multi_impact	-1.0000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	45	medium	300	false	false	false	true	1	false	false	false	true	1.0000		false	0.6500	0.4000		placeholder
brt_Faceless_arrow	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	65.0000	100.0000	0.0000	180	100	false	false	0.1000	8.0000	80.0000	0.2000	0	0	wh2_dlc13_emp_bow_arrow		wh_crossbow_bolt_normal_LH_multi_impact	-1.0000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	45	medium	300	false	false	false	true	1	false	false	false	false	1.0000		false	0.6500	0.4000		placeholder
brt_aspirant_hoods_arrow	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	65.0000	40.0000	0.0000	60	30	false	false	0.1000	9.0000	80.0000	0.2000	0	0	wh2_dlc13_emp_bow_arrow		wh_crossbow_bolt_normal_LH_multi_impact	-1.0000	false		-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	low	300	false	false	false	true	1	false	false	false	true	1.0000		false	0.6500	0.4000		placeholder
brt_bertrand_arrow	arrow	small_arm_default		none	1	dual_low_fixed	180	0	88	65.0000	100.0000	0.0000	130	190	false	false	0.1000	8.0000	130.0000	0.2000	0	0	wh2_dlc13_emp_bow_arrow		wh_bow_arrow_magical_lord	-1.0000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	45	very_high_6	300	false	false	false	true	1	false	false	false	true	1.0000		false	0.6500	0.4000		placeholder
brt_hugo_le_petit_arrow	arrow	small_arm_default		none	1	dual_low_fixed	200	0	88	70.0000	100.0000	0.0000	150	250	false	false	0.1000	10.0000	110.0000	0.2000	0	0	wh_tmb_ushabti_arrow		wh2_ushabti_bolt	-1.0000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	45	very_high_6	320	false	false	false	true	1	false	false	false	true	1.0000		false	0.6500	0.4000		placeholder
brt_longbow_arrow_herrimault	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	45.0000	10.0000	0.0000	17	4	false	false	0.1000	10.0000	120.0000	4.3000	0	0	wh_brt_longbow_arrow		wh_bow_arrow_normal	-1.0000	false		-1.0000	1	0.0000	3.0000			0.0000	false	true	true	45	very_low	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.9300	0.4000		placeholder
mf_srvbrgTH_brt_brigand_blunderbuss	musket	small_arm_default		none	3	low	90	0	88	100.0000	10.0000	2.0000	4	10	false	false	0.1000	12.0000	55.0000	2.0000	0	0	wh3_dlc23_chd_blunderbuss		wh2_bullet_multi_impact_large	1.5000	false		-1.0000	1	0.0000	10.0000			0.0000	false	true	true	45	very_low	100	false	false	false	false	1	false	false	false	true	0.5000		false	0.4000	0.4000		placeholder
mf_srvbrgTH_brt_brigand_rapscallions_pistol	musket	small_arm_default		none	1	low	90	0	45	90.0000	10.0000	0.0000	11	2	false	false	0.0500	9.0000	65.0000	2.0000	0	0	wh_emp_rifle_bullet		wh_bullet	-1.0000	false		-1.0000	1	0.0000	1.0000			0.0000	false	true	true	45	low	200	false	false	false	false	1	false	false	false	true	0.5000		false	0.4700	0.4000		placeholder
mf_srvbrgTH_brt_desperado_pistol	musket	small_arm_default		none	1	low	90	0	45	110.0000	50.0000	0.0000	33	117	false	false	0.0500	4.0000	80.0000	1.6000	0	0	wh_emp_rifle_bullet		wh_bullet_multi_impact	-1.0000	false		-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	0.5000		false	0.3800	0.4000		placeholder
