key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!2xunitsize_compat_ab_mixu_legendary_lords
mixu_bst_gorehoof_throwing_axes	axe	small_arm_default		axe_spin	1	dual_low_fixed	70	0	60	32.0000	10.0000	0.0000	70	220	false	false	0.1200	10.0000	35.0000	2.0000	0	0	wh_dlc03_bst_centigor_throwing_axe		wh_throwing_axe	-1.0000	false		-1.0000	1	0.0000	6.0000			0.0000	false	true	true	50	medium	200	false	false	false	false	1	false	false	false	false	1.0000		false	1.3100	0.4000		placeholder
mixu_dwf_engineer_copter_steam_shot	artillery	artillery_explosive	mixu_dwf_engineer_copter_steam_shot_explosion	none	1	low	75	10	45	45.0000	20.0000	0.0000	230	100	false	false	1.0000	9.0000	80.0000	13.0000	0	0	wh_dwf_gyrocopter_steam_shot		wh_steam_gun_steam	2.2000	false		3.0000	1	0.0000	3.0000			0.0000	false	true	true	45	low	140	false	false	false	false	1	false	false	false	false	1.0000		false	0.9300	0.4000		placeholder
mixu_dwf_grimm_bomber_clatter_gun	artillery	artillery_default	wh_main_dwf_clattergun	none	1	low	125	0	88	100.0000	20.0000	1.0000	16	38	false	false	0.1000	5.0000	80.0000	6.0000	0	0	wh_dwf_bomber_clattergun_bullet		wh_bullet	-1.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	10.0000			0.0000	false	true	true	45	low	160	false	false	false	false	8	false	false	false	false	1.0000		false	0.4200	0.4000		placeholder
mixu_dwf_grimm_copter_brimstone_shot	artillery	artillery_flammable		none	1	low	100	10	45	100.0000	10.0000	0.0000	84	336	false	false	0.5000	11.0000	85.0000	2.4000	0	30	wh_dwf_copter_brimstone_shot		wh_bullet	0.5000	false		-1.0000	1	0.0000	200.0000			10.0000	false	true	true	45	low	180	false	true	false	false	1	false	false	true	false	1.0000		false	0.4200	0.4000		placeholder
mixu_dwf_grimm_grudge_raker	musket	artillery_default		none	5	low	55	0	88	110.0000	70.0000	8.0000	5	70	false	false	0.1000	11.0000	40.0000	2.0000	0	0	wh_dwf_rifle_bullet		wh_bullet_multi_impact	2.0000	false	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	25.0000			0.0000	false	true	true	45	medium	100	false	false	false	false	1	false	false	true	false	1.0000		false	2.0000	0.4000		placeholder
mixu_dwf_kazador_dragonslayer_crossbow	arrow	small_arm_default		none	1	dual_low_fixed	160	0	88	100.0000	100.0000	0.0000	80	52	false	false	0.1000	4.0000	125.0000	3.2000	0	0	wh_dwf_crossbow_bolt		wh_crossbow_bolt_normal_LH	-1.0000	false		-1.0000	1	0.0000	5.0000	homing_strong_smallarms		0.0000	false	true	true	45	medium	300	false	false	false	false	1	false	false	false	false	1.0000		false	0.4200	0.4000		placeholder
mixu_emp_alberich_von_korden_pistol	musket	small_arm_default		none	1	low	90	0	45	110.0000	80.0000	0.0000	40	120	false	false	0.0500	4.0000	80.0000	1.6000	0	0	wh_emp_rifle_bullet		wh_bullet_multi_impact	-1.0000	false		-1.0000	1	0.0000	6.0000			0.0000	true	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	1.0000		false	0.3800	0.4000		placeholder
mixu_emp_cha_ogre_bodyguard_pistol	musket	small_arm_default		none	1	low	140	0	88	100.0000	10.0000	0.0000	33	117	false	false	0.0500	11.0000	100.0000	1.0000	0	0	wh_emp_volley_gun_shot		wh_bullet_multi_impact	-1.0000	false		-1.0000	1	0.0000	15.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	0.5000		false	0.3800	0.4000		placeholder
mixu_emp_cha_slayer_engineer_pistol	musket	small_arm_default		none	1	low	90	0	45	110.0000	60.0000	0.0000	33	117	false	false	0.0500	4.0000	80.0000	1.6000	0	0	wh_dwf_rifle_bullet		wh_bullet_multi_impact	-1.0000	false		-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	0.5000		false	0.3800	0.4000		placeholder
