key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!!!!2xunitsize_compat_!!!!!!Champions_of_undeath_merged_fun_tyme
albrecht_hero_monster	vmp_varghulf	heroes_agents
blood_knight_agent	wh_main_lore_vampires	heroes_agents
blood_knight_lord	wh_main_lore_vampires	commander
blood_knight_walach	wh_main_lore_vampires	commander
depth_guard_agent	wh3_cth_terracotta_sentinel	heroes_agents
depth_guard_lord	wh3_cth_terracotta_sentinel	commander
depth_guard_soggy	wh_dlc05_wef_lore_shadow	commander
drakenhof_templar_agent	wh2_dlc14_skv_infantry_guandao	heroes_agents
drakenhof_templar_anark	infantry_sword_great	commander
drakenhof_templar_lord	wh2_dlc14_skv_infantry_guandao	commander
laf_bmwfc_witch_hunter_gazul	infantry_sword_great	heroes_agents
laf_dwf_thane_axe_great	laf_dwf_thane_axe_great	heroes_agents
nom_based_ograx	wh3_main_kho_bloodthirster	commander
wh2_main_lzd_infantry_dual_mace	wh2_main_lzd_infantry_dual_mace	infantry
wizard_vampires_cavalry_flying	wh_main_lore_vampires	heroes_agents
