key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!!!!2xunitsize_compat_!!scm_motm
motm_blogg	infantry_spear	commander
motm_fernadrang	wh3_ogr_monstrous_dual_weapons	commander
motm_glune	wh3_main_ogr_monstrous_dual_weapons	heroes_agents
motm_greybacks	war_beast	heroes_agents
motm_jhared	motm_jhared	commander
motm_marn	infantry_spear	commander
motm_ogr_bosun	emp_marienburg_land_ship	heroes_agents
motm_ogr_pit_fighters	infantry_spear	infantry
motm_ogr_pit_fighters_cavalry	motm_ogr_pit_fighters_cavalry	cavalry_chariots
motm_sandbad	wh3_dlc26_grn_infantry_dual_swords	heroes_agents
motm_sandgrinder	wh3_ogr_monstrous_ironfist	commander
motm_targog	motm_targog	commander
motm_vazgrat	missile_infantry_pistol	commander
ogr_hrothgul	war_beast	commander
um_bul_mallet	wh3_ogr_monstrous	commander
um_kho_bruiser	wh3_dlc26_ogr_cha_bruiser	heroes_agents
um_ogr_blackpowder	artillery_field_gun	artillery_war_machines
um_ogr_blaut	um_ogr_blaut	commander
um_ogr_blu	giant	monster_beasts
um_ogr_captain	um_ogr_captain	infantry
um_ogr_diver_01	um_ogr_diver_01	infantry
um_ogr_diver_02	um_ogr_diver_02	missile_infantry
um_ogr_fulg	wh2_dlc16_skv_packmaster	commander
um_ogr_golthog	infantry_sword_great	heroes_agents
um_ogr_halfling	um_ogr_halfling	heroes_agents
um_ogr_morg	infantry_hammer_great	commander
um_ogr_morg_flame_army	um_ogr_morg_flame_army	infantry
um_ogr_morg_flame_army_cannon	um_ogr_morg_flame_army_cannon	missile_infantry
um_ogr_morg_flame_army_cavalry	um_ogr_morg_flame_army	cavalry_chariots
um_ogr_morg_flame_spirits	um_ogr_morg_flame_army	monster_beasts
um_ogr_rothnogg	wh_dlc05_wef_lore_life	heroes_agents
um_ogr_sea_rider	um_ogr_sea_rider	cavalry_chariots
