key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!!!!2xunitsize_compat_@whc_cth_unit_wuh_
east_firework_bow	east_firework_bow	missile_infantry
east_flail_cav	east_flail_cav	missile_cavalry_chariots
east_jiaolong_mcav	east_jiaolong_mcav	cavalry_chariots
east_jinchong	east_jinchong	infantry
east_langxian	east_langxian	infantry
east_sanyanchong	east_sanyanchong	infantry
firelancer_cavalry	firelancer_cavalry	missile_cavalry_chariots
guardian_lion_rider_jian	guardian_lion_rider_jian	cavalry_chariots
guardian_lion_rider_vajra	guardian_lion_rider_vajra	cavalry_chariots
north_bian_mcav	north_bian_mcav	cavalry_chariots
north_mace_crossbow	north_mace_crossbow	infantry
north_modao_crossbow	north_modao_crossbow	infantry
north_sword_crossbow	north_sword_crossbow	infantry
ogr_central	ogr_central	monster_beasts
south_greataxe_cav	south_greataxe_cav	cavalry_chariots
south_ox_rider	south_ox_rider	cavalry_chariots
south_tiger_mcav	south_tiger_mcav	cavalry_chariots
west_repeater_crossbow	west_repeater_crossbow	missile_infantry
west_repeater_crossbow_cav	west_repeater_crossbow_cav	missile_cavalry_chariots
west_zhanmadao	west_zhanmadao	infantry
