key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!!!!2xunitsize_compat_ab_mixu_legendary_lords
mixu_LL_halberd_hero	infantry_spear_halberd	heroes_agents
mixu_LL_hef_caradryan_phoenix	wh2_main_hef_phoenix_frost	commander
mixu_bst_cha_little_morella	wh_dlc05_wef_harpies	heroes_agents
mixu_bst_ghorros_warhoof	wh_dlc03_bst_centigor	commander
mixu_bst_gorehoof_glaive	wh_dlc03_bst_centigor_great_weapon	heroes_agents
mixu_bst_gorehoof_throwing_axes	wh_dlc03_bst_centigor_missile	heroes_agents
mixu_def_tullaris	khaine_champion	commander
mixu_dwf_grimm_burloksson	wh_main_dwf_master_engineer	commander
mixu_nor_egil_styrbjorn	infantry_axe_dual	commander
