key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/!!!!!!!2xunitsize_compat_ovn_grudgebringers
allor	wh_dlc03_lore_beasts	heroes_agents
azguz_bloodfist_dwarf_warriors	azguz_bloodfist_dwarf_warriors	infantry
black_avangers	black_avangers	infantry
black_grail_knights	black_grail_knights	cavalry_chariots
boris_von_raukov_4th_nuln_halberdiers	boris_von_raukov_4th_nuln_halberdiers	infantry
carlsson_cavalry	carlsson_cavalry	cavalry_chariots
carlsson_guard	carlsson_guard	infantry
ceridan	ceridan	heroes_agents
countess_guard	countess_guard	infantry
dargrimm_firebeard_dwarf_warriors	dargrimm_firebeard_dwarf_warriors	infantry
dieter_schaeffer_carroburg_greatswords	dieter_schaeffer_carroburg_greatswords	infantry
dwarf_envoy	dwarf_envoy	heroes_agents
dwarf_envoy_dwarf_warriors	dwarf_envoy_dwarf_warriors	infantry
elrod_wood_elf_glade_guards	elrod_wood_elf_glade_guards	infantry
emperors_hellblaster_volley_gun	emperors_hellblaster_volley_gun	artillery_war_machines
flagellants_eusebio_the_bleak	flagellants_eusebio_the_bleak	infantry
galed_elf_archers	galed_elf_archers	missile_infantry
gaston	gaston	heroes_agents
grail_knights_tristan_de_la_tourtristan_de_la_tour	grail_knights_tristan_de_la_tourtristan_de_la_tour	cavalry_chariots
grudgebringer_cannon	grudgebringer_cannon	artillery_war_machines
grudgebringer_cavalry	grudgebringer_cavalry	cavalry_chariots
grudgebringer_crossbow	grudgebringer_crossbow	missile_infantry
grudgebringer_infantry	grudgebringer_infantry	infantry
grudgebringers_wagon	grudgebringers_wagon	missile_cavalry_chariots
helmgart_bowmen	helmgart_bowmen	missile_infantry
ice_mage_vladimir_stormbringer	ice_mage_vladimir_stormbringer	heroes_agents
jurgen_muntz_outlaw_infantry	jurgen_muntz_outlaw_infantry	infantry
keelers_longbows	keelers_longbows	missile_infantry
knights_of_the_realm_bertrand_le_grande	knights_of_the_realm_bertrand_le_grande	cavalry_chariots
leitdorf_9th_crossbows	leitdorf_9th_crossbows	missile_infantry
ludwig_uberdorf_mount_ui_unit_group_land	ludwig_uberdorf_mount	heroes_agents
ludwig_uberdorf_ui_unit_group_land	ludwig_uberdorf	heroes_agents
luther_flamenstrike	luther_flamenstrike	heroes_agents
matthias	matthias	heroes_agents
matthias_war_wagon	matthias_war_wagon	heroes_agents
morgan_bernhardt	morgan_bernhardt	commander
ragnar_wolves	ragnar_wolves	cavalry_chariots
reiksguard_knights_todbringer	reiksguard_knights_todbringer	cavalry_chariots
stephan_weiss_outlaw_pistoliers	stephan_weiss_outlaw_pistoliers	cavalry_chariots
treeman_gnarl_fist	treeman_gnarl_fist	monster_beasts
treeman_knarlroot	treeman_knarlroot	monster_beasts
urblab_rotgut_mercenary_ogres	urblab_rotgut_mercenary_ogres	monster_beasts
uter_blomkwist_imperial_mortar	uter_blomkwist_imperial_mortar	artillery_war_machines
vannheim_75th	vannheim_75th	cavalry_chariots
