variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/!!!!!!!2xunitsize_compat_Trajanns_Khorne_Compilation
KhoKnightsRORSteed	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	KhoKnightsRORSteed	hr1\chs\chs_steed\low_poly\chs_steed_lowlod	1.1500	1.1500	0.0200	
KhoShrineRORShrine	warmachines/engines/dae_skullcannon/tech	KhoShrineRORmount		1.0000	1.0000	0.0000	
bloodsaurian	VariantMeshes/wh_variantmodels/rp4/lzd/lzd_dread_saurian/tech	bloodsaurian		1.0000	1.0000	0.0000	
bloodsaurian_normal	VariantMeshes/wh_variantmodels/rp4/lzd/lzd_dread_saurian/tech	bloodsaurian_normal		1.0000	1.0000	0.0000	
eku_arachnarok_spider_mount	VariantMeshes/wh_variantmodels/sp1/grn/grn_arachnorok/tech/	eku_arachnarok_lava		1.0000	4.0000	0.0000	
eku_dragon_princes_mounted_mount		eku_dragon_steed		1.0000	1.0000	0.0200	
eku_heavy_war_sled_mount	VariantMeshes/wh_variantmodels/br1/ksl/ksl_bear/tech	eku_bear_medium_draught		1.0000	1.0000	0.0000	
eku_juggernaught_chariot_mount	VariantMeshes\wh_variantmodels\hq4\dae\dae_juggernaut\tech	eku_juggernaut_chariot		1.0000	1.0000	0.0000	
eku_thundertusk_mount	VariantMeshes/wh_variantmodels/hq3b/ogr/ogr_thundertusk/tech/	eku_thundertusk		1.0000	1.0000	0.0000	
traj_azrakaar_mount_taurus	VariantMeshes/_VariantModels/oxen01/tech/	traj_azrakaar_mount		1.8260	1.1500	0.0000	
traj_blood_dragon_longma_ror_mount	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	traj_blood_dragon_longma_ror_mount		1.0000	1.0000	0.0000	
traj_bloodcharger_mount		traj_bloodcharger_mount		1.5000	1.0000	0.0000	
traj_bloodcrusher_ror_mount	VariantMeshes\wh_variantmodels\hq4\dae\dae_juggernaut\tech	crs_juggernaut_bloodcrusher		1.1500	1.0000	0.0000	
traj_bloodfeaster_mount	VariantMeshes\wh_variantmodels\bc2\emp\emp_imperial_griffon\tech	traj_bloodfeaster_mount		1.6670	1.0000	0.0000	
traj_bloodfeaster_mount_ror	VariantMeshes\wh_variantmodels\bc2\emp\emp_imperial_griffon\tech	traj_bloodfeaster_mount_ror		1.6670	1.0000	0.0000	
traj_bloodqueen_lord_mount_dragon	VariantMeshes\wh_variantmodels\dr1\def\def_black_dragon\tech	traj_bloodqueen_lord_mount_dragon		1.0000	1.0000	0.0000	
traj_bloodqueen_lord_mount_griffon	VariantMeshes\wh_variantmodels\bc2\emp\emp_imperial_griffon\tech	traj_hespia_mount_griffon		1.6670	1.0000	0.0000	
traj_bloodqueen_lord_mount_raptor		traj_hespia_mount_raptor		1.0000	1.0000	0.0000	
traj_bloodseeker_mount		traj_bloodseeker_mount		1.1000	1.0000	0.0200	
traj_bloodtracker_mount		traj_bloodtracker_mount		1.0000	1.0000	0.0200	
traj_castellan_skullcrusher_mount	VariantMeshes\wh_variantmodels\hq4\dae\dae_juggernaut\tech	traj_castellan_skullcrusher_mount		1.1500	1.0000	0.0000	
traj_elder_mount_stegadon	VariantMeshes\wh_variantmodels\hq1\lzd\lzd_stegadon\tech	kho_stegadon_zlaaq		1.6000	1.0000	0.0000	
traj_hespia_mount_dragon	VariantMeshes\wh_variantmodels\dr1\def\def_black_dragon\tech	traj_hespia_mount_dragon		1.0000	1.1000	0.0000	
traj_hespia_mount_griffon	VariantMeshes\wh_variantmodels\bc2\emp\emp_imperial_griffon\tech	traj_hespia_mount_griffon		1.6670	1.0000	0.0000	
traj_hespia_mount_raptor		traj_hespia_mount_raptor		1.0000	1.0000	0.0000	
traj_hespia_ror_mount		traj_hespia_ror_mount		1.0000	1.0000	0.0000	
