variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/!!!!!!!2xunitsize_compat_ab_unwashed_masses
gnob_gnoblar_throne_01	variantmeshes\wh_variantmodels\hu3\gnob\gnob_gnoblar_throne\tech	gnob_gnoblar_throne_01		1.0000	1.0000	0.0000	
gnob_gnoblar_throne_bezer	variantmeshes\wh_variantmodels\hu3\gnob\gnob_gnoblar_throne\tech	gnob_gnoblar_throne_bezer		1.0000	1.0000	0.0000	
gnob_lava_arachnarok	VariantMeshes/wh_variantmodels/sp1/grn/grn_arachnorok/tech/	grn_arachnarok_lava		3.5000	1.1500	0.0000	
gnob_pigback	VariantMeshes/wh_variantmodels/hu5/gnob/gnob_pigback_riders/tech	gnob_pigback		1.0000	1.0000	0.0000	
gnob_pigback_character	VariantMeshes/wh_variantmodels/hu5/gnob/gnob_pigback_riders/tech	gnob_pigback		1.1000	1.1000	0.0000	
gnob_pigback_ror	VariantMeshes/wh_variantmodels/hu5/gnob/gnob_pigback_riders/tech	gnob_pigback_ror		1.0000	1.0000	0.0000	
gnob_rhinox_platform_01	VariantMeshes/wh_variantmodels/hq2/gnob/gnob_rhinox/tech	gnob_rhinox_platform_01		1.0000	1.0000	0.0000	
gnob_rhinox_platform_02	VariantMeshes/wh_variantmodels/hq2/gnob/gnob_rhinox/tech	gnob_rhinox_platform_02		1.0000	1.0000	0.0000	
gnob_ror_mist_dragons_fimir	variantmeshes\wh_variantmodels\hu7d\gnob\gnob_mist_dragons\tech	gnob_mist_dragons		1.0000	1.0000	0.0500	
gnob_sabretusk	variantmeshes\wh_variantmodels\bc4\gnob\gnob_sabretusk\tech	gnob_sabretusk		1.0000	0.5600	0.0000	
