key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!50meleeattackspeed_compat_!!!cou_blood_knight_heretics_live_build
cou_kho_vamp_cav	0	0	25	55	1.0000	axe	axe	medium	5	1.1000	1.0000	1.0000	true	wh2_dlc12_unit_contact_flammable	0	10	2.05		false
cou_kho_vamp_inf	0	0	20	45	1.0000	axe	axe	medium	5	1.0000	1.0000	1.0000	true	wh2_dlc12_unit_contact_flammable	0	10	2.05		false
cou_kho_vamp_terrorgheist	25	0	175	385	3.0000	axe	creatures_claws	large	15	1.5000	1.2500	1.0000	true	wh2_dlc12_unit_contact_flammable	0	10	1.9		false
cou_nur_vamps_cav_fish	10	0	20	40	4.0000	sword	creatures_claws	small	3	1.0000	0.7500	0.0000	true	wh_main_unit_contact_poison	0	10	2.0		false
cou_nur_vamps_cav_rider	10	0	22	48	4.0000	lance	spear	small	4	1.0000	0.7500	0.0000	true	wh_main_unit_contact_poison	0	10	2.0		false
cou_nur_vamps_inf	0	0	68	28	2.0000	sword	sword	medium	3	1.0000	0.7500	0.0000	true	wh_main_unit_contact_poison	0	10	2.0		false
cou_nur_vamps_toad_dragon	0	25	300	250	9.0000	axe	creatures_claws	large	6	1.8000	1.2500	0.0000	true	wh_main_unit_contact_poison	4	4	2.0		false
cou_sla_angel_vamps	0	0	45	50	3.0000	sword	sword	medium	7	1.8000	0.7500	0.0000	true	wh3_main_unit_contact_soporific_musk	0	10	2.0		false
cou_sla_vamps_cav	0	0	50	25	3.0000	sword	sword	medium	7	1.8000	0.7500	0.0000	true	wh3_main_unit_contact_soporific_musk	0	10	2.0		false
cou_sla_vamps_inf	0	0	40	25	3.0000	sword	sword	medium	7	1.8000	0.7500	0.0000	true	wh3_main_unit_contact_soporific_musk	0	10	2.0		false
cou_tze_vamps_cav	0	0	35	45	7.0000	sword	sword	medium	5	1.0000	0.7500	1.0000	true	wh3_main_unit_contact_warpflame	0	10	2.0		false
cou_tze_vamps_inf	0	0	25	45	7.0000	sword	sword	medium	5	1.0000	0.7500	1.0000	true	wh3_main_unit_contact_warpflame	0	10	2.0		false
cou_tze_vamps_manitoce	0	25	40	65	8.0000	axe	creatures_claws	large	12	1.0000	0.7500	0.0000	true	wh3_main_unit_contact_warpflame	0	10	1.9		false
