key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/!!!!!!!50meleeattackspeed_compat_!!from_the_grave_main
kys_und_basic_infantry	0	8	28	12	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.2		false
kys_und_behemoth_wep	0	20	195	86	3.0000	axe	axe_huge	medium	5	1.5000	1.2500	0.0000	false	wh3_dlc26_unit_contact_disemboweled	0	10	2.15		false
kys_und_bk_cav	0	0	30	12	1.0000	lance	spear		1	1.0000	0.5000	0.0000	false		0	10	2.55		false
kys_und_bk_foot	0	14	13	29	1.0000	sword	sword		1	1.0000	0.7500	0.0000	false		0	10	2.15		false
kys_und_brood_horror_rider	0	0	125	250	7.0000	axe	creatures_claws	medium	4	1.5000	0.7500	0.0000	false	wh_main_unit_contact_poison	0	10	2.0		false
kys_und_crossbow	0	0	21	3	1.0000	axe	axe	small	10	1.0000	0.7500	0.0000	false		0	10	2.15		false
kys_und_demon_wings	0	0	230	210	3.0000	axe	axe	medium	4	2.0000	0.7500	0.0000	false		0	10	2.0		false
kys_und_monarch	0	0	330	110	3.0000	axe	axe	medium	4	1.0000	0.7500	0.0000	true	kys_lord_abilities_wraith_blade	0	10	1.9		false
kys_und_necropriest	0	0	210	90	3.0000	axe	staff	medium	5	1.0000	0.7500	0.0000	true	kys_lord_abilities_wraith_blade	0	10	2.0		false
kys_und_necropriest_sword	0	0	290	150	2.0000	sword	sword	medium	4	1.8000	0.7500	0.0000	true	kys_lord_abilities_wraith_blade	0	10	2.1		false
kys_und_shield_revenants	15	0	17	5	2.0000	spear	spear		1	1.0000	0.5000	0.0000	false		0	10	2.15		false
kys_und_void_revenants	0	8	26	9	1.0000	axe	axe		1	1.0000	0.7500	0.0000	false	wh2_main_unit_contact_weeping_blade	0	10	2.3		false
